begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15N_4_2,12,240.00,1.55,30.05,21.44,5.00,12
180.00,360.00,H15N_4_2,54,1080.00,5.28,31.50,28.48,5.00,55
360.00,540.00,H15N_4_2,44,880.00,4.27,29.39,28.64,5.00,44
540.00,720.00,H15N_4_2,56,1120.00,5.02,31.15,31.02,5.00,56
720.00,900.00,H15N_4_2,51,1020.00,4.67,30.72,30.36,5.00,52
900.00,1080.00,H15N_4_2,62,1240.00,5.70,30.82,30.52,5.00,63
1080.00,1260.00,H15N_4_2,44,880.00,3.98,30.97,30.72,5.00,44
1260.00,1440.00,H15N_4_2,74,1480.00,6.99,29.95,29.41,5.00,74
1440.00,1620.00,H15N_4_2,87,1740.00,11.75,24.06,20.57,5.00,87
1620.00,1800.00,H15N_4_2,71,1420.00,11.46,22.36,17.21,5.00,71
1800.00,1980.00,H15N_4_2,48,960.00,24.85,22.58,5.37,5.00,48
1980.00,2160.00,H15N_4_2,64,1280.00,5.95,30.27,30.12,5.00,65
2160.00,2340.00,H15N_4_2,68,1360.00,7.02,28.53,26.92,5.00,68
2340.00,2520.00,H15N_4_2,73,1460.00,7.28,28.47,27.86,5.00,73
2520.00,2700.00,H15N_4_2,87,1740.00,13.33,24.70,18.70,5.00,88
2700.00,2880.00,H15N_4_2,64,1280.00,9.08,23.62,18.74,5.00,63
2880.00,3060.00,H15N_4_2,52,1040.00,23.70,21.87,19.29,5.00,53
3060.00,3240.00,H15N_4_2,72,1440.00,7.07,28.76,28.30,5.00,72
3240.00,3420.00,H15N_4_2,50,1000.00,5.02,28.07,27.65,5.00,50
3420.00,3600.00,H15N_4_2,74,1480.00,7.79,27.92,26.38,5.00,74
3600.00,3780.00,H15N_4_2,66,1320.00,18.11,21.47,10.29,5.00,67
3780.00,3960.00,H15N_4_2,56,1120.00,8.22,23.27,18.25,5.00,55
3960.00,4140.00,H15N_4_2,43,860.00,6.96,20.92,17.16,5.00,43
4140.00,4320.00,H15N_4_2,49,980.00,25.40,22.84,5.36,5.00,49
4320.00,4500.00,H15N_4_2,56,1120.00,6.70,25.74,23.21,5.00,56
4500.00,4680.00,H15N_4_2,69,1380.00,9.46,24.58,20.26,5.00,69
4680.00,4860.00,H15N_4_2,52,1040.00,13.63,23.38,10.60,5.00,52
4860.00,5040.00,H15N_4_2,49,980.00,17.57,21.96,17.46,5.00,50
5040.00,5220.00,H15N_4_2,54,1080.00,5.27,28.89,28.49,5.00,54
5220.00,5400.00,H15N_4_2,46,920.00,6.00,25.98,21.28,5.00,46
5400.00,5580.00,H15N_4_2,47,940.00,4.73,28.20,27.59,5.00,47
5580.00,5760.00,H15N_4_2,28,560.00,31.48,20.08,2.50,5.00,29
5760.00,5940.00,H15N_4_2,50,1000.00,7.71,23.94,18.02,5.00,50
5940.00,6120.00,H15N_4_2,55,1100.00,5.68,27.59,26.90,5.00,55
6120.00,6300.00,H15N_4_2,27,540.00,6.06,19.04,12.37,5.00,27
6300.00,6480.00,H15N_4_2,71,1420.00,10.77,26.28,24.86,5.00,72
6480.00,6660.00,H15N_4_2,21,420.00,26.18,19.58,13.68,5.00,22
6660.00,6840.00,H15N_4_2,61,1220.00,26.12,24.62,20.85,5.00,62
6840.00,7020.00,H15N_4_2,25,500.00,30.32,17.90,1.44,5.00,24
7020.00,7200.00,H15N_4_2,64,1280.00,9.14,24.90,20.59,5.00,65
7200.00,7380.00,H15N_4_2,46,920.00,5.76,26.10,22.39,5.00,47
7380.00,7560.00,H15N_4_2,39,780.00,21.61,23.23,19.57,5.00,41
7560.00,7740.00,H15N_4_2,63,1260.00,5.92,29.79,29.61,5.00,64
7740.00,7920.00,H15N_4_2,71,1420.00,6.70,29.61,29.44,5.00,71
7920.00,8100.00,H15N_4_2,66,1320.00,7.47,26.11,24.70,5.00,67
8100.00,8280.00,H15N_4_2,73,1460.00,7.81,27.13,25.97,5.00,73
8280.00,8460.00,H15N_4_2,67,1340.00,8.15,27.30,22.82,5.00,67
8460.00,8640.00,H15N_4_2,55,1100.00,5.43,29.11,28.12,5.00,55
8640.00,8820.00,H15N_4_2,39,780.00,3.61,30.94,30.73,5.00,40
8820.00,9000.00,H15N_4_2,56,1120.00,5.14,30.04,29.77,5.00,55
9000.00,9180.00,H15N_4_2,52,1040.00,5.53,29.51,26.14,5.00,52
9180.00,9360.00,H15N_4_2,30,600.00,2.85,30.70,29.92,5.00,32
9360.00,9540.00,H15N_4_2,43,860.00,4.09,29.56,29.21,5.00,43
9540.00,9720.00,H15N_4_2,32,640.00,2.80,31.91,31.79,5.00,32
9720.00,9900.00,H15N_4_2,39,780.00,3.94,31.14,27.50,5.00,39
9900.00,10080.00,H15N_4_2,55,1100.00,5.17,30.13,29.89,5.00,56
10080.00,10260.00,H15N_4_2,51,1020.00,5.17,30.33,27.39,5.00,51
10260.00,10440.00,H15N_4_2,38,760.00,3.50,30.88,30.62,5.00,39
10440.00,10620.00,H15N_4_2,42,840.00,3.88,30.41,30.07,5.00,42
10620.00,10800.00,H15N_4_2,43,860.00,4.50,29.46,26.54,5.00,43
10800.00,10980.00,H15N_4_2,44,880.00,4.19,29.41,29.18,5.00,44
10980.00,11160.00,H15N_4_2,51,1020.00,4.69,30.46,30.23,5.00,51
11160.00,11340.00,H15N_4_2,75,1500.00,9.06,25.42,22.99,5.00,75
