begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15N_in_0,80,1600.00,7.76,29.10,28.64,5.00,80
180.00,360.00,H15N_in_0,77,1540.00,7.30,29.76,29.30,5.00,77
360.00,540.00,H15N_in_0,78,1560.00,7.22,30.38,30.02,5.00,78
540.00,720.00,H15N_in_0,76,1520.00,7.13,30.05,29.62,5.00,76
720.00,900.00,H15N_in_0,81,1620.00,7.60,29.90,29.61,5.00,81
900.00,1080.00,H15N_in_0,76,1520.00,7.09,29.99,29.76,5.00,76
1080.00,1260.00,H15N_in_0,78,1560.00,7.60,29.00,28.49,5.00,78
1260.00,1440.00,H15N_in_0,76,1520.00,7.36,29.05,28.66,5.00,76
1440.00,1620.00,H15N_in_0,80,1600.00,7.81,28.98,28.45,5.00,80
1620.00,1800.00,H15N_in_0,77,1540.00,7.28,29.96,29.40,5.00,77
1800.00,1980.00,H15N_in_0,77,1540.00,7.41,29.34,28.88,5.00,77
1980.00,2160.00,H15N_in_0,79,1580.00,7.32,30.25,29.97,5.00,79
2160.00,2340.00,H15N_in_0,78,1560.00,7.27,30.13,29.80,5.00,78
2340.00,2520.00,H15N_in_0,78,1560.00,7.16,30.61,30.26,5.00,78
2520.00,2700.00,H15N_in_0,77,1540.00,7.17,30.24,29.85,5.00,77
2700.00,2880.00,H15N_in_0,78,1560.00,7.36,29.85,29.46,5.00,78
2880.00,3060.00,H15N_in_0,78,1560.00,7.40,29.71,29.29,5.00,78
3060.00,3240.00,H15N_in_0,78,1560.00,7.56,29.16,28.67,5.00,78
3240.00,3420.00,H15N_in_0,77,1540.00,7.19,30.08,29.76,5.00,77
3420.00,3600.00,H15N_in_0,77,1540.00,7.12,30.31,30.02,5.00,77
3600.00,3780.00,H15N_in_0,80,1600.00,7.45,30.21,29.81,5.00,80
3780.00,3960.00,H15N_in_0,77,1540.00,7.13,30.27,29.99,5.00,77
3960.00,4140.00,H15N_in_0,78,1560.00,7.06,31.00,30.68,5.00,78
4140.00,4320.00,H15N_in_0,76,1520.00,7.21,29.65,29.26,5.00,76
4320.00,4500.00,H15N_in_0,81,1620.00,7.83,29.25,28.75,5.00,81
4500.00,4680.00,H15N_in_0,76,1520.00,7.11,30.00,29.70,5.00,76
4680.00,4860.00,H15N_in_0,78,1560.00,7.44,29.63,29.13,5.00,78
4860.00,5040.00,H15N_in_0,76,1520.00,7.05,30.30,29.93,5.00,76
5040.00,5220.00,H15N_in_0,80,1600.00,7.58,29.66,29.32,5.00,80
5220.00,5400.00,H15N_in_0,77,1540.00,7.27,29.81,29.43,5.00,77
5400.00,5580.00,H15N_in_0,77,1540.00,7.31,29.68,29.26,5.00,77
5580.00,5760.00,H15N_in_0,78,1560.00,7.33,29.96,29.58,5.00,78
5760.00,5940.00,H15N_in_0,79,1580.00,7.36,30.20,29.80,5.00,79
5940.00,6120.00,H15N_in_0,78,1560.00,7.25,30.26,29.87,5.00,78
6120.00,6300.00,H15N_in_0,77,1540.00,7.48,29.12,28.61,5.00,77
6300.00,6480.00,H15N_in_0,78,1560.00,7.51,29.20,28.86,5.00,78
6480.00,6660.00,H15N_in_0,78,1560.00,7.51,29.28,28.83,5.00,78
6660.00,6840.00,H15N_in_0,78,1560.00,7.44,29.55,29.12,5.00,78
6840.00,7020.00,H15N_in_0,77,1540.00,7.05,30.63,30.32,5.00,77
7020.00,7200.00,H15N_in_0,77,1540.00,7.31,29.71,29.25,5.00,77
7200.00,7380.00,H15N_in_0,79,1580.00,7.22,30.72,30.41,5.00,79
7380.00,7560.00,H15N_in_0,78,1560.00,7.26,30.19,29.83,5.00,78
7560.00,7740.00,H15N_in_0,78,1560.00,7.38,29.84,29.35,5.00,78
7740.00,7920.00,H15N_in_0,76,1520.00,7.14,29.98,29.55,5.00,76
7920.00,8100.00,H15N_in_0,80,1600.00,7.55,30.03,29.65,5.00,81
8100.00,8280.00,H15N_in_0,43,860.00,3.89,30.75,30.24,5.00,42
8280.00,8460.00,H15N_in_0,20,400.00,1.84,30.40,30.21,5.00,20
8460.00,8640.00,H15N_in_0,19,380.00,1.77,29.98,29.79,5.00,19
8640.00,8820.00,H15N_in_0,21,420.00,1.92,30.74,30.38,5.00,21
8820.00,9000.00,H15N_in_0,20,400.00,1.76,31.80,31.50,5.00,20
9000.00,9180.00,H15N_in_0,19,380.00,1.70,31.33,31.13,5.00,19
9180.00,9360.00,H15N_in_0,20,400.00,1.75,31.98,31.77,5.00,20
9360.00,9540.00,H15N_in_0,21,420.00,1.93,30.55,30.27,5.00,21
9540.00,9720.00,H15N_in_0,22,440.00,1.99,30.99,30.78,5.00,22
9720.00,9900.00,H15N_in_0,68,1360.00,6.43,29.80,29.36,5.00,68
9900.00,10080.00,H15N_in_0,78,1560.00,7.30,30.06,29.68,5.00,78
10080.00,10260.00,H15N_in_0,78,1560.00,7.41,29.72,29.24,5.00,78
10260.00,10440.00,H15N_in_0,44,880.00,4.14,30.16,29.55,5.00,44
10440.00,10620.00,H15N_in_0,8,160.00,0.73,30.63,30.51,5.00,8
10620.00,10800.00,H15N_in_0,19,380.00,2.43,24.11,21.73,5.00,19
10800.00,10980.00,H15N_in_0,2,40.00,14.18,2.77,0.39,5.00,2
10980.00,11160.00,H15N_in_0,1,20.00,14.05,0.20,0.20,5.00,1
11160.00,11340.00,H15N_in_0,1,20.00,13.96,0.20,0.20,5.00,1
11340.00,11520.00,H15N_in_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
11520.00,11700.00,H15N_in_0,1,20.00,72.60,0.22,0.22,5.00,2
11700.00,11880.00,H15N_in_0,0,0.00,100.00,-1.00,-1.00,-1.00,0
11880.00,12060.00,H15N_in_0,1,20.00,10.63,0.02,0.02,5.00,0
12060.00,12240.00,H15N_in_0,1,20.00,12.32,0.23,0.23,5.00,1
12240.00,12420.00,H15N_in_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
12420.00,12600.00,H15N_in_0,1,20.00,13.11,0.21,0.21,5.00,1
12600.00,12780.00,H15N_in_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
12780.00,12960.00,H15N_in_0,1,20.00,14.41,0.19,0.19,5.00,1
12960.00,13140.00,H15N_in_0,1,20.00,13.46,0.21,0.21,5.00,1
13140.00,13320.00,H15N_in_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
13320.00,13500.00,H15N_in_0,1,20.00,13.07,0.21,0.21,5.00,1
13500.00,13680.00,H15N_in_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
13680.00,13860.00,H15N_in_0,1,20.00,13.89,0.20,0.20,5.00,1
13860.00,14040.00,H15N_in_0,1,20.00,14.33,0.19,0.19,5.00,1
14040.00,14220.00,H15N_in_0,0,0.00,0.00,-1.00,-1.00,-1.00,0
14220.00,14400.00,H15N_in_0,1,20.00,15.23,0.18,0.18,5.00,1
