begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15N_out_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
180.00,360.00,H15N_out_3,34,680.00,2.66,35.65,35.49,5.00,34
360.00,540.00,H15N_out_3,53,1060.00,4.35,34.00,33.83,5.00,53
540.00,720.00,H15N_out_3,63,1260.00,5.16,34.04,33.89,5.00,63
720.00,900.00,H15N_out_3,67,1340.00,5.50,33.98,33.85,5.00,67
900.00,1080.00,H15N_out_3,53,1060.00,4.41,33.71,33.52,5.00,54
1080.00,1260.00,H15N_out_3,63,1260.00,5.08,34.43,34.33,5.00,62
1260.00,1440.00,H15N_out_3,62,1240.00,5.15,33.67,33.47,5.00,62
1440.00,1620.00,H15N_out_3,60,1200.00,4.98,33.56,33.47,5.00,60
1620.00,1800.00,H15N_out_3,54,1080.00,4.40,34.18,34.06,5.00,54
1800.00,1980.00,H15N_out_3,51,1020.00,4.13,34.37,34.26,5.00,51
1980.00,2160.00,H15N_out_3,59,1180.00,4.94,33.30,33.15,5.00,59
2160.00,2340.00,H15N_out_3,51,1020.00,4.16,34.12,34.01,5.00,51
2340.00,2520.00,H15N_out_3,59,1180.00,4.80,34.27,34.14,5.00,59
2520.00,2700.00,H15N_out_3,48,960.00,3.87,34.55,34.44,5.00,48
2700.00,2880.00,H15N_out_3,59,1180.00,4.89,33.71,33.49,5.00,59
2880.00,3060.00,H15N_out_3,51,1020.00,4.04,35.19,35.07,5.00,51
3060.00,3240.00,H15N_out_3,60,1200.00,4.89,34.19,34.08,5.00,60
3240.00,3420.00,H15N_out_3,64,1280.00,5.40,33.02,32.93,5.00,64
3420.00,3600.00,H15N_out_3,64,1280.00,5.11,34.93,34.82,5.00,64
3600.00,3780.00,H15N_out_3,63,1260.00,5.71,33.31,30.65,5.00,63
3780.00,3960.00,H15N_out_3,54,1080.00,4.45,33.80,33.69,5.00,54
3960.00,4140.00,H15N_out_3,60,1200.00,4.95,33.77,33.65,5.00,60
4140.00,4320.00,H15N_out_3,57,1140.00,4.64,34.18,34.10,5.00,57
4320.00,4500.00,H15N_out_3,48,960.00,4.38,33.98,30.41,5.00,48
4500.00,4680.00,H15N_out_3,59,1180.00,4.94,33.75,33.58,5.00,60
4680.00,4860.00,H15N_out_3,61,1220.00,4.84,34.69,34.57,5.00,60
4860.00,5040.00,H15N_out_3,57,1140.00,4.61,34.51,34.45,5.00,58
5040.00,5220.00,H15N_out_3,64,1280.00,5.66,33.96,31.33,5.00,63
5220.00,5400.00,H15N_out_3,53,1060.00,4.21,35.06,34.95,5.00,53
5400.00,5580.00,H15N_out_3,43,860.00,3.55,33.78,33.62,5.00,43
5580.00,5760.00,H15N_out_3,52,1040.00,4.23,34.33,34.17,5.00,52
5760.00,5940.00,H15N_out_3,48,960.00,3.89,34.34,34.25,5.00,48
5940.00,6120.00,H15N_out_3,54,1080.00,4.41,34.68,34.55,5.00,55
6120.00,6300.00,H15N_out_3,41,820.00,3.72,34.43,30.09,5.00,40
6300.00,6480.00,H15N_out_3,43,860.00,3.46,34.69,34.52,5.00,43
6480.00,6660.00,H15N_out_3,45,900.00,3.63,34.49,34.39,5.00,45
6660.00,6840.00,H15N_out_3,45,900.00,3.72,33.73,33.57,5.00,45
6840.00,7020.00,H15N_out_3,26,520.00,2.11,34.48,34.27,5.00,26
7020.00,7200.00,H15N_out_3,13,260.00,1.00,36.27,36.20,5.00,13
7200.00,7380.00,H15N_out_3,33,660.00,2.65,34.72,34.56,5.00,33
7380.00,7560.00,H15N_out_3,40,800.00,3.26,34.21,34.05,5.00,40
7560.00,7740.00,H15N_out_3,19,380.00,1.52,34.97,34.74,5.00,19
7740.00,7920.00,H15N_out_3,24,480.00,1.89,35.44,35.23,5.00,24
7920.00,8100.00,H15N_out_3,16,320.00,1.25,35.77,35.57,5.00,16
8100.00,8280.00,H15N_out_3,5,100.00,0.39,35.52,35.34,5.00,5
8280.00,8460.00,H15N_out_3,27,540.00,2.16,34.89,34.72,5.00,27
8460.00,8640.00,H15N_out_3,11,220.00,0.84,36.33,36.23,5.00,11
8640.00,8820.00,H15N_out_3,6,120.00,0.45,36.86,36.73,5.00,6
8820.00,9000.00,H15N_out_3,14,280.00,1.11,35.08,34.99,5.00,14
9000.00,9180.00,H15N_out_3,10,200.00,0.77,36.06,35.89,5.00,10
9180.00,9360.00,H15N_out_3,14,280.00,1.08,36.19,36.09,5.00,14
9360.00,9540.00,H15N_out_3,9,180.00,0.67,37.41,37.31,5.00,9
9540.00,9720.00,H15N_out_3,18,360.00,1.36,37.00,36.80,5.00,18
9720.00,9900.00,H15N_out_3,16,320.00,1.23,36.28,36.07,5.00,16
