begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15S_offRamp2,6,120.00,0.59,28.20,28.19,5.00,6
180.00,360.00,H15S_offRamp2,20,400.00,2.13,26.29,26.14,5.00,20
360.00,540.00,H15S_offRamp2,23,460.00,2.51,25.76,25.41,5.00,23
540.00,720.00,H15S_offRamp2,24,480.00,2.70,25.33,24.72,5.00,24
720.00,900.00,H15S_offRamp2,22,440.00,2.33,26.51,26.21,5.00,22
900.00,1080.00,H15S_offRamp2,23,460.00,2.72,23.87,23.47,5.00,23
1080.00,1260.00,H15S_offRamp2,22,440.00,3.04,20.45,20.10,5.00,22
1260.00,1440.00,H15S_offRamp2,22,440.00,3.46,17.80,17.66,5.00,22
1440.00,1620.00,H15S_offRamp2,20,400.00,2.74,20.65,20.28,5.00,20
1620.00,1800.00,H15S_offRamp2,24,480.00,3.48,19.43,19.15,5.00,24
1800.00,1980.00,H15S_offRamp2,23,460.00,3.56,18.36,17.95,5.00,23
1980.00,2160.00,H15S_offRamp2,23,460.00,3.55,18.47,17.99,5.00,23
2160.00,2340.00,H15S_offRamp2,22,440.00,3.60,17.26,16.96,5.00,22
2340.00,2520.00,H15S_offRamp2,23,460.00,3.68,17.56,17.34,5.00,23
2520.00,2700.00,H15S_offRamp2,22,440.00,3.59,17.21,17.04,5.00,22
2700.00,2880.00,H15S_offRamp2,23,460.00,3.60,18.15,17.73,5.00,23
2880.00,3060.00,H15S_offRamp2,22,440.00,3.39,18.23,18.03,5.00,22
3060.00,3240.00,H15S_offRamp2,22,440.00,3.60,17.33,16.96,5.00,22
3240.00,3420.00,H15S_offRamp2,23,460.00,3.66,17.58,17.44,5.00,23
3420.00,3600.00,H15S_offRamp2,22,440.00,3.68,16.82,16.60,5.00,22
3600.00,3780.00,H15S_offRamp2,22,440.00,3.54,17.38,17.27,5.00,22
3780.00,3960.00,H15S_offRamp2,21,420.00,3.46,16.98,16.85,5.00,21
3960.00,4140.00,H15S_offRamp2,21,420.00,3.41,17.33,17.10,5.00,21
4140.00,4320.00,H15S_offRamp2,20,400.00,3.24,17.28,17.16,5.00,20
4320.00,4500.00,H15S_offRamp2,17,340.00,3.01,16.29,15.67,5.00,17
4500.00,4680.00,H15S_offRamp2,20,400.00,3.26,17.25,17.02,5.00,20
4680.00,4860.00,H15S_offRamp2,20,400.00,3.25,17.32,17.10,5.00,20
4860.00,5040.00,H15S_offRamp2,20,400.00,3.38,16.76,16.44,5.00,20
5040.00,5220.00,H15S_offRamp2,24,480.00,3.91,17.27,17.06,5.00,24
5220.00,5400.00,H15S_offRamp2,20,400.00,3.22,17.38,17.27,5.00,20
5400.00,5580.00,H15S_offRamp2,25,500.00,3.99,17.65,17.38,5.00,25
5580.00,5760.00,H15S_offRamp2,21,420.00,3.55,16.67,16.41,5.00,21
5760.00,5940.00,H15S_offRamp2,18,360.00,3.27,16.18,15.27,5.00,18
5940.00,6120.00,H15S_offRamp2,22,440.00,3.92,16.05,15.60,5.00,22
6120.00,6300.00,H15S_offRamp2,16,320.00,2.64,17.45,16.83,5.00,16
6300.00,6480.00,H15S_offRamp2,24,480.00,3.98,17.02,16.75,5.00,24
6480.00,6660.00,H15S_offRamp2,21,420.00,3.50,16.88,16.68,5.00,21
6660.00,6840.00,H15S_offRamp2,28,560.00,4.62,17.20,16.85,5.00,28
6840.00,7020.00,H15S_offRamp2,18,360.00,2.82,17.92,17.72,5.00,18
7020.00,7200.00,H15S_offRamp2,19,380.00,3.10,17.15,17.00,5.00,19
7200.00,7380.00,H15S_offRamp2,18,360.00,3.00,16.91,16.67,5.00,18
7380.00,7560.00,H15S_offRamp2,16,320.00,2.73,17.21,16.29,5.00,16
7560.00,7740.00,H15S_offRamp2,13,260.00,2.04,18.51,18.22,5.00,14
7740.00,7920.00,H15S_offRamp2,21,420.00,3.41,17.14,16.83,5.00,20
7920.00,8100.00,H15S_offRamp2,14,280.00,2.31,16.99,16.82,5.00,14
8100.00,8280.00,H15S_offRamp2,17,340.00,2.62,18.12,17.99,5.00,17
8280.00,8460.00,H15S_offRamp2,22,440.00,3.39,18.17,18.05,5.00,22
8460.00,8640.00,H15S_offRamp2,20,400.00,3.27,17.17,17.00,5.00,20
8640.00,8820.00,H15S_offRamp2,18,360.00,2.70,18.89,18.53,5.00,18
8820.00,9000.00,H15S_offRamp2,20,400.00,3.17,17.83,17.51,5.00,20
9000.00,9180.00,H15S_offRamp2,14,280.00,2.09,18.93,18.58,5.00,14
9180.00,9360.00,H15S_offRamp2,22,440.00,3.38,18.43,18.06,5.00,22
9360.00,9540.00,H15S_offRamp2,16,320.00,2.42,18.68,18.36,5.00,16
9540.00,9720.00,H15S_offRamp2,13,260.00,1.94,18.84,18.57,5.00,13
9720.00,9900.00,H15S_offRamp2,10,200.00,1.63,17.52,17.04,5.00,10
9900.00,10080.00,H15S_offRamp2,15,300.00,2.60,16.71,16.04,5.00,15
10080.00,10260.00,H15S_offRamp2,11,220.00,1.92,16.51,15.90,5.00,11
10260.00,10440.00,H15S_offRamp2,6,120.00,0.89,18.86,18.78,5.00,6
10440.00,10620.00,H15S_offRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
10620.00,10800.00,H15S_offRamp2,11,220.00,2.24,14.18,13.64,5.00,11
10800.00,10980.00,H15S_offRamp2,11,220.00,1.65,18.86,18.56,5.00,11
10980.00,11160.00,H15S_offRamp2,1,20.00,0.16,17.67,17.67,5.00,1
11160.00,11340.00,H15S_offRamp2,5,100.00,0.82,17.00,16.90,5.00,5
11340.00,11520.00,H15S_offRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
11520.00,11700.00,H15S_offRamp2,1,20.00,0.16,17.76,17.76,5.00,1
11700.00,11880.00,H15S_offRamp2,2,40.00,0.34,16.18,16.17,5.00,2
11880.00,12060.00,H15S_offRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
12060.00,12240.00,H15S_offRamp2,1,20.00,0.15,18.83,18.83,5.00,1
12240.00,12420.00,H15S_offRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
12420.00,12600.00,H15S_offRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
12600.00,12780.00,H15S_offRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
12780.00,12960.00,H15S_offRamp2,2,40.00,0.53,10.51,10.42,5.00,2
12960.00,13140.00,H15S_offRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
13140.00,13320.00,H15S_offRamp2,2,40.00,0.32,17.36,17.35,5.00,2
13320.00,13500.00,H15S_offRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
13500.00,13680.00,H15S_offRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
13680.00,13860.00,H15S_offRamp2,2,40.00,0.73,8.32,7.62,5.00,2
13860.00,14040.00,H15S_offRamp2,0,0.00,0.00,-1.00,-1.00,-1.00,0
14040.00,14220.00,H15S_offRamp2,1,20.00,0.10,29.14,29.14,5.00,1
14220.00,14400.00,H15S_offRamp2,1,20.00,0.13,22.09,22.09,5.00,1
