begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20E_offRamp1,7,140.00,0.75,25.97,25.79,5.00,7
180.00,360.00,H20E_offRamp1,32,640.00,3.23,27.84,27.51,5.00,32
360.00,540.00,H20E_offRamp1,35,700.00,3.62,27.12,26.83,5.00,35
540.00,720.00,H20E_offRamp1,36,720.00,3.75,27.01,26.65,5.00,36
720.00,900.00,H20E_offRamp1,35,700.00,3.62,27.21,26.89,5.00,35
900.00,1080.00,H20E_offRamp1,37,740.00,3.66,28.33,28.11,5.00,37
1080.00,1260.00,H20E_offRamp1,31,620.00,3.13,27.66,27.55,5.00,31
1260.00,1440.00,H20E_offRamp1,35,700.00,3.58,27.35,27.14,5.00,35
1440.00,1620.00,H20E_offRamp1,42,840.00,4.59,25.59,25.41,5.00,42
1620.00,1800.00,H20E_offRamp1,37,740.00,3.87,26.88,26.58,5.00,37
1800.00,1980.00,H20E_offRamp1,34,680.00,3.60,27.17,26.86,5.00,35
1980.00,2160.00,H20E_offRamp1,33,660.00,3.15,28.44,28.32,5.00,32
2160.00,2340.00,H20E_offRamp1,36,720.00,3.71,27.29,26.98,5.00,36
2340.00,2520.00,H20E_offRamp1,41,820.00,4.01,28.65,28.43,5.00,41
2520.00,2700.00,H20E_offRamp1,36,720.00,3.74,27.64,27.48,5.00,37
2700.00,2880.00,H20E_offRamp1,39,780.00,3.98,26.98,26.55,5.00,38
2880.00,3060.00,H20E_offRamp1,34,680.00,3.53,27.00,26.75,5.00,34
3060.00,3240.00,H20E_offRamp1,32,640.00,3.29,27.33,26.99,5.00,32
3240.00,3420.00,H20E_offRamp1,32,640.00,3.29,27.29,27.04,5.00,32
3420.00,3600.00,H20E_offRamp1,37,740.00,3.90,26.66,26.36,5.00,37
3600.00,3780.00,H20E_offRamp1,36,720.00,3.65,27.55,27.36,5.00,36
3780.00,3960.00,H20E_offRamp1,43,860.00,4.45,26.97,26.82,5.00,43
3960.00,4140.00,H20E_offRamp1,34,680.00,3.45,27.49,27.36,5.00,34
4140.00,4320.00,H20E_offRamp1,32,640.00,3.37,26.55,26.38,5.00,32
4320.00,4500.00,H20E_offRamp1,35,700.00,3.51,27.95,27.73,5.00,35
4500.00,4680.00,H20E_offRamp1,28,560.00,2.93,26.86,26.53,5.00,28
4680.00,4860.00,H20E_offRamp1,36,720.00,3.67,27.40,27.27,5.00,36
4860.00,5040.00,H20E_offRamp1,44,880.00,4.42,27.82,27.63,5.00,44
5040.00,5220.00,H20E_offRamp1,41,820.00,4.35,26.46,26.20,5.00,41
5220.00,5400.00,H20E_offRamp1,40,800.00,4.07,27.49,27.30,5.00,40
5400.00,5580.00,H20E_offRamp1,30,600.00,3.06,27.36,27.19,5.00,30
5580.00,5760.00,H20E_offRamp1,37,740.00,3.80,27.32,27.07,5.00,37
5760.00,5940.00,H20E_offRamp1,37,740.00,3.82,27.17,26.93,5.00,37
5940.00,6120.00,H20E_offRamp1,40,800.00,4.13,27.11,26.89,5.00,40
6120.00,6300.00,H20E_offRamp1,37,740.00,3.91,26.71,26.26,5.00,37
6300.00,6480.00,H20E_offRamp1,39,780.00,4.09,26.67,26.48,5.00,39
6480.00,6660.00,H20E_offRamp1,35,700.00,3.59,27.26,27.08,5.00,35
6660.00,6840.00,H20E_offRamp1,26,520.00,2.99,24.73,24.16,5.00,26
6840.00,7020.00,H20E_offRamp1,25,500.00,3.74,18.76,18.59,5.00,25
7020.00,7200.00,H20E_offRamp1,25,500.00,3.77,18.59,18.42,5.00,25
7200.00,7380.00,H20E_offRamp1,25,500.00,3.85,18.56,18.03,5.00,25
7380.00,7560.00,H20E_offRamp1,23,460.00,3.62,18.61,17.66,5.00,23
