begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20E_onRamp1,38,760.00,5.63,18.91,18.75,5.00,38
180.00,360.00,H20E_onRamp1,37,740.00,5.63,18.42,18.26,5.00,37
360.00,540.00,H20E_onRamp1,38,760.00,5.71,18.61,18.48,5.00,38
540.00,720.00,H20E_onRamp1,37,740.00,5.76,18.06,17.83,5.00,37
720.00,900.00,H20E_onRamp1,38,760.00,5.93,18.03,17.81,5.00,38
900.00,1080.00,H20E_onRamp1,37,740.00,5.60,18.48,18.35,5.00,37
1080.00,1260.00,H20E_onRamp1,38,760.00,5.79,18.43,18.22,5.00,38
1260.00,1440.00,H20E_onRamp1,37,740.00,5.70,18.31,18.03,5.00,37
1440.00,1620.00,H20E_onRamp1,38,760.00,5.86,18.29,18.00,5.00,38
1620.00,1800.00,H20E_onRamp1,37,740.00,5.81,18.00,17.69,5.00,37
1800.00,1980.00,H20E_onRamp1,38,760.00,6.00,18.03,17.60,5.00,38
1980.00,2160.00,H20E_onRamp1,37,740.00,5.64,18.45,18.22,5.00,37
2160.00,2340.00,H20E_onRamp1,38,760.00,5.94,17.91,17.77,5.00,38
2340.00,2520.00,H20E_onRamp1,37,740.00,5.93,17.61,17.32,5.00,37
2520.00,2700.00,H20E_onRamp1,38,760.00,5.92,18.39,17.82,5.00,38
2700.00,2880.00,H20E_onRamp1,37,740.00,5.71,18.27,17.99,5.00,37
2880.00,3060.00,H20E_onRamp1,38,760.00,6.46,17.25,16.33,5.00,38
3060.00,3240.00,H20E_onRamp1,37,740.00,5.73,18.13,17.92,5.00,37
3240.00,3420.00,H20E_onRamp1,38,760.00,5.85,18.54,18.04,5.00,38
3420.00,3600.00,H20E_onRamp1,37,740.00,5.87,17.83,17.50,5.00,37
3600.00,3780.00,H20E_onRamp1,38,760.00,6.08,17.79,17.35,5.00,38
3780.00,3960.00,H20E_onRamp1,37,740.00,5.72,18.13,17.98,5.00,37
3960.00,4140.00,H20E_onRamp1,38,760.00,5.65,18.91,18.68,5.00,38
4140.00,4320.00,H20E_onRamp1,37,740.00,5.80,17.92,17.73,5.00,37
4320.00,4500.00,H20E_onRamp1,38,760.00,5.96,17.84,17.72,5.00,38
4500.00,4680.00,H20E_onRamp1,37,740.00,6.00,17.72,17.12,5.00,37
4680.00,4860.00,H20E_onRamp1,18,360.00,58.38,16.64,15.69,5.00,19
4860.00,5040.00,H20E_onRamp1,51,1020.00,37.36,13.99,1.53,5.00,51
5040.00,5220.00,H20E_onRamp1,36,720.00,29.52,15.84,14.97,5.00,36
5220.00,5400.00,H20E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
5400.00,5580.00,H20E_onRamp1,0,0.00,99.08,-1.00,-1.00,-1.00,1
5580.00,5760.00,H20E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
5760.00,5940.00,H20E_onRamp1,38,760.00,64.62,14.15,4.11,5.00,39
5940.00,6120.00,H20E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
6120.00,6300.00,H20E_onRamp1,0,0.00,99.15,-1.00,-1.00,-1.00,1
6300.00,6480.00,H20E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
6480.00,6660.00,H20E_onRamp1,0,0.00,99.31,-1.00,-1.00,-1.00,1
6660.00,6840.00,H20E_onRamp1,23,460.00,70.37,10.83,0.48,5.00,23
6840.00,7020.00,H20E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
7020.00,7200.00,H20E_onRamp1,0,0.00,98.61,-1.00,-1.00,-1.00,1
7200.00,7380.00,H20E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
7380.00,7560.00,H20E_onRamp1,0,0.00,98.85,-1.00,-1.00,-1.00,1
7560.00,7740.00,H20E_onRamp1,33,660.00,67.21,14.32,0.93,5.00,33
7740.00,7920.00,H20E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
7920.00,8100.00,H20E_onRamp1,0,0.00,99.13,-1.00,-1.00,-1.00,1
8100.00,8280.00,H20E_onRamp1,14,280.00,88.76,10.14,0.22,5.00,13
8280.00,8460.00,H20E_onRamp1,20,400.00,4.11,14.80,13.52,5.00,20
8460.00,8640.00,H20E_onRamp1,1,20.00,1.02,2.72,2.72,5.00,1
8640.00,8820.00,H20E_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
8820.00,9000.00,H20E_onRamp1,1,20.00,0.94,2.94,2.94,5.00,1
9000.00,9180.00,H20E_onRamp1,2,40.00,70.42,3.04,0.08,5.00,3
9180.00,9360.00,H20E_onRamp1,36,720.00,68.08,14.91,13.96,5.00,36
9360.00,9540.00,H20E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
9540.00,9720.00,H20E_onRamp1,0,0.00,98.89,-1.00,-1.00,-1.00,1
9720.00,9900.00,H20E_onRamp1,0,0.00,98.75,-1.00,-1.00,-1.00,1
9900.00,10080.00,H20E_onRamp1,34,680.00,69.66,14.10,2.18,5.00,34
10080.00,10260.00,H20E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
10260.00,10440.00,H20E_onRamp1,0,0.00,99.15,-1.00,-1.00,-1.00,1
10440.00,10620.00,H20E_onRamp1,0,0.00,99.20,-1.00,-1.00,-1.00,1
10620.00,10800.00,H20E_onRamp1,32,640.00,71.86,15.10,1.10,5.00,31
10800.00,10980.00,H20E_onRamp1,7,140.00,2.07,12.85,9.40,5.00,7
10980.00,11160.00,H20E_onRamp1,1,20.00,0.85,3.28,3.28,5.00,1
11160.00,11340.00,H20E_onRamp1,36,720.00,8.04,14.47,12.44,5.00,36
11340.00,11520.00,H20E_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
11520.00,11700.00,H20E_onRamp1,11,220.00,5.39,9.80,5.84,5.00,12
11700.00,11880.00,H20E_onRamp1,36,720.00,57.85,14.73,1.73,5.00,36
11880.00,12060.00,H20E_onRamp1,26,520.00,78.35,14.24,13.19,5.00,26
12060.00,12240.00,H20E_onRamp1,0,0.00,98.41,-1.00,-1.00,-1.00,1
12240.00,12420.00,H20E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
12420.00,12600.00,H20E_onRamp1,52,1040.00,55.96,13.32,0.91,5.00,51
12600.00,12780.00,H20E_onRamp1,49,980.00,49.99,14.59,2.72,5.00,49
12780.00,12960.00,H20E_onRamp1,2,40.00,96.94,7.98,7.62,5.00,3
12960.00,13140.00,H20E_onRamp1,28,560.00,77.62,13.03,0.45,5.00,27
13140.00,13320.00,H20E_onRamp1,62,1240.00,13.01,14.96,13.23,5.00,62
13320.00,13500.00,H20E_onRamp1,11,220.00,85.72,14.64,13.39,5.00,12
13500.00,13680.00,H20E_onRamp1,0,0.00,98.68,-1.00,-1.00,-1.00,1
13680.00,13860.00,H20E_onRamp1,34,680.00,53.09,13.10,1.41,5.00,33
13860.00,14040.00,H20E_onRamp1,42,840.00,17.65,14.91,12.80,5.00,43
14040.00,14220.00,H20E_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
14220.00,14400.00,H20E_onRamp1,67,1340.00,40.72,13.90,1.25,5.00,66
