begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20E_out_2,7,140.00,0.54,36.20,36.00,5.00,7
180.00,360.00,H20E_out_2,47,940.00,3.91,33.58,33.41,5.00,47
360.00,540.00,H20E_out_2,51,1020.00,4.44,32.08,31.92,5.00,51
540.00,720.00,H20E_out_2,57,1140.00,5.02,31.67,31.53,5.00,57
720.00,900.00,H20E_out_2,50,1000.00,4.80,32.21,29.19,5.00,51
900.00,1080.00,H20E_out_2,61,1220.00,5.33,31.66,31.51,5.00,60
1080.00,1260.00,H20E_out_2,49,980.00,4.16,32.94,32.84,5.00,50
1260.00,1440.00,H20E_out_2,61,1220.00,5.24,32.44,32.31,5.00,61
1440.00,1620.00,H20E_out_2,45,900.00,5.05,29.75,24.75,5.00,45
1620.00,1800.00,H20E_out_2,52,1040.00,4.72,30.73,30.59,5.00,52
1800.00,1980.00,H20E_out_2,52,1040.00,4.51,32.11,32.00,5.00,52
1980.00,2160.00,H20E_out_2,55,1100.00,4.69,32.69,32.56,5.00,55
2160.00,2340.00,H20E_out_2,55,1100.00,4.76,32.25,32.13,5.00,55
2340.00,2520.00,H20E_out_2,46,920.00,3.94,32.58,32.46,5.00,47
2520.00,2700.00,H20E_out_2,63,1260.00,5.95,31.58,29.36,5.00,62
2700.00,2880.00,H20E_out_2,59,1180.00,5.18,31.71,31.62,5.00,59
2880.00,3060.00,H20E_out_2,60,1200.00,5.23,31.99,31.89,5.00,60
3060.00,3240.00,H20E_out_2,56,1120.00,4.89,32.05,31.84,5.00,56
3240.00,3420.00,H20E_out_2,52,1040.00,4.55,31.88,31.76,5.00,52
3420.00,3600.00,H20E_out_2,68,1360.00,6.02,31.61,31.38,5.00,68
3600.00,3780.00,H20E_out_2,52,1040.00,4.53,32.00,31.89,5.00,52
3780.00,3960.00,H20E_out_2,62,1240.00,5.59,30.98,30.78,5.00,62
3960.00,4140.00,H20E_out_2,61,1220.00,5.42,31.42,31.25,5.00,61
4140.00,4320.00,H20E_out_2,58,1160.00,5.06,31.96,31.82,5.00,58
4320.00,4500.00,H20E_out_2,60,1200.00,5.14,32.58,32.40,5.00,60
4500.00,4680.00,H20E_out_2,58,1160.00,5.63,31.42,28.65,5.00,59
4680.00,4860.00,H20E_out_2,60,1200.00,5.19,32.25,32.16,5.00,61
4860.00,5040.00,H20E_out_2,59,1180.00,5.07,32.44,32.34,5.00,59
5040.00,5220.00,H20E_out_2,59,1180.00,5.41,30.50,30.31,5.00,59
5220.00,5400.00,H20E_out_2,59,1180.00,5.19,31.71,31.56,5.00,59
5400.00,5580.00,H20E_out_2,54,1080.00,5.16,31.88,29.09,5.00,54
5580.00,5760.00,H20E_out_2,58,1160.00,5.01,32.29,32.13,5.00,58
5760.00,5940.00,H20E_out_2,55,1100.00,4.80,31.95,31.84,5.00,55
5940.00,6120.00,H20E_out_2,55,1100.00,4.88,31.43,31.31,5.00,55
6120.00,6300.00,H20E_out_2,58,1160.00,5.10,31.72,31.56,5.00,58
6300.00,6480.00,H20E_out_2,52,1040.00,4.43,32.80,32.62,5.00,52
6480.00,6660.00,H20E_out_2,41,820.00,3.56,32.12,31.99,5.00,41
6660.00,6840.00,H20E_out_2,59,1180.00,5.76,31.09,28.44,5.00,59
6840.00,7020.00,H20E_out_2,49,980.00,4.26,32.10,31.96,5.00,49
7020.00,7200.00,H20E_out_2,46,920.00,4.06,31.58,31.47,5.00,46
7200.00,7380.00,H20E_out_2,32,640.00,2.73,32.75,32.56,5.00,32
7380.00,7560.00,H20E_out_2,35,700.00,3.04,32.12,32.03,5.00,35
7560.00,7740.00,H20E_out_2,48,960.00,4.19,31.93,31.81,5.00,48
7740.00,7920.00,H20E_out_2,44,880.00,3.84,31.95,31.81,5.00,44
7920.00,8100.00,H20E_out_2,51,1020.00,4.45,31.94,31.84,5.00,51
8100.00,8280.00,H20E_out_2,50,1000.00,4.51,30.93,30.80,5.00,50
8280.00,8460.00,H20E_out_2,57,1140.00,5.08,31.30,31.19,5.00,57
8460.00,8640.00,H20E_out_2,44,880.00,3.84,31.93,31.81,5.00,44
8640.00,8820.00,H20E_out_2,43,860.00,3.62,33.14,33.03,5.00,43
8820.00,9000.00,H20E_out_2,46,920.00,4.41,32.15,28.98,5.00,46
9000.00,9180.00,H20E_out_2,47,940.00,4.03,32.49,32.36,5.00,47
9180.00,9360.00,H20E_out_2,26,520.00,2.23,32.54,32.42,5.00,26
9360.00,9540.00,H20E_out_2,36,720.00,2.99,33.65,33.49,5.00,36
9540.00,9720.00,H20E_out_2,35,700.00,2.97,32.83,32.71,5.00,35
9720.00,9900.00,H20E_out_2,30,600.00,2.55,33.00,32.72,5.00,30
9900.00,10080.00,H20E_out_2,43,860.00,3.61,33.18,33.06,5.00,43
10080.00,10260.00,H20E_out_2,47,940.00,4.16,31.50,31.36,5.00,47
10260.00,10440.00,H20E_out_2,36,720.00,3.08,32.63,32.46,5.00,36
10440.00,10620.00,H20E_out_2,40,800.00,3.90,32.38,28.50,5.00,40
10620.00,10800.00,H20E_out_2,34,680.00,2.98,31.77,31.68,5.00,34
10800.00,10980.00,H20E_out_2,33,660.00,2.77,33.15,33.04,5.00,33
10980.00,11160.00,H20E_out_2,33,660.00,2.84,32.45,32.28,5.00,33
11160.00,11340.00,H20E_out_2,34,680.00,3.02,31.37,31.29,5.00,34
11340.00,11520.00,H20E_out_2,30,600.00,2.58,32.40,32.31,5.00,30
11520.00,11700.00,H20E_out_2,23,460.00,1.97,32.59,32.42,5.00,23
11700.00,11880.00,H20E_out_2,4,80.00,0.34,32.43,32.33,5.00,4
11880.00,12060.00,H20E_out_2,3,60.00,0.25,32.95,32.95,5.00,3
12060.00,12240.00,H20E_out_2,0,0.00,0.00,-1.00,-1.00,-1.00,0
12240.00,12420.00,H20E_out_2,3,60.00,0.24,34.60,34.60,5.00,3
12420.00,12600.00,H20E_out_2,6,120.00,0.57,29.43,29.25,5.00,6
12600.00,12780.00,H20E_out_2,1,20.00,0.09,32.18,32.18,5.00,1
12780.00,12960.00,H20E_out_2,10,200.00,0.83,33.72,33.57,5.00,10
12960.00,13140.00,H20E_out_2,0,0.00,0.00,-1.00,-1.00,-1.00,0
13140.00,13320.00,H20E_out_2,5,100.00,0.93,29.24,14.99,5.00,5
13320.00,13500.00,H20E_out_2,0,0.00,0.00,-1.00,-1.00,-1.00,0
13500.00,13680.00,H20E_out_2,11,220.00,0.96,31.96,31.79,5.00,11
13680.00,13860.00,H20E_out_2,3,60.00,0.27,31.20,31.16,5.00,3
13860.00,14040.00,H20E_out_2,1,20.00,0.09,31.51,31.51,5.00,1
14040.00,14220.00,H20E_out_2,2,40.00,0.17,33.70,33.65,5.00,2
14220.00,14400.00,H20E_out_2,0,0.00,0.00,-1.00,-1.00,-1.00,0
