begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20W_offRamp1,5,100.00,0.46,30.65,30.31,5.00,5
180.00,360.00,H20W_offRamp1,19,380.00,1.88,28.22,28.02,5.00,19
360.00,540.00,H20W_offRamp1,20,400.00,1.99,28.14,27.89,5.00,20
540.00,720.00,H20W_offRamp1,20,400.00,1.99,28.15,27.99,5.00,20
720.00,900.00,H20W_offRamp1,24,480.00,2.58,26.08,25.89,5.00,24
900.00,1080.00,H20W_offRamp1,26,520.00,2.68,27.18,26.91,5.00,26
1080.00,1260.00,H20W_offRamp1,21,420.00,2.12,27.76,27.57,5.00,21
1260.00,1440.00,H20W_offRamp1,22,440.00,2.28,27.00,26.78,5.00,22
1440.00,1620.00,H20W_offRamp1,16,320.00,1.73,25.85,25.62,5.00,16
1620.00,1800.00,H20W_offRamp1,18,360.00,1.84,27.47,27.19,5.00,18
1800.00,1980.00,H20W_offRamp1,27,540.00,2.84,26.62,26.45,5.00,27
1980.00,2160.00,H20W_offRamp1,24,480.00,2.48,27.16,26.88,5.00,24
2160.00,2340.00,H20W_offRamp1,24,480.00,2.43,27.62,27.43,5.00,24
2340.00,2520.00,H20W_offRamp1,22,440.00,2.23,27.81,27.46,5.00,22
2520.00,2700.00,H20W_offRamp1,23,460.00,2.40,26.80,26.57,5.00,23
2700.00,2880.00,H20W_offRamp1,18,360.00,1.81,27.92,27.61,5.00,18
2880.00,3060.00,H20W_offRamp1,22,440.00,2.23,27.58,27.39,5.00,22
3060.00,3240.00,H20W_offRamp1,28,560.00,2.97,26.35,26.18,5.00,28
3240.00,3420.00,H20W_offRamp1,22,440.00,2.18,28.30,27.98,5.00,22
3420.00,3600.00,H20W_offRamp1,19,380.00,1.91,27.80,27.62,5.00,19
3600.00,3780.00,H20W_offRamp1,20,400.00,2.01,27.83,27.58,5.00,20
3780.00,3960.00,H20W_offRamp1,20,400.00,2.04,27.49,27.21,5.00,20
3960.00,4140.00,H20W_offRamp1,27,540.00,2.67,28.18,28.04,5.00,27
4140.00,4320.00,H20W_offRamp1,22,440.00,2.16,28.50,28.25,5.00,22
4320.00,4500.00,H20W_offRamp1,21,420.00,2.14,27.61,27.20,5.00,21
4500.00,4680.00,H20W_offRamp1,22,440.00,2.26,27.65,27.06,5.00,22
4680.00,4860.00,H20W_offRamp1,20,400.00,1.98,28.18,28.01,5.00,20
4860.00,5040.00,H20W_offRamp1,20,400.00,2.15,26.16,25.90,5.00,20
5040.00,5220.00,H20W_offRamp1,17,340.00,1.71,27.87,27.64,5.00,17
