begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20W_onRamp1,31,620.00,6.40,13.68,13.46,5.00,31
180.00,360.00,H20W_onRamp1,28,560.00,5.55,14.25,14.01,5.00,28
360.00,540.00,H20W_onRamp1,31,620.00,6.33,13.84,13.60,5.00,31
540.00,720.00,H20W_onRamp1,28,560.00,5.52,14.24,14.10,5.00,28
720.00,900.00,H20W_onRamp1,31,620.00,6.17,14.18,13.95,5.00,31
900.00,1080.00,H20W_onRamp1,28,560.00,5.65,14.10,13.76,5.00,28
1080.00,1260.00,H20W_onRamp1,31,620.00,6.15,14.15,14.00,5.00,31
1260.00,1440.00,H20W_onRamp1,28,560.00,5.50,14.36,14.15,5.00,28
1440.00,1620.00,H20W_onRamp1,31,620.00,6.27,14.12,13.74,5.00,31
1620.00,1800.00,H20W_onRamp1,28,560.00,5.44,14.50,14.30,5.00,28
1800.00,1980.00,H20W_onRamp1,31,620.00,6.17,14.29,13.95,5.00,31
1980.00,2160.00,H20W_onRamp1,28,560.00,5.76,13.73,13.51,5.00,28
2160.00,2340.00,H20W_onRamp1,31,620.00,6.21,14.16,13.87,5.00,31
2340.00,2520.00,H20W_onRamp1,28,560.00,5.25,15.02,14.82,5.00,28
2520.00,2700.00,H20W_onRamp1,31,620.00,6.20,14.20,13.88,5.00,31
2700.00,2880.00,H20W_onRamp1,28,560.00,5.41,14.60,14.37,5.00,28
2880.00,3060.00,H20W_onRamp1,31,620.00,6.11,14.46,14.08,5.00,31
3060.00,3240.00,H20W_onRamp1,28,560.00,5.68,13.98,13.69,5.00,28
3240.00,3420.00,H20W_onRamp1,31,620.00,6.50,13.71,13.24,5.00,31
3420.00,3600.00,H20W_onRamp1,28,560.00,5.64,14.05,13.79,5.00,28
3600.00,3780.00,H20W_onRamp1,31,620.00,6.37,13.96,13.51,5.00,31
3780.00,3960.00,H20W_onRamp1,28,560.00,5.58,14.22,13.94,5.00,28
3960.00,4140.00,H20W_onRamp1,31,620.00,6.10,14.32,14.12,5.00,31
4140.00,4320.00,H20W_onRamp1,28,560.00,5.33,14.78,14.59,5.00,28
4320.00,4500.00,H20W_onRamp1,31,620.00,6.20,14.21,13.89,5.00,31
4500.00,4680.00,H20W_onRamp1,28,560.00,5.55,14.28,14.01,5.00,28
4680.00,4860.00,H20W_onRamp1,31,620.00,6.11,14.31,14.10,5.00,31
4860.00,5040.00,H20W_onRamp1,28,560.00,5.53,14.34,14.06,5.00,28
5040.00,5220.00,H20W_onRamp1,31,620.00,6.14,14.32,14.03,5.00,31
5220.00,5400.00,H20W_onRamp1,28,560.00,5.99,13.39,12.99,5.00,28
5400.00,5580.00,H20W_onRamp1,31,620.00,6.49,13.46,13.27,5.00,31
5580.00,5760.00,H20W_onRamp1,28,560.00,5.39,14.66,14.43,5.00,28
5760.00,5940.00,H20W_onRamp1,31,620.00,6.10,14.30,14.11,5.00,31
