begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20W_out_3,3,60.00,0.27,38.42,38.41,5.00,4
180.00,360.00,H20W_out_3,48,960.00,3.80,34.81,34.63,5.00,47
360.00,540.00,H20W_out_3,56,1120.00,4.61,34.04,33.76,5.00,56
540.00,720.00,H20W_out_3,55,1100.00,4.44,34.50,34.40,5.00,55
720.00,900.00,H20W_out_3,69,1380.00,6.15,33.48,31.18,5.00,69
900.00,1080.00,H20W_out_3,75,1500.00,6.36,32.91,32.74,5.00,75
1080.00,1260.00,H20W_out_3,58,1160.00,4.70,34.43,34.29,5.00,58
1260.00,1440.00,H20W_out_3,56,1120.00,5.02,33.90,31.02,5.00,56
1440.00,1620.00,H20W_out_3,58,1160.00,4.92,32.93,32.73,5.00,58
1620.00,1800.00,H20W_out_3,58,1160.00,4.64,34.94,34.74,5.00,58
1800.00,1980.00,H20W_out_3,57,1140.00,4.69,33.84,33.74,5.00,57
1980.00,2160.00,H20W_out_3,58,1160.00,4.78,33.81,33.70,5.00,58
2160.00,2340.00,H20W_out_3,65,1300.00,5.35,33.88,33.73,5.00,65
2340.00,2520.00,H20W_out_3,67,1340.00,5.51,33.91,33.78,5.00,68
2520.00,2700.00,H20W_out_3,63,1260.00,5.15,34.17,34.06,5.00,63
2700.00,2880.00,H20W_out_3,51,1020.00,4.09,34.78,34.69,5.00,51
2880.00,3060.00,H20W_out_3,60,1200.00,5.37,33.84,30.94,5.00,59
3060.00,3240.00,H20W_out_3,63,1260.00,5.24,33.51,33.43,5.00,63
3240.00,3420.00,H20W_out_3,62,1240.00,5.11,33.84,33.68,5.00,62
3420.00,3600.00,H20W_out_3,69,1380.00,5.65,34.03,33.92,5.00,69
3600.00,3780.00,H20W_out_3,71,1420.00,6.39,33.39,30.87,5.00,71
3780.00,3960.00,H20W_out_3,59,1180.00,4.69,35.13,34.95,5.00,59
3960.00,4140.00,H20W_out_3,63,1260.00,5.15,34.12,34.00,5.00,63
4140.00,4320.00,H20W_out_3,65,1300.00,5.38,33.68,33.57,5.00,65
4320.00,4500.00,H20W_out_3,58,1160.00,4.81,33.68,33.52,5.00,58
4500.00,4680.00,H20W_out_3,63,1260.00,5.17,33.91,33.84,5.00,63
4680.00,4860.00,H20W_out_3,55,1100.00,4.44,34.55,34.42,5.00,55
4860.00,5040.00,H20W_out_3,62,1240.00,5.48,34.40,31.45,5.00,62
5040.00,5220.00,H20W_out_3,46,920.00,3.77,34.33,34.21,5.00,47
5220.00,5400.00,H20W_out_3,77,1540.00,6.24,34.14,34.09,5.00,76
5400.00,5580.00,H20W_out_3,64,1280.00,5.13,34.76,34.66,5.00,64
5580.00,5760.00,H20W_out_3,68,1360.00,6.16,33.18,30.67,5.00,68
5760.00,5940.00,H20W_out_3,66,1320.00,5.97,33.19,30.69,5.00,66
5940.00,6120.00,H20W_out_3,66,1320.00,5.41,33.98,33.88,5.00,66
6120.00,6300.00,H20W_out_3,60,1200.00,4.95,34.19,34.04,5.00,61
6300.00,6480.00,H20W_out_3,47,940.00,3.69,34.99,34.82,5.00,46
6480.00,6660.00,H20W_out_3,43,860.00,3.50,34.37,34.17,5.00,43
6660.00,6840.00,H20W_out_3,50,1000.00,4.08,34.11,34.01,5.00,50
6840.00,7020.00,H20W_out_3,38,760.00,3.05,34.76,34.64,5.00,38
7020.00,7200.00,H20W_out_3,59,1180.00,4.97,33.26,33.00,5.00,59
7200.00,7380.00,H20W_out_3,49,980.00,3.98,34.28,34.18,5.00,49
7380.00,7560.00,H20W_out_3,43,860.00,3.44,34.83,34.74,5.00,43
7560.00,7740.00,H20W_out_3,39,780.00,3.20,34.53,34.39,5.00,40
7740.00,7920.00,H20W_out_3,46,920.00,3.63,34.85,34.73,5.00,45
7920.00,8100.00,H20W_out_3,57,1140.00,5.11,33.77,31.00,5.00,57
8100.00,8280.00,H20W_out_3,61,1220.00,5.11,33.61,33.36,5.00,62
8280.00,8460.00,H20W_out_3,67,1340.00,5.66,32.80,32.71,5.00,66
8460.00,8640.00,H20W_out_3,53,1060.00,4.30,34.37,34.26,5.00,53
8640.00,8820.00,H20W_out_3,40,800.00,3.25,34.38,34.18,5.00,40
8820.00,9000.00,H20W_out_3,28,560.00,2.12,36.87,36.72,5.00,28
9000.00,9180.00,H20W_out_3,18,360.00,1.43,35.15,35.02,5.00,18
9180.00,9360.00,H20W_out_3,33,660.00,2.68,34.42,34.23,5.00,33
9360.00,9540.00,H20W_out_3,43,860.00,3.58,33.71,33.41,5.00,43
9540.00,9720.00,H20W_out_3,26,520.00,2.06,35.46,35.14,5.00,26
9720.00,9900.00,H20W_out_3,42,840.00,3.61,32.53,32.35,5.00,42
9900.00,10080.00,H20W_out_3,28,560.00,2.33,34.71,34.59,5.00,29
10080.00,10260.00,H20W_out_3,28,560.00,2.24,34.97,34.71,5.00,28
10260.00,10440.00,H20W_out_3,9,180.00,0.69,36.25,36.16,5.00,9
10440.00,10620.00,H20W_out_3,28,560.00,2.76,33.49,28.19,5.00,28
10620.00,10800.00,H20W_out_3,14,280.00,1.10,35.53,35.42,5.00,14
10800.00,10980.00,H20W_out_3,19,380.00,1.66,33.40,33.22,5.00,20
10980.00,11160.00,H20W_out_3,32,640.00,2.67,33.66,33.51,5.00,33
11160.00,11340.00,H20W_out_3,31,620.00,2.49,34.66,34.54,5.00,31
11340.00,11520.00,H20W_out_3,40,800.00,3.23,34.56,34.37,5.00,40
11520.00,11700.00,H20W_out_3,23,460.00,1.96,33.11,32.65,5.00,23
11700.00,11880.00,H20W_out_3,2,40.00,0.16,35.30,35.28,5.00,2
11880.00,12060.00,H20W_out_3,2,40.00,0.20,36.51,36.33,5.00,3
12060.00,12240.00,H20W_out_3,42,840.00,3.41,33.90,33.76,5.00,41
12240.00,12420.00,H20W_out_3,8,160.00,0.63,35.76,35.50,5.00,8
12420.00,12600.00,H20W_out_3,10,200.00,0.80,35.12,34.81,5.00,10
12600.00,12780.00,H20W_out_3,13,260.00,1.04,34.78,34.67,5.00,13
12780.00,12960.00,H20W_out_3,9,180.00,0.70,35.70,35.63,5.00,9
12960.00,13140.00,H20W_out_3,5,100.00,0.37,37.37,37.30,5.00,5
13140.00,13320.00,H20W_out_3,28,560.00,2.36,33.07,32.95,5.00,28
13320.00,13500.00,H20W_out_3,11,220.00,0.92,33.14,33.10,5.00,11
13500.00,13680.00,H20W_out_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
13680.00,13860.00,H20W_out_3,25,500.00,2.10,33.22,33.02,5.00,25
13860.00,14040.00,H20W_out_3,3,60.00,0.22,37.43,37.38,5.00,3
14040.00,14220.00,H20W_out_3,17,340.00,1.46,32.30,32.29,5.00,17
14220.00,14400.00,H20W_out_3,15,300.00,1.21,34.60,34.51,5.00,15
