begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25N_offRamp1,5,100.00,0.47,29.73,29.53,5.00,5
180.00,360.00,H25N_offRamp1,15,300.00,1.53,27.67,27.30,5.00,15
360.00,540.00,H25N_offRamp1,20,400.00,2.05,27.53,27.07,5.00,20
540.00,720.00,H25N_offRamp1,20,400.00,2.06,27.31,27.02,5.00,20
720.00,900.00,H25N_offRamp1,20,400.00,2.02,27.59,27.50,5.00,20
900.00,1080.00,H25N_offRamp1,21,420.00,2.12,27.69,27.49,5.00,21
1080.00,1260.00,H25N_offRamp1,18,360.00,1.82,27.66,27.46,5.00,18
1260.00,1440.00,H25N_offRamp1,20,400.00,2.08,26.77,26.69,5.00,20
1440.00,1620.00,H25N_offRamp1,19,380.00,1.92,27.73,27.42,5.00,19
1620.00,1800.00,H25N_offRamp1,19,380.00,1.94,27.66,27.26,5.00,19
1800.00,1980.00,H25N_offRamp1,20,400.00,2.02,27.74,27.57,5.00,20
1980.00,2160.00,H25N_offRamp1,21,420.00,2.21,27.56,27.28,5.00,22
2160.00,2340.00,H25N_offRamp1,20,400.00,1.97,27.55,27.24,5.00,19
2340.00,2520.00,H25N_offRamp1,19,380.00,1.93,27.49,27.28,5.00,19
2520.00,2700.00,H25N_offRamp1,18,360.00,1.91,26.95,26.72,5.00,19
2700.00,2880.00,H25N_offRamp1,22,440.00,2.21,27.52,27.18,5.00,21
2880.00,3060.00,H25N_offRamp1,19,380.00,1.94,27.40,27.21,5.00,19
3060.00,3240.00,H25N_offRamp1,21,420.00,2.23,26.36,26.10,5.00,21
3240.00,3420.00,H25N_offRamp1,20,400.00,2.06,27.33,26.95,5.00,20
3420.00,3600.00,H25N_offRamp1,19,380.00,2.00,26.67,26.37,5.00,19
3600.00,3780.00,H25N_offRamp1,21,420.00,2.13,27.63,27.44,5.00,21
3780.00,3960.00,H25N_offRamp1,19,380.00,1.89,28.08,27.89,5.00,19
3960.00,4140.00,H25N_offRamp1,23,460.00,2.28,28.23,27.97,5.00,23
4140.00,4320.00,H25N_offRamp1,16,320.00,1.63,27.30,27.20,5.00,16
4320.00,4500.00,H25N_offRamp1,23,460.00,2.37,27.19,26.95,5.00,23
4500.00,4680.00,H25N_offRamp1,20,400.00,2.07,26.99,26.78,5.00,20
4680.00,4860.00,H25N_offRamp1,20,400.00,2.13,26.26,26.05,5.00,20
4860.00,5040.00,H25N_offRamp1,19,380.00,1.88,28.23,28.09,5.00,19
5040.00,5220.00,H25N_offRamp1,19,380.00,2.00,26.73,26.39,5.00,19
5220.00,5400.00,H25N_offRamp1,21,420.00,2.28,25.96,25.56,5.00,21
5400.00,5580.00,H25N_offRamp1,19,380.00,2.36,23.21,22.37,5.00,19
5580.00,5760.00,H25N_offRamp1,21,420.00,2.74,21.89,21.28,5.00,21
5760.00,5940.00,H25N_offRamp1,21,420.00,2.17,27.28,26.87,5.00,21
5940.00,6120.00,H25N_offRamp1,18,360.00,1.91,26.88,26.19,5.00,18
6120.00,6300.00,H25N_offRamp1,21,420.00,3.22,18.28,18.10,5.00,21
