begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25N_onRamp1,58,1160.00,5.84,27.87,27.59,5.00,58
180.00,360.00,H25N_onRamp1,60,1200.00,6.39,26.45,26.06,5.00,60
360.00,540.00,H25N_onRamp1,60,1200.00,6.46,26.07,25.81,5.00,60
540.00,720.00,H25N_onRamp1,60,1200.00,6.36,26.46,26.18,5.00,60
720.00,900.00,H25N_onRamp1,60,1200.00,6.30,26.76,26.45,5.00,60
900.00,1080.00,H25N_onRamp1,60,1200.00,6.30,26.77,26.45,5.00,60
1080.00,1260.00,H25N_onRamp1,60,1200.00,6.35,26.48,26.25,5.00,60
1260.00,1440.00,H25N_onRamp1,60,1200.00,6.32,26.62,26.39,5.00,60
1440.00,1620.00,H25N_onRamp1,60,1200.00,6.14,27.48,27.16,5.00,60
1620.00,1800.00,H25N_onRamp1,60,1200.00,6.33,26.48,26.33,5.00,60
1800.00,1980.00,H25N_onRamp1,60,1200.00,6.19,27.25,26.93,5.00,60
1980.00,2160.00,H25N_onRamp1,60,1200.00,5.98,28.05,27.88,5.00,60
2160.00,2340.00,H25N_onRamp1,60,1200.00,6.13,27.48,27.20,5.00,60
2340.00,2520.00,H25N_onRamp1,60,1200.00,6.17,27.26,27.02,5.00,60
2520.00,2700.00,H25N_onRamp1,60,1200.00,6.20,27.05,26.88,5.00,60
2700.00,2880.00,H25N_onRamp1,60,1200.00,6.36,26.56,26.20,5.00,60
2880.00,3060.00,H25N_onRamp1,60,1200.00,6.53,26.06,25.51,5.00,60
3060.00,3240.00,H25N_onRamp1,60,1200.00,6.13,27.39,27.17,5.00,60
3240.00,3420.00,H25N_onRamp1,60,1200.00,6.07,27.68,27.48,5.00,60
3420.00,3600.00,H25N_onRamp1,60,1200.00,6.30,26.65,26.46,5.00,60
3600.00,3780.00,H25N_onRamp1,60,1200.00,6.32,26.59,26.36,5.00,60
3780.00,3960.00,H25N_onRamp1,60,1200.00,6.20,27.13,26.87,5.00,60
3960.00,4140.00,H25N_onRamp1,60,1200.00,6.29,26.79,26.51,5.00,60
4140.00,4320.00,H25N_onRamp1,60,1200.00,6.32,26.66,26.37,5.00,60
4320.00,4500.00,H25N_onRamp1,60,1200.00,6.03,27.80,27.64,5.00,60
4500.00,4680.00,H25N_onRamp1,61,1220.00,6.47,26.61,26.19,5.00,61
4680.00,4860.00,H25N_onRamp1,59,1180.00,6.10,27.07,26.87,5.00,59
4860.00,5040.00,H25N_onRamp1,60,1200.00,5.96,28.23,27.95,5.00,60
5040.00,5220.00,H25N_onRamp1,59,1180.00,6.26,27.02,26.75,5.00,60
5220.00,5400.00,H25N_onRamp1,61,1220.00,6.28,26.60,26.42,5.00,60
5400.00,5580.00,H25N_onRamp1,60,1200.00,6.15,27.34,27.10,5.00,60
5580.00,5760.00,H25N_onRamp1,60,1200.00,6.39,26.68,26.08,5.00,60
5760.00,5940.00,H25N_onRamp1,60,1200.00,6.24,26.86,26.69,5.00,60
5940.00,6120.00,H25N_onRamp1,60,1200.00,6.37,26.40,26.18,5.00,60
6120.00,6300.00,H25N_onRamp1,60,1200.00,6.29,26.69,26.50,5.00,60
6300.00,6480.00,H25N_onRamp1,55,1100.00,13.96,21.77,18.98,5.00,56
6480.00,6660.00,H25N_onRamp1,61,1220.00,38.86,14.15,3.78,5.00,60
6660.00,6840.00,H25N_onRamp1,64,1280.00,15.26,16.50,11.65,5.00,64
6840.00,7020.00,H25N_onRamp1,52,1040.00,32.37,12.69,4.46,5.00,53
7020.00,7200.00,H25N_onRamp1,60,1200.00,17.60,13.08,9.47,5.00,59
7200.00,7380.00,H25N_onRamp1,32,640.00,49.57,13.67,11.68,5.00,33
7380.00,7560.00,H25N_onRamp1,46,920.00,62.09,13.13,1.23,5.00,46
7560.00,7740.00,H25N_onRamp1,41,820.00,48.10,12.93,9.92,5.00,41
7740.00,7920.00,H25N_onRamp1,43,860.00,53.02,11.93,1.33,5.00,42
7920.00,8100.00,H25N_onRamp1,70,1400.00,42.47,13.13,4.58,5.00,70
8100.00,8280.00,H25N_onRamp1,47,940.00,15.53,12.63,8.41,5.00,47
8280.00,8460.00,H25N_onRamp1,34,680.00,71.94,15.62,14.71,5.00,35
8460.00,8640.00,H25N_onRamp1,0,0.00,100.00,-1.00,-1.00,-1.00,0
8640.00,8820.00,H25N_onRamp1,55,1100.00,53.37,11.93,3.02,5.00,56
8820.00,9000.00,H25N_onRamp1,72,1440.00,33.68,17.12,15.88,5.00,72
9000.00,9180.00,H25N_onRamp1,74,1480.00,34.67,14.83,3.68,5.00,73
9180.00,9360.00,H25N_onRamp1,66,1320.00,39.03,15.08,5.50,5.00,67
9360.00,9540.00,H25N_onRamp1,63,1260.00,40.88,11.74,3.76,5.00,62
9540.00,9720.00,H25N_onRamp1,22,440.00,6.31,11.88,9.69,5.00,22
9720.00,9900.00,H25N_onRamp1,41,820.00,11.21,12.45,10.16,5.00,41
9900.00,10080.00,H25N_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
10080.00,10260.00,H25N_onRamp1,1,20.00,0.86,3.22,3.22,5.00,1
10260.00,10440.00,H25N_onRamp1,1,20.00,0.91,3.04,3.04,5.00,1
10440.00,10620.00,H25N_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
10620.00,10800.00,H25N_onRamp1,1,20.00,1.33,2.08,2.08,5.00,1
10800.00,10980.00,H25N_onRamp1,67,1340.00,27.13,12.35,11.18,5.00,68
10980.00,11160.00,H25N_onRamp1,55,1100.00,30.30,13.28,3.75,5.00,54
11160.00,11340.00,H25N_onRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
11340.00,11520.00,H25N_onRamp1,1,20.00,1.20,2.32,2.32,5.00,1
