begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_1_2,29,580.00,2.51,32.25,32.12,5.00,29
180.00,360.00,H25S_1_2,41,820.00,4.01,32.05,28.42,5.00,41
360.00,540.00,H25S_1_2,44,880.00,3.92,31.96,31.79,5.00,45
540.00,720.00,H25S_1_2,49,980.00,4.09,32.91,32.75,5.00,48
720.00,900.00,H25S_1_2,44,880.00,4.30,31.66,28.42,5.00,44
900.00,1080.00,H25S_1_2,49,980.00,4.14,33.18,32.90,5.00,49
1080.00,1260.00,H25S_1_2,42,840.00,3.62,32.77,32.63,5.00,43
1260.00,1440.00,H25S_1_2,46,920.00,4.04,31.76,31.60,5.00,46
1440.00,1620.00,H25S_1_2,54,1080.00,4.59,32.83,32.68,5.00,55
1620.00,1800.00,H25S_1_2,50,1000.00,4.78,32.30,29.05,5.00,49
1800.00,1980.00,H25S_1_2,45,900.00,3.82,32.89,32.75,5.00,45
1980.00,2160.00,H25S_1_2,46,920.00,4.53,32.31,28.75,5.00,47
2160.00,2340.00,H25S_1_2,46,920.00,3.88,33.19,32.97,5.00,46
2340.00,2520.00,H25S_1_2,44,880.00,3.78,32.54,32.34,5.00,44
2520.00,2700.00,H25S_1_2,49,980.00,4.28,32.11,31.78,5.00,49
2700.00,2880.00,H25S_1_2,47,940.00,4.62,31.45,28.28,5.00,47
2880.00,3060.00,H25S_1_2,44,880.00,3.67,33.51,33.33,5.00,44
3060.00,3240.00,H25S_1_2,47,940.00,3.83,34.31,34.13,5.00,47
3240.00,3420.00,H25S_1_2,45,900.00,3.78,33.33,33.05,5.00,45
3420.00,3600.00,H25S_1_2,46,920.00,3.81,33.75,33.58,5.00,46
3600.00,3780.00,H25S_1_2,43,860.00,3.63,33.13,32.95,5.00,43
3780.00,3960.00,H25S_1_2,49,980.00,4.08,33.47,33.34,5.00,49
3960.00,4140.00,H25S_1_2,44,880.00,4.43,30.92,27.79,5.00,45
4140.00,4320.00,H25S_1_2,47,940.00,4.06,32.38,32.15,5.00,47
4320.00,4500.00,H25S_1_2,45,900.00,4.77,32.16,26.20,5.00,45
4500.00,4680.00,H25S_1_2,46,920.00,3.90,33.01,32.75,5.00,46
4680.00,4860.00,H25S_1_2,45,900.00,3.84,32.76,32.56,5.00,45
4860.00,5040.00,H25S_1_2,49,980.00,4.30,31.87,31.65,5.00,49
5040.00,5220.00,H25S_1_2,49,980.00,4.24,32.27,32.09,5.00,49
5220.00,5400.00,H25S_1_2,43,860.00,4.19,31.99,28.57,5.00,44
5400.00,5580.00,H25S_1_2,47,940.00,4.63,31.50,28.18,5.00,47
5580.00,5760.00,H25S_1_2,44,880.00,4.24,32.32,28.83,5.00,44
5760.00,5940.00,H25S_1_2,51,1020.00,4.36,32.82,32.64,5.00,52
5940.00,6120.00,H25S_1_2,46,920.00,3.95,32.57,32.38,5.00,46
6120.00,6300.00,H25S_1_2,47,940.00,4.50,32.35,29.00,5.00,47
6300.00,6480.00,H25S_1_2,45,900.00,3.80,33.04,32.88,5.00,45
6480.00,6660.00,H25S_1_2,43,860.00,3.78,31.82,31.61,5.00,43
6660.00,6840.00,H25S_1_2,45,900.00,3.91,32.22,32.00,5.00,45
6840.00,7020.00,H25S_1_2,45,900.00,4.28,32.73,29.37,5.00,46
7020.00,7200.00,H25S_1_2,44,880.00,3.85,31.91,31.73,5.00,45
7200.00,7380.00,H25S_1_2,45,900.00,4.36,31.82,28.64,5.00,45
7380.00,7560.00,H25S_1_2,47,940.00,4.57,31.70,28.56,5.00,47
7560.00,7740.00,H25S_1_2,50,1000.00,4.26,32.84,32.61,5.00,50
7740.00,7920.00,H25S_1_2,47,940.00,4.05,32.99,32.81,5.00,48
7920.00,8100.00,H25S_1_2,51,1020.00,4.40,32.37,32.18,5.00,51
8100.00,8280.00,H25S_1_2,53,1060.00,5.61,31.69,26.24,5.00,53
8280.00,8460.00,H25S_1_2,39,780.00,3.31,33.13,32.96,5.00,40
8460.00,8640.00,H25S_1_2,52,1040.00,4.61,31.75,31.56,5.00,52
8640.00,8820.00,H25S_1_2,35,700.00,2.94,33.37,33.11,5.00,35
8820.00,9000.00,H25S_1_2,47,940.00,4.04,32.49,32.28,5.00,47
9000.00,9180.00,H25S_1_2,45,900.00,3.84,32.83,32.59,5.00,45
9180.00,9360.00,H25S_1_2,45,900.00,3.82,33.02,32.75,5.00,45
9360.00,9540.00,H25S_1_2,47,940.00,4.07,32.19,32.05,5.00,47
9540.00,9720.00,H25S_1_2,56,1120.00,5.42,31.51,28.71,5.00,56
9720.00,9900.00,H25S_1_2,54,1080.00,5.65,31.53,26.53,5.00,54
9900.00,10080.00,H25S_1_2,50,1000.00,5.37,31.31,25.89,5.00,50
10080.00,10260.00,H25S_1_2,28,560.00,2.34,33.51,33.24,5.00,28
10260.00,10440.00,H25S_1_2,30,600.00,2.61,32.73,32.59,5.00,31
