begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_in_1,30,600.00,2.56,32.82,32.51,5.00,30
180.00,360.00,H25S_in_1,36,720.00,3.14,32.10,31.86,5.00,36
360.00,540.00,H25S_in_1,33,660.00,4.06,29.31,22.59,5.00,33
540.00,720.00,H25S_in_1,36,720.00,4.80,29.26,20.85,5.00,36
720.00,900.00,H25S_in_1,31,620.00,3.89,28.70,22.11,5.00,31
900.00,1080.00,H25S_in_1,28,560.00,3.04,30.57,25.57,5.00,28
1080.00,1260.00,H25S_in_1,32,640.00,2.86,31.44,31.10,5.00,32
1260.00,1440.00,H25S_in_1,32,640.00,2.80,32.16,31.76,5.00,32
1440.00,1620.00,H25S_in_1,34,680.00,3.01,31.77,31.40,5.00,34
1620.00,1800.00,H25S_in_1,34,680.00,4.14,29.43,22.83,5.00,34
1800.00,1980.00,H25S_in_1,25,500.00,2.74,30.53,25.32,5.00,25
1980.00,2160.00,H25S_in_1,32,640.00,2.80,32.20,31.75,5.00,32
2160.00,2340.00,H25S_in_1,33,660.00,2.83,32.69,32.35,5.00,33
2340.00,2520.00,H25S_in_1,34,680.00,3.51,30.79,26.88,5.00,34
2520.00,2700.00,H25S_in_1,33,660.00,3.99,30.25,23.00,5.00,33
2700.00,2880.00,H25S_in_1,35,700.00,4.19,29.75,23.21,5.00,35
2880.00,3060.00,H25S_in_1,35,700.00,4.07,30.51,23.86,5.00,35
3060.00,3240.00,H25S_in_1,35,700.00,4.14,30.33,23.51,5.00,35
3240.00,3420.00,H25S_in_1,33,660.00,3.40,31.26,26.94,5.00,33
3420.00,3600.00,H25S_in_1,30,600.00,2.73,30.81,30.57,5.00,30
3600.00,3780.00,H25S_in_1,31,620.00,2.79,31.30,30.89,5.00,31
3780.00,3960.00,H25S_in_1,35,700.00,3.67,30.71,26.51,5.00,35
3960.00,4140.00,H25S_in_1,30,600.00,3.26,30.04,25.55,5.00,30
4140.00,4320.00,H25S_in_1,33,660.00,2.89,32.21,31.72,5.00,33
4320.00,4500.00,H25S_in_1,38,760.00,4.33,30.89,24.40,5.00,38
4500.00,4680.00,H25S_in_1,33,660.00,3.99,29.97,23.00,5.00,33
4680.00,4860.00,H25S_in_1,31,620.00,2.76,31.60,31.24,5.00,31
4860.00,5040.00,H25S_in_1,34,680.00,3.02,31.52,31.25,5.00,34
5040.00,5220.00,H25S_in_1,28,560.00,2.53,30.98,30.69,5.00,28
5220.00,5400.00,H25S_in_1,31,620.00,3.32,30.42,25.91,5.00,31
5400.00,5580.00,H25S_in_1,32,640.00,2.85,31.48,31.19,5.00,32
5580.00,5760.00,H25S_in_1,28,560.00,2.48,31.64,31.32,5.00,28
5760.00,5940.00,H25S_in_1,30,600.00,3.67,30.27,22.71,5.00,30
5940.00,6120.00,H25S_in_1,30,600.00,2.66,31.81,31.42,5.00,31
6120.00,6300.00,H25S_in_1,28,560.00,2.47,31.76,31.47,5.00,28
6300.00,6480.00,H25S_in_1,29,580.00,2.58,31.53,31.21,5.00,29
6480.00,6660.00,H25S_in_1,35,700.00,3.08,31.98,31.57,5.00,35
6660.00,6840.00,H25S_in_1,32,640.00,2.76,32.55,32.18,5.00,32
