begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_onRamp1,26,520.00,5.38,13.56,13.43,5.00,26
180.00,360.00,H25S_onRamp1,24,480.00,4.77,14.28,13.97,5.00,24
360.00,540.00,H25S_onRamp1,26,520.00,5.41,13.55,13.36,5.00,26
540.00,720.00,H25S_onRamp1,24,480.00,4.99,13.60,13.37,5.00,24
720.00,900.00,H25S_onRamp1,26,520.00,5.43,13.58,13.31,5.00,26
900.00,1080.00,H25S_onRamp1,24,480.00,5.13,13.35,13.01,5.00,24
1080.00,1260.00,H25S_onRamp1,26,520.00,5.36,13.72,13.47,5.00,26
1260.00,1440.00,H25S_onRamp1,24,480.00,5.16,13.15,12.92,5.00,24
1440.00,1620.00,H25S_onRamp1,26,520.00,5.40,13.60,13.37,5.00,26
1620.00,1800.00,H25S_onRamp1,24,480.00,5.13,13.39,13.00,5.00,24
1800.00,1980.00,H25S_onRamp1,26,520.00,5.61,13.10,12.88,5.00,26
1980.00,2160.00,H25S_onRamp1,24,480.00,4.89,13.90,13.63,5.00,24
2160.00,2340.00,H25S_onRamp1,26,520.00,5.35,13.76,13.49,5.00,26
2340.00,2520.00,H25S_onRamp1,24,480.00,4.90,13.96,13.60,5.00,24
2520.00,2700.00,H25S_onRamp1,26,520.00,5.40,13.64,13.37,5.00,26
2700.00,2880.00,H25S_onRamp1,24,480.00,5.09,13.33,13.09,5.00,24
2880.00,3060.00,H25S_onRamp1,26,520.00,5.47,13.44,13.19,5.00,26
3060.00,3240.00,H25S_onRamp1,24,480.00,5.12,13.21,13.02,5.00,24
3240.00,3420.00,H25S_onRamp1,26,520.00,5.39,13.61,13.40,5.00,26
3420.00,3600.00,H25S_onRamp1,24,480.00,5.21,13.01,12.78,5.00,24
3600.00,3780.00,H25S_onRamp1,26,520.00,5.52,13.36,13.08,5.00,26
3780.00,3960.00,H25S_onRamp1,24,480.00,4.86,14.06,13.71,5.00,24
3960.00,4140.00,H25S_onRamp1,26,520.00,5.35,13.84,13.51,5.00,26
4140.00,4320.00,H25S_onRamp1,24,480.00,5.13,13.15,12.99,5.00,24
4320.00,4500.00,H25S_onRamp1,26,520.00,5.45,13.59,13.26,5.00,26
4500.00,4680.00,H25S_onRamp1,24,480.00,4.62,14.76,14.43,5.00,24
4680.00,4860.00,H25S_onRamp1,26,520.00,5.72,12.79,12.62,5.00,26
4860.00,5040.00,H25S_onRamp1,24,480.00,4.84,14.12,13.77,5.00,24
5040.00,5220.00,H25S_onRamp1,26,520.00,5.52,13.49,13.08,5.00,26
5220.00,5400.00,H25S_onRamp1,24,480.00,4.95,13.75,13.48,5.00,24
5400.00,5580.00,H25S_onRamp1,26,520.00,5.48,13.31,13.18,5.00,26
5580.00,5760.00,H25S_onRamp1,24,480.00,4.95,13.75,13.46,5.00,24
5760.00,5940.00,H25S_onRamp1,25,500.00,5.54,13.08,12.92,5.00,26
5940.00,6120.00,H25S_onRamp1,25,500.00,5.03,13.54,13.37,5.00,24
6120.00,6300.00,H25S_onRamp1,26,520.00,5.38,13.60,13.43,5.00,26
6300.00,6480.00,H25S_onRamp1,24,480.00,5.06,13.59,13.16,5.00,24
6480.00,6660.00,H25S_onRamp1,26,520.00,5.64,12.98,12.80,5.00,26
6660.00,6840.00,H25S_onRamp1,24,480.00,4.86,13.92,13.72,5.00,24
6840.00,7020.00,H25S_onRamp1,26,520.00,5.40,13.62,13.36,5.00,26
7020.00,7200.00,H25S_onRamp1,24,480.00,4.65,14.66,14.35,5.00,24
7200.00,7380.00,H25S_onRamp1,26,520.00,5.55,13.30,13.01,5.00,26
7380.00,7560.00,H25S_onRamp1,24,480.00,4.87,13.94,13.70,5.00,24
7560.00,7740.00,H25S_onRamp1,26,520.00,5.59,13.15,12.91,5.00,26
7740.00,7920.00,H25S_onRamp1,24,480.00,4.87,14.00,13.70,5.00,24
7920.00,8100.00,H25S_onRamp1,26,520.00,5.18,14.28,13.93,5.00,26
8100.00,8280.00,H25S_onRamp1,24,480.00,4.81,14.01,13.86,5.00,24
8280.00,8460.00,H25S_onRamp1,25,500.00,5.10,13.97,13.63,5.00,25
8460.00,8640.00,H25S_onRamp1,25,500.00,5.11,13.93,13.59,5.00,25
8640.00,8820.00,H25S_onRamp1,26,520.00,5.44,13.60,13.29,5.00,26
8820.00,9000.00,H25S_onRamp1,24,480.00,4.86,13.94,13.71,5.00,24
9000.00,9180.00,H25S_onRamp1,26,520.00,5.68,13.05,12.71,5.00,26
9180.00,9360.00,H25S_onRamp1,24,480.00,4.78,14.41,13.95,5.00,24
9360.00,9540.00,H25S_onRamp1,26,520.00,5.46,13.46,13.24,5.00,26
9540.00,9720.00,H25S_onRamp1,24,480.00,5.13,13.12,12.99,5.00,24
9720.00,9900.00,H25S_onRamp1,26,520.00,5.41,13.53,13.35,5.00,26
9900.00,10080.00,H25S_onRamp1,24,480.00,5.02,13.67,13.28,5.00,24
10080.00,10260.00,H25S_onRamp1,26,520.00,5.35,13.62,13.50,5.00,26
10260.00,10440.00,H25S_onRamp1,24,480.00,4.72,14.45,14.12,5.00,24
10440.00,10620.00,H25S_onRamp1,26,520.00,5.34,13.75,13.52,5.00,26
10620.00,10800.00,H25S_onRamp1,24,480.00,4.57,14.82,14.59,5.00,24
10800.00,10980.00,H25S_onRamp1,26,520.00,5.45,13.48,13.25,5.00,26
10980.00,11160.00,H25S_onRamp1,24,480.00,4.99,13.57,13.35,5.00,24
11160.00,11340.00,H25S_onRamp1,26,520.00,5.61,13.17,12.87,5.00,26
11340.00,11520.00,H25S_onRamp1,24,480.00,4.92,13.82,13.56,5.00,24
11520.00,11700.00,H25S_onRamp1,26,520.00,5.65,12.99,12.78,5.00,26
11700.00,11880.00,H25S_onRamp1,24,480.00,4.99,13.56,13.35,5.00,24
11880.00,12060.00,H25S_onRamp1,26,520.00,5.54,13.31,13.03,5.00,26
12060.00,12240.00,H25S_onRamp1,24,480.00,4.85,14.03,13.74,5.00,24
12240.00,12420.00,H25S_onRamp1,26,520.00,5.55,13.22,13.01,5.00,26
12420.00,12600.00,H25S_onRamp1,24,480.00,4.98,13.70,13.39,5.00,24
12600.00,12780.00,H25S_onRamp1,26,520.00,5.77,12.74,12.52,5.00,26
12780.00,12960.00,H25S_onRamp1,24,480.00,4.97,13.65,13.41,5.00,24
12960.00,13140.00,H25S_onRamp1,26,520.00,5.26,14.17,13.72,5.00,26
13140.00,13320.00,H25S_onRamp1,24,480.00,5.09,13.43,13.10,5.00,24
13320.00,13500.00,H25S_onRamp1,26,520.00,5.24,13.95,13.78,5.00,26
13500.00,13680.00,H25S_onRamp1,24,480.00,4.94,13.68,13.49,5.00,24
13680.00,13860.00,H25S_onRamp1,26,520.00,5.34,13.83,13.54,5.00,26
13860.00,14040.00,H25S_onRamp1,24,480.00,5.04,13.45,13.24,5.00,24
14040.00,14220.00,H25S_onRamp1,26,520.00,5.55,13.31,13.02,5.00,26
14220.00,14400.00,H25S_onRamp1,24,480.00,4.46,15.13,14.93,5.00,24
