begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_out_1,10,200.00,0.85,32.58,32.50,5.00,10
180.00,360.00,H25S_out_1,36,720.00,3.15,31.93,31.70,5.00,36
360.00,540.00,H25S_out_1,35,700.00,3.40,28.75,28.59,5.00,35
540.00,720.00,H25S_out_1,41,820.00,4.35,29.51,26.73,5.00,42
720.00,900.00,H25S_out_1,43,860.00,4.08,29.44,29.29,5.00,43
900.00,1080.00,H25S_out_1,46,920.00,4.25,30.52,30.43,5.00,47
1080.00,1260.00,H25S_out_1,47,940.00,4.35,30.11,29.99,5.00,47
1260.00,1440.00,H25S_out_1,31,620.00,2.96,30.46,30.38,5.00,33
1440.00,1620.00,H25S_out_1,45,900.00,4.15,30.26,30.15,5.00,45
1620.00,1800.00,H25S_out_1,51,1020.00,4.70,30.22,30.13,5.00,51
1800.00,1980.00,H25S_out_1,38,760.00,3.52,30.11,29.98,5.00,38
1980.00,2160.00,H25S_out_1,39,780.00,3.61,30.09,29.98,5.00,39
2160.00,2340.00,H25S_out_1,40,800.00,3.72,30.46,30.39,5.00,41
2340.00,2520.00,H25S_out_1,46,920.00,4.30,29.77,29.70,5.00,46
2520.00,2700.00,H25S_out_1,41,820.00,3.84,29.78,29.67,5.00,41
2700.00,2880.00,H25S_out_1,42,840.00,3.97,29.49,29.37,5.00,42
2880.00,3060.00,H25S_out_1,43,860.00,4.04,29.72,29.60,5.00,43
3060.00,3240.00,H25S_out_1,40,800.00,3.66,30.48,30.38,5.00,40
3240.00,3420.00,H25S_out_1,47,940.00,4.46,29.83,29.74,5.00,48
3420.00,3600.00,H25S_out_1,45,900.00,4.07,30.29,30.20,5.00,44
3600.00,3780.00,H25S_out_1,41,820.00,3.83,29.79,29.72,5.00,41
3780.00,3960.00,H25S_out_1,42,840.00,3.92,29.88,29.74,5.00,42
3960.00,4140.00,H25S_out_1,34,680.00,3.12,30.37,30.30,5.00,34
4140.00,4320.00,H25S_out_1,33,660.00,3.61,28.94,25.41,5.00,33
4320.00,4500.00,H25S_out_1,48,960.00,4.44,30.06,30.01,5.00,48
4500.00,4680.00,H25S_out_1,37,740.00,3.47,29.78,29.64,5.00,37
4680.00,4860.00,H25S_out_1,44,880.00,4.08,30.04,29.92,5.00,44
4860.00,5040.00,H25S_out_1,40,800.00,3.62,30.76,30.66,5.00,40
5040.00,5220.00,H25S_out_1,36,720.00,3.34,30.09,29.92,5.00,36
5220.00,5400.00,H25S_out_1,44,880.00,4.08,30.07,29.93,5.00,44
5400.00,5580.00,H25S_out_1,42,840.00,3.87,30.21,30.16,5.00,42
5580.00,5760.00,H25S_out_1,36,720.00,3.31,30.70,30.60,5.00,37
5760.00,5940.00,H25S_out_1,45,900.00,4.26,29.50,29.35,5.00,45
5940.00,6120.00,H25S_out_1,41,820.00,4.47,28.34,25.47,5.00,41
6120.00,6300.00,H25S_out_1,49,980.00,4.54,30.20,30.00,5.00,49
6300.00,6480.00,H25S_out_1,23,460.00,2.16,29.62,29.52,5.00,23
6480.00,6660.00,H25S_out_1,41,820.00,3.80,30.07,29.99,5.00,41
6660.00,6840.00,H25S_out_1,64,1280.00,6.03,29.59,29.47,5.00,64
6840.00,7020.00,H25S_out_1,35,700.00,3.73,29.79,26.06,5.00,35
7020.00,7200.00,H25S_out_1,31,620.00,2.86,30.23,30.15,5.00,31
7200.00,7380.00,H25S_out_1,44,880.00,4.66,28.97,26.24,5.00,44
7380.00,7560.00,H25S_out_1,46,920.00,4.22,30.43,30.25,5.00,46
7560.00,7740.00,H25S_out_1,44,880.00,4.06,30.26,30.08,5.00,44
7740.00,7920.00,H25S_out_1,32,640.00,3.00,29.85,29.61,5.00,32
7920.00,8100.00,H25S_out_1,33,660.00,3.01,30.56,30.44,5.00,33
8100.00,8280.00,H25S_out_1,33,660.00,3.12,29.50,29.43,5.00,34
8280.00,8460.00,H25S_out_1,32,640.00,2.98,29.92,29.82,5.00,32
8460.00,8640.00,H25S_out_1,25,500.00,2.84,29.19,24.43,5.00,25
8640.00,8820.00,H25S_out_1,28,560.00,2.60,30.09,29.97,5.00,28
8820.00,9000.00,H25S_out_1,25,500.00,2.30,30.31,30.19,5.00,25
9000.00,9180.00,H25S_out_1,17,340.00,1.58,29.95,29.84,5.00,17
9180.00,9360.00,H25S_out_1,22,440.00,2.57,28.36,23.77,5.00,22
9360.00,9540.00,H25S_out_1,29,580.00,2.76,29.32,29.17,5.00,29
9540.00,9720.00,H25S_out_1,28,560.00,2.55,30.64,30.53,5.00,28
9720.00,9900.00,H25S_out_1,7,140.00,0.58,33.85,33.82,5.00,7
9900.00,10080.00,H25S_out_1,17,340.00,1.47,32.36,32.11,5.00,17
10080.00,10260.00,H25S_out_1,9,180.00,0.81,31.02,30.77,5.00,9
10260.00,10440.00,H25S_out_1,11,220.00,1.01,30.36,30.27,5.00,11
10440.00,10620.00,H25S_out_1,21,420.00,1.98,29.60,29.53,5.00,21
10620.00,10800.00,H25S_out_1,21,420.00,1.98,29.51,29.39,5.00,21
10800.00,10980.00,H25S_out_1,10,200.00,1.48,26.97,18.73,5.00,10
10980.00,11160.00,H25S_out_1,4,80.00,0.36,31.15,30.67,5.00,4
11160.00,11340.00,H25S_out_1,4,80.00,0.35,32.40,32.18,5.00,4
11340.00,11520.00,H25S_out_1,9,180.00,0.81,31.10,30.98,5.00,9
11520.00,11700.00,H25S_out_1,19,380.00,1.77,29.83,29.77,5.00,19
11700.00,11880.00,H25S_out_1,11,220.00,1.03,29.94,29.80,5.00,11
11880.00,12060.00,H25S_out_1,5,100.00,0.45,30.79,30.64,5.00,5
12060.00,12240.00,H25S_out_1,7,140.00,0.62,31.26,31.16,5.00,7
12240.00,12420.00,H25S_out_1,1,20.00,0.10,29.08,29.08,5.00,1
12420.00,12600.00,H25S_out_1,4,80.00,0.33,33.32,33.26,5.00,4
12600.00,12780.00,H25S_out_1,5,100.00,0.44,31.40,31.31,5.00,5
12780.00,12960.00,H25S_out_1,8,160.00,0.71,31.53,31.44,5.00,8
12960.00,13140.00,H25S_out_1,0,0.00,0.00,-1.00,-1.00,-1.00,0
13140.00,13320.00,H25S_out_1,2,40.00,0.17,33.26,33.25,5.00,2
13320.00,13500.00,H25S_out_1,3,60.00,0.26,32.38,32.19,5.00,3
13500.00,13680.00,H25S_out_1,4,80.00,0.36,31.42,31.09,5.00,4
13680.00,13860.00,H25S_out_1,1,20.00,0.07,38.03,38.03,5.00,1
13860.00,14040.00,H25S_out_1,2,40.00,0.17,33.31,33.17,5.00,2
14040.00,14220.00,H25S_out_1,0,0.00,0.00,-1.00,-1.00,-1.00,0
14220.00,14400.00,H25S_out_1,2,40.00,0.17,33.64,33.64,5.00,2
