begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10E_1_3,13,260.00,1.01,35.84,35.69,5.00,13
180.00,360.00,H10E_1_3,28,560.00,2.18,36.00,35.75,5.00,28
360.00,540.00,H10E_1_3,24,480.00,1.90,35.96,35.80,5.00,25
540.00,720.00,H10E_1_3,22,440.00,1.76,34.90,34.79,5.00,22
720.00,900.00,H10E_1_3,27,540.00,2.15,34.92,34.82,5.00,27
900.00,1080.00,H10E_1_3,17,340.00,1.35,35.05,34.90,5.00,17
1080.00,1260.00,H10E_1_3,28,560.00,2.68,34.43,29.00,5.00,28
1260.00,1440.00,H10E_1_3,29,580.00,2.32,34.78,34.69,5.00,29
1440.00,1620.00,H10E_1_3,28,560.00,2.20,35.41,35.30,5.00,28
1620.00,1800.00,H10E_1_3,28,560.00,2.24,34.98,34.77,5.00,28
1800.00,1980.00,H10E_1_3,28,560.00,2.25,34.87,34.57,5.00,28
1980.00,2160.00,H10E_1_3,24,480.00,1.87,35.72,35.60,5.00,24
2160.00,2340.00,H10E_1_3,22,440.00,1.68,36.39,36.29,5.00,22
2340.00,2520.00,H10E_1_3,21,420.00,1.63,35.77,35.68,5.00,21
2520.00,2700.00,H10E_1_3,21,420.00,1.60,36.65,36.40,5.00,21
2700.00,2880.00,H10E_1_3,27,540.00,2.13,35.41,35.13,5.00,27
2880.00,3060.00,H10E_1_3,18,360.00,1.39,35.98,35.89,5.00,18
3060.00,3240.00,H10E_1_3,24,480.00,1.94,34.68,34.44,5.00,24
3240.00,3420.00,H10E_1_3,25,500.00,2.02,34.60,34.42,5.00,25
3420.00,3600.00,H10E_1_3,24,480.00,1.90,35.31,35.16,5.00,24
3600.00,3780.00,H10E_1_3,26,520.00,2.59,34.42,27.86,5.00,26
3780.00,3960.00,H10E_1_3,30,600.00,2.35,35.55,35.41,5.00,30
3960.00,4140.00,H10E_1_3,30,600.00,2.36,35.49,35.34,5.00,30
4140.00,4320.00,H10E_1_3,24,480.00,1.88,35.68,35.52,5.00,24
4320.00,4500.00,H10E_1_3,21,420.00,1.69,34.75,34.60,5.00,21
4500.00,4680.00,H10E_1_3,27,540.00,2.15,35.16,34.95,5.00,27
4680.00,4860.00,H10E_1_3,22,440.00,1.72,35.64,35.50,5.00,22
4860.00,5040.00,H10E_1_3,20,400.00,1.60,34.93,34.73,5.00,20
5040.00,5220.00,H10E_1_3,25,500.00,1.98,35.19,35.10,5.00,25
5220.00,5400.00,H10E_1_3,26,520.00,2.55,34.81,28.33,5.00,26
5400.00,5580.00,H10E_1_3,24,480.00,1.92,34.88,34.64,5.00,24
5580.00,5760.00,H10E_1_3,23,460.00,1.85,34.59,34.48,5.00,23
5760.00,5940.00,H10E_1_3,28,560.00,2.20,35.48,35.35,5.00,28
5940.00,6120.00,H10E_1_3,24,480.00,1.85,36.13,35.95,5.00,24
6120.00,6300.00,H10E_1_3,23,460.00,2.30,34.09,27.81,5.00,23
6300.00,6480.00,H10E_1_3,15,300.00,1.16,36.19,35.96,5.00,15
6480.00,6660.00,H10E_1_3,20,400.00,1.60,34.79,34.67,5.00,20
6660.00,6840.00,H10E_1_3,23,460.00,1.82,35.18,35.04,5.00,23
6840.00,7020.00,H10E_1_3,27,540.00,2.04,36.93,36.74,5.00,27
7020.00,7200.00,H10E_1_3,21,420.00,2.12,35.53,27.49,5.00,21
7200.00,7380.00,H10E_1_3,22,440.00,1.69,36.18,36.07,5.00,22
7380.00,7560.00,H10E_1_3,21,420.00,1.65,35.70,35.45,5.00,21
7560.00,7740.00,H10E_1_3,23,460.00,1.81,35.46,35.30,5.00,23
7740.00,7920.00,H10E_1_3,19,380.00,1.49,35.61,35.54,5.00,19
7920.00,8100.00,H10E_1_3,23,460.00,1.80,35.62,35.47,5.00,23
8100.00,8280.00,H10E_1_3,29,580.00,2.24,36.08,36.02,5.00,29
8280.00,8460.00,H10E_1_3,22,440.00,1.76,34.90,34.66,5.00,22
8460.00,8640.00,H10E_1_3,25,500.00,2.01,34.61,34.47,5.00,25
8640.00,8820.00,H10E_1_3,21,420.00,1.64,35.78,35.63,5.00,21
8820.00,9000.00,H10E_1_3,24,480.00,1.87,35.83,35.68,5.00,24
9000.00,9180.00,H10E_1_3,27,540.00,2.15,35.09,34.84,5.00,27
9180.00,9360.00,H10E_1_3,26,520.00,2.04,35.58,35.37,5.00,26
9360.00,9540.00,H10E_1_3,17,340.00,1.39,34.71,34.46,5.00,18
9540.00,9720.00,H10E_1_3,19,380.00,1.47,35.76,35.58,5.00,18
9720.00,9900.00,H10E_1_3,21,420.00,1.65,35.55,35.31,5.00,21
9900.00,10080.00,H10E_1_3,20,400.00,1.58,35.52,35.38,5.00,21
10080.00,10260.00,H10E_1_3,24,480.00,1.86,35.94,35.82,5.00,24
10260.00,10440.00,H10E_1_3,20,400.00,2.07,34.11,26.80,5.00,20
10440.00,10620.00,H10E_1_3,26,520.00,2.03,35.72,35.53,5.00,26
10620.00,10800.00,H10E_1_3,24,480.00,2.40,34.85,27.73,5.00,24
10800.00,10980.00,H10E_1_3,26,520.00,2.03,35.74,35.50,5.00,26
10980.00,11160.00,H10E_1_3,24,480.00,1.85,36.19,36.08,5.00,24
11160.00,11340.00,H10E_1_3,31,620.00,2.46,35.13,34.98,5.00,31
11340.00,11520.00,H10E_1_3,24,480.00,1.92,34.89,34.69,5.00,24
11520.00,11700.00,H10E_1_3,31,620.00,2.42,35.76,35.62,5.00,31
11700.00,11880.00,H10E_1_3,24,480.00,1.87,35.78,35.65,5.00,24
11880.00,12060.00,H10E_1_3,25,500.00,1.96,35.58,35.44,5.00,25
12060.00,12240.00,H10E_1_3,22,440.00,1.67,36.81,36.57,5.00,22
12240.00,12420.00,H10E_1_3,34,680.00,2.70,35.19,35.02,5.00,34
12420.00,12600.00,H10E_1_3,22,440.00,1.77,34.72,34.49,5.00,22
12600.00,12780.00,H10E_1_3,27,540.00,2.10,35.82,35.70,5.00,27
12780.00,12960.00,H10E_1_3,21,420.00,1.68,35.34,34.83,5.00,21
12960.00,13140.00,H10E_1_3,25,500.00,1.96,35.57,35.48,5.00,25
13140.00,13320.00,H10E_1_3,18,360.00,1.37,36.51,36.40,5.00,18
13320.00,13500.00,H10E_1_3,22,440.00,1.70,36.07,35.93,5.00,22
13500.00,13680.00,H10E_1_3,20,400.00,1.54,36.30,36.15,5.00,20
13680.00,13860.00,H10E_1_3,25,500.00,1.90,36.66,36.55,5.00,25
13860.00,14040.00,H10E_1_3,28,560.00,2.18,35.84,35.71,5.00,28
14040.00,14220.00,H10E_1_3,20,400.00,1.57,35.64,35.49,5.00,20
14220.00,14400.00,H10E_1_3,22,440.00,1.80,34.26,33.92,5.00,22
