begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10E_in_0,28,560.00,2.52,31.39,30.84,5.00,28
180.00,360.00,H10E_in_0,28,560.00,2.50,32.05,31.81,5.00,29
360.00,540.00,H10E_in_0,26,520.00,2.36,30.77,30.60,5.00,26
540.00,720.00,H10E_in_0,27,540.00,2.38,31.74,31.53,5.00,27
720.00,900.00,H10E_in_0,25,500.00,2.26,30.95,30.69,5.00,25
900.00,1080.00,H10E_in_0,28,560.00,2.51,31.39,30.98,5.00,28
1080.00,1260.00,H10E_in_0,26,520.00,2.29,32.09,31.91,5.00,27
1260.00,1440.00,H10E_in_0,28,560.00,2.60,30.85,30.64,5.00,29
1440.00,1620.00,H10E_in_0,28,560.00,2.56,31.17,30.95,5.00,29
1620.00,1800.00,H10E_in_0,28,560.00,2.54,30.77,30.57,5.00,28
1800.00,1980.00,H10E_in_0,33,660.00,2.95,31.38,31.04,5.00,33
1980.00,2160.00,H10E_in_0,28,560.00,2.47,31.86,31.52,5.00,28
2160.00,2340.00,H10E_in_0,25,500.00,2.19,31.95,31.74,5.00,25
2340.00,2520.00,H10E_in_0,28,560.00,2.49,31.52,31.28,5.00,28
2520.00,2700.00,H10E_in_0,24,480.00,2.14,31.47,31.19,5.00,24
2700.00,2880.00,H10E_in_0,30,600.00,2.71,30.91,30.70,5.00,30
2880.00,3060.00,H10E_in_0,27,540.00,2.36,32.22,31.84,5.00,27
3060.00,3240.00,H10E_in_0,23,460.00,2.08,30.85,30.70,5.00,23
3240.00,3420.00,H10E_in_0,26,520.00,2.31,31.68,31.28,5.00,26
3420.00,3600.00,H10E_in_0,23,460.00,2.10,31.32,31.05,5.00,24
3600.00,3780.00,H10E_in_0,26,520.00,2.29,31.84,31.53,5.00,26
3780.00,3960.00,H10E_in_0,30,600.00,2.65,31.72,31.46,5.00,30
3960.00,4140.00,H10E_in_0,26,520.00,2.25,32.31,32.14,5.00,26
4140.00,4320.00,H10E_in_0,30,600.00,2.62,31.97,31.79,5.00,30
4320.00,4500.00,H10E_in_0,32,640.00,2.89,31.38,31.05,5.00,33
4500.00,4680.00,H10E_in_0,25,500.00,2.21,31.68,31.47,5.00,25
