begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10E_onRamp2,40,800.00,22.35,7.72,4.97,5.00,40
180.00,360.00,H10E_onRamp2,31,620.00,62.75,2.90,1.43,5.00,32
360.00,540.00,H10E_onRamp2,20,400.00,77.83,2.59,0.70,5.00,20
540.00,720.00,H10E_onRamp2,20,400.00,78.50,2.51,0.74,5.00,20
720.00,900.00,H10E_onRamp2,24,480.00,74.57,2.49,0.87,5.00,24
900.00,1080.00,H10E_onRamp2,14,280.00,85.02,2.44,0.50,5.00,14
1080.00,1260.00,H10E_onRamp2,22,440.00,76.41,2.52,0.71,5.00,22
1260.00,1440.00,H10E_onRamp2,20,400.00,78.60,2.50,0.72,5.00,20
1440.00,1620.00,H10E_onRamp2,25,500.00,73.17,2.43,0.94,5.00,24
1620.00,1800.00,H10E_onRamp2,19,380.00,79.95,2.65,0.72,5.00,20
1800.00,1980.00,H10E_onRamp2,30,600.00,67.86,2.68,1.18,5.00,30
1980.00,2160.00,H10E_onRamp2,28,560.00,69.63,2.58,1.13,5.00,28
2160.00,2340.00,H10E_onRamp2,42,840.00,54.62,2.99,2.02,5.00,42
2340.00,2520.00,H10E_onRamp2,38,760.00,60.66,2.86,1.77,5.00,38
2520.00,2700.00,H10E_onRamp2,24,480.00,75.09,2.57,0.91,5.00,24
2700.00,2880.00,H10E_onRamp2,27,540.00,71.61,2.58,0.99,5.00,26
2880.00,3060.00,H10E_onRamp2,17,340.00,81.17,2.56,0.63,5.00,18
3060.00,3240.00,H10E_onRamp2,14,280.00,85.06,2.49,0.43,5.00,14
3240.00,3420.00,H10E_onRamp2,18,360.00,81.59,2.51,0.66,5.00,18
3420.00,3600.00,H10E_onRamp2,28,560.00,70.03,2.65,1.04,5.00,28
3600.00,3780.00,H10E_onRamp2,34,680.00,63.32,2.70,1.49,5.00,34
3780.00,3960.00,H10E_onRamp2,20,400.00,78.64,2.41,0.75,5.00,20
3960.00,4140.00,H10E_onRamp2,20,400.00,78.83,2.42,0.68,5.00,20
4140.00,4320.00,H10E_onRamp2,8,160.00,91.21,2.29,0.26,5.00,8
4320.00,4500.00,H10E_onRamp2,18,360.00,80.29,2.53,0.56,5.00,18
4500.00,4680.00,H10E_onRamp2,18,360.00,80.64,2.48,0.62,5.00,18
4680.00,4860.00,H10E_onRamp2,23,460.00,76.56,2.48,0.82,5.00,22
4860.00,5040.00,H10E_onRamp2,33,660.00,63.23,2.78,1.52,5.00,34
5040.00,5220.00,H10E_onRamp2,24,480.00,74.25,2.49,0.88,5.00,24
5220.00,5400.00,H10E_onRamp2,10,200.00,89.56,2.43,0.30,5.00,9
5400.00,5580.00,H10E_onRamp2,16,320.00,83.27,2.41,0.55,5.00,17
5580.00,5760.00,H10E_onRamp2,14,280.00,84.43,2.37,0.50,5.00,14
5760.00,5940.00,H10E_onRamp2,8,160.00,91.41,2.40,0.23,5.00,8
5940.00,6120.00,H10E_onRamp2,8,160.00,91.21,2.41,0.27,5.00,8
6120.00,6300.00,H10E_onRamp2,22,440.00,76.14,2.55,0.71,5.00,22
6300.00,6480.00,H10E_onRamp2,12,240.00,87.64,2.31,0.38,5.00,12
6480.00,6660.00,H10E_onRamp2,22,440.00,76.46,2.50,0.79,5.00,22
6660.00,6840.00,H10E_onRamp2,36,720.00,61.08,2.81,1.66,5.00,36
6840.00,7020.00,H10E_onRamp2,38,760.00,59.21,2.88,1.75,5.00,37
7020.00,7200.00,H10E_onRamp2,38,760.00,59.33,2.89,1.83,5.00,39
7200.00,7380.00,H10E_onRamp2,28,560.00,69.76,2.63,1.15,5.00,28
7380.00,7560.00,H10E_onRamp2,37,740.00,60.36,2.76,1.61,5.00,37
7560.00,7740.00,H10E_onRamp2,26,520.00,71.92,2.58,1.00,5.00,25
7740.00,7920.00,H10E_onRamp2,23,460.00,75.57,2.49,0.88,5.00,24
7920.00,8100.00,H10E_onRamp2,16,320.00,82.99,2.41,0.53,5.00,16
8100.00,8280.00,H10E_onRamp2,10,200.00,89.26,2.41,0.32,5.00,10
8280.00,8460.00,H10E_onRamp2,16,320.00,82.92,2.42,0.54,5.00,16
8460.00,8640.00,H10E_onRamp2,12,240.00,87.08,2.36,0.42,5.00,12
8640.00,8820.00,H10E_onRamp2,8,160.00,91.38,2.49,0.27,5.00,8
8820.00,9000.00,H10E_onRamp2,21,420.00,77.55,2.51,0.60,5.00,20
