begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10W_1_2,22,440.00,1.81,33.94,33.75,5.00,22
180.00,360.00,H10W_1_2,30,600.00,2.47,33.91,33.78,5.00,30
360.00,540.00,H10W_1_2,29,580.00,2.45,33.14,32.92,5.00,29
540.00,720.00,H10W_1_2,37,740.00,3.07,33.67,33.49,5.00,37
720.00,900.00,H10W_1_2,28,560.00,2.28,34.28,34.10,5.00,28
900.00,1080.00,H10W_1_2,30,600.00,2.45,34.17,33.99,5.00,30
1080.00,1260.00,H10W_1_2,38,760.00,4.18,31.77,25.28,5.00,38
1260.00,1440.00,H10W_1_2,38,760.00,3.29,32.94,32.71,5.00,39
1440.00,1620.00,H10W_1_2,30,600.00,2.52,33.38,33.09,5.00,30
1620.00,1800.00,H10W_1_2,29,580.00,2.38,33.97,33.78,5.00,29
1800.00,1980.00,H10W_1_2,33,660.00,2.72,33.87,33.73,5.00,33
1980.00,2160.00,H10W_1_2,42,840.00,3.49,33.61,33.45,5.00,42
2160.00,2340.00,H10W_1_2,73,1460.00,6.80,29.98,29.83,5.00,73
2340.00,2520.00,H10W_1_2,42,840.00,3.55,33.08,32.85,5.00,42
2520.00,2700.00,H10W_1_2,31,620.00,2.57,33.68,33.56,5.00,31
2700.00,2880.00,H10W_1_2,37,740.00,3.15,32.75,32.60,5.00,37
2880.00,3060.00,H10W_1_2,34,680.00,2.83,33.48,33.31,5.00,34
3060.00,3240.00,H10W_1_2,29,580.00,2.47,32.91,32.67,5.00,29
3240.00,3420.00,H10W_1_2,35,700.00,2.87,34.13,33.91,5.00,35
3420.00,3600.00,H10W_1_2,32,640.00,2.73,34.24,33.98,5.00,34
3600.00,3780.00,H10W_1_2,35,700.00,2.86,34.11,33.94,5.00,35
3780.00,3960.00,H10W_1_2,33,660.00,2.77,33.25,33.10,5.00,33
3960.00,4140.00,H10W_1_2,35,700.00,2.94,33.23,33.10,5.00,35
4140.00,4320.00,H10W_1_2,38,760.00,4.14,32.30,25.50,5.00,38
4320.00,4500.00,H10W_1_2,34,680.00,2.93,32.45,32.24,5.00,34
4500.00,4680.00,H10W_1_2,35,700.00,2.83,34.55,34.40,5.00,35
4680.00,4860.00,H10W_1_2,67,1340.00,5.94,31.47,31.33,5.00,67
4860.00,5040.00,H10W_1_2,78,1560.00,7.18,30.32,30.18,5.00,78
5040.00,5220.00,H10W_1_2,37,740.00,3.20,32.41,32.14,5.00,37
5220.00,5400.00,H10W_1_2,27,540.00,2.21,34.08,33.87,5.00,27
5400.00,5580.00,H10W_1_2,28,560.00,2.32,33.74,33.54,5.00,28
5580.00,5760.00,H10W_1_2,35,700.00,2.93,33.36,33.21,5.00,35
5760.00,5940.00,H10W_1_2,31,620.00,2.59,33.44,33.28,5.00,32
5940.00,6120.00,H10W_1_2,35,700.00,2.89,33.81,33.64,5.00,35
6120.00,6300.00,H10W_1_2,37,740.00,3.04,33.95,33.78,5.00,37
6300.00,6480.00,H10W_1_2,35,700.00,2.89,33.88,33.66,5.00,35
6480.00,6660.00,H10W_1_2,38,760.00,3.13,33.92,33.71,5.00,38
6660.00,6840.00,H10W_1_2,33,660.00,2.78,33.19,32.96,5.00,33
6840.00,7020.00,H10W_1_2,35,700.00,3.31,33.69,29.34,5.00,35
7020.00,7200.00,H10W_1_2,36,720.00,2.98,33.88,33.57,5.00,36
7200.00,7380.00,H10W_1_2,26,520.00,2.12,34.17,34.01,5.00,26
7380.00,7560.00,H10W_1_2,32,640.00,2.57,34.79,34.59,5.00,32
7560.00,7740.00,H10W_1_2,35,700.00,3.59,31.20,27.20,5.00,36
7740.00,7920.00,H10W_1_2,53,1060.00,4.62,31.97,31.76,5.00,53
7920.00,8100.00,H10W_1_2,28,560.00,2.32,33.67,33.46,5.00,28
8100.00,8280.00,H10W_1_2,35,700.00,2.91,34.33,34.06,5.00,36
8280.00,8460.00,H10W_1_2,31,620.00,2.62,33.17,32.90,5.00,31
8460.00,8640.00,H10W_1_2,32,640.00,2.64,33.91,33.71,5.00,32
8640.00,8820.00,H10W_1_2,34,680.00,3.21,33.84,29.41,5.00,34
8820.00,9000.00,H10W_1_2,32,640.00,2.62,34.13,33.96,5.00,32
9000.00,9180.00,H10W_1_2,32,640.00,2.72,33.70,33.61,5.00,33
9180.00,9360.00,H10W_1_2,30,600.00,2.46,33.95,33.82,5.00,30
9360.00,9540.00,H10W_1_2,21,420.00,1.76,33.47,33.23,5.00,21
9540.00,9720.00,H10W_1_2,51,1020.00,4.80,32.43,29.52,5.00,51
9720.00,9900.00,H10W_1_2,98,1960.00,9.26,29.47,29.40,5.00,98
9900.00,10080.00,H10W_1_2,54,1080.00,5.38,30.19,27.89,5.00,54
10080.00,10260.00,H10W_1_2,9,180.00,0.75,33.65,33.41,5.00,9
10260.00,10440.00,H10W_1_2,36,720.00,3.27,30.70,30.58,5.00,36
10440.00,10620.00,H10W_1_2,26,520.00,2.12,34.31,34.11,5.00,26
10620.00,10800.00,H10W_1_2,41,820.00,3.47,32.97,32.80,5.00,41
10800.00,10980.00,H10W_1_2,34,680.00,2.79,34.20,33.91,5.00,34
10980.00,11160.00,H10W_1_2,40,800.00,3.34,33.53,33.30,5.00,40
11160.00,11340.00,H10W_1_2,37,740.00,3.06,33.69,33.55,5.00,37
11340.00,11520.00,H10W_1_2,42,840.00,3.55,33.08,32.86,5.00,42
11520.00,11700.00,H10W_1_2,35,700.00,2.93,33.42,33.21,5.00,35
11700.00,11880.00,H10W_1_2,29,580.00,2.45,33.16,32.92,5.00,30
11880.00,12060.00,H10W_1_2,33,660.00,2.75,33.50,33.26,5.00,32
12060.00,12240.00,H10W_1_2,32,640.00,3.18,32.65,27.93,5.00,32
12240.00,12420.00,H10W_1_2,30,600.00,2.55,32.92,32.63,5.00,30
12420.00,12600.00,H10W_1_2,33,660.00,2.73,33.84,33.63,5.00,33
12600.00,12780.00,H10W_1_2,34,680.00,2.74,34.75,34.59,5.00,35
12780.00,12960.00,H10W_1_2,63,1260.00,5.47,32.17,32.01,5.00,63
12960.00,13140.00,H10W_1_2,62,1240.00,5.42,31.99,31.78,5.00,62
13140.00,13320.00,H10W_1_2,36,720.00,3.06,33.42,33.27,5.00,37
13320.00,13500.00,H10W_1_2,30,600.00,2.49,33.97,33.84,5.00,31
13500.00,13680.00,H10W_1_2,35,700.00,2.88,33.73,33.51,5.00,34
13680.00,13860.00,H10W_1_2,38,760.00,3.20,33.16,33.02,5.00,38
13860.00,14040.00,H10W_1_2,35,700.00,2.96,32.98,32.82,5.00,35
14040.00,14220.00,H10W_1_2,40,800.00,3.42,32.82,32.51,5.00,40
14220.00,14400.00,H10W_1_2,33,660.00,2.72,33.89,33.68,5.00,33
