begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H10W_offRamp2,2,40.00,0.19,30.04,29.86,5.00,2
180.00,360.00,H10W_offRamp2,10,200.00,1.02,27.27,27.15,5.00,10
360.00,540.00,H10W_offRamp2,14,280.00,1.47,26.73,26.51,5.00,14
540.00,720.00,H10W_offRamp2,17,340.00,1.72,27.67,27.52,5.00,17
720.00,900.00,H10W_offRamp2,14,280.00,1.42,27.61,27.39,5.00,14
900.00,1080.00,H10W_offRamp2,15,300.00,1.47,28.55,28.33,5.00,15
1080.00,1260.00,H10W_offRamp2,14,280.00,1.38,28.28,28.08,5.00,14
1260.00,1440.00,H10W_offRamp2,17,340.00,1.64,29.00,28.78,5.00,17
1440.00,1620.00,H10W_offRamp2,15,300.00,1.65,26.43,25.91,5.00,16
1620.00,1800.00,H10W_offRamp2,12,240.00,1.24,26.37,26.04,5.00,11
1800.00,1980.00,H10W_offRamp2,15,300.00,1.52,27.59,27.40,5.00,15
1980.00,2160.00,H10W_offRamp2,17,340.00,1.71,27.90,27.62,5.00,17
2160.00,2340.00,H10W_offRamp2,13,260.00,1.31,28.01,27.57,5.00,13
2340.00,2520.00,H10W_offRamp2,16,320.00,2.16,21.10,20.62,5.00,16
2520.00,2700.00,H10W_offRamp2,15,300.00,2.21,19.87,18.84,5.00,15
2700.00,2880.00,H10W_offRamp2,16,320.00,1.67,26.97,26.66,5.00,16
2880.00,3060.00,H10W_offRamp2,15,300.00,1.54,27.17,26.98,5.00,15
3060.00,3240.00,H10W_offRamp2,14,280.00,1.48,26.58,26.25,5.00,14
3240.00,3420.00,H10W_offRamp2,15,300.00,1.54,27.39,27.10,5.00,15
3420.00,3600.00,H10W_offRamp2,17,340.00,1.71,27.73,27.62,5.00,17
3600.00,3780.00,H10W_offRamp2,14,280.00,1.32,29.66,29.37,5.00,14
3780.00,3960.00,H10W_offRamp2,14,280.00,1.39,28.21,28.07,5.00,14
3960.00,4140.00,H10W_offRamp2,15,300.00,1.48,28.27,28.16,5.00,15
4140.00,4320.00,H10W_offRamp2,16,320.00,1.64,27.27,27.07,5.00,16
4320.00,4500.00,H10W_offRamp2,15,300.00,1.58,26.70,26.34,5.00,15
4500.00,4680.00,H10W_offRamp2,17,340.00,1.70,28.06,27.74,5.00,17
4680.00,4860.00,H10W_offRamp2,11,220.00,1.05,29.32,29.09,5.00,11
4860.00,5040.00,H10W_offRamp2,14,280.00,1.96,20.25,19.83,5.00,14
5040.00,5220.00,H10W_offRamp2,16,320.00,2.72,16.45,16.34,5.00,16
5220.00,5400.00,H10W_offRamp2,15,300.00,1.94,22.80,21.49,5.00,15
5400.00,5580.00,H10W_offRamp2,17,340.00,1.84,26.36,25.65,5.00,17
5580.00,5760.00,H10W_offRamp2,15,300.00,1.56,27.03,26.64,5.00,15
5760.00,5940.00,H10W_offRamp2,14,280.00,1.36,28.69,28.61,5.00,14
5940.00,6120.00,H10W_offRamp2,15,300.00,1.52,27.83,27.42,5.00,15
6120.00,6300.00,H10W_offRamp2,18,360.00,1.77,28.40,28.29,5.00,18
6300.00,6480.00,H10W_offRamp2,12,240.00,1.12,29.80,29.70,5.00,12
6480.00,6660.00,H10W_offRamp2,18,360.00,1.84,27.38,27.17,5.00,18
6660.00,6840.00,H10W_offRamp2,13,260.00,1.30,28.03,27.86,5.00,13
6840.00,7020.00,H10W_offRamp2,15,300.00,1.49,28.38,27.95,5.00,15
7020.00,7200.00,H10W_offRamp2,14,280.00,1.42,27.65,27.30,5.00,14
7200.00,7380.00,H10W_offRamp2,17,340.00,1.72,27.72,27.53,5.00,17
7380.00,7560.00,H10W_offRamp2,13,260.00,1.27,28.51,28.36,5.00,13
7560.00,7740.00,H10W_offRamp2,17,340.00,1.82,26.28,25.91,5.00,17
7740.00,7920.00,H10W_offRamp2,13,260.00,1.51,24.53,23.99,5.00,13
7920.00,8100.00,H10W_offRamp2,15,300.00,1.55,26.98,26.87,5.00,15
8100.00,8280.00,H10W_offRamp2,17,340.00,1.72,27.62,27.43,5.00,17
8280.00,8460.00,H10W_offRamp2,12,240.00,1.24,27.14,26.81,5.00,12
8460.00,8640.00,H10W_offRamp2,17,340.00,1.71,28.01,27.56,5.00,17
8640.00,8820.00,H10W_offRamp2,15,300.00,1.54,27.11,27.00,5.00,15
8820.00,9000.00,H10W_offRamp2,15,300.00,1.55,27.35,26.87,5.00,15
9000.00,9180.00,H10W_offRamp2,15,300.00,1.56,26.86,26.69,5.00,15
9180.00,9360.00,H10W_offRamp2,15,300.00,1.52,27.77,27.44,5.00,15
9360.00,9540.00,H10W_offRamp2,14,280.00,1.38,28.41,28.22,5.00,14
9540.00,9720.00,H10W_offRamp2,17,340.00,1.71,27.70,27.57,5.00,17
9720.00,9900.00,H10W_offRamp2,12,240.00,1.71,19.95,19.45,5.00,12
9900.00,10080.00,H10W_offRamp2,4,80.00,0.65,17.39,17.16,5.00,4
10080.00,10260.00,H10W_offRamp2,6,120.00,1.01,17.01,16.50,5.00,6
10260.00,10440.00,H10W_offRamp2,36,720.00,6.46,15.96,15.49,5.00,36
10440.00,10620.00,H10W_offRamp2,16,320.00,2.33,20.22,19.07,5.00,16
10620.00,10800.00,H10W_offRamp2,14,280.00,1.40,28.10,27.82,5.00,14
10800.00,10980.00,H10W_offRamp2,18,360.00,1.77,28.49,28.21,5.00,18
10980.00,11160.00,H10W_offRamp2,13,260.00,1.25,29.23,28.92,5.00,13
11160.00,11340.00,H10W_offRamp2,16,320.00,1.67,26.81,26.66,5.00,16
11340.00,11520.00,H10W_offRamp2,14,280.00,1.36,28.81,28.53,5.00,14
11520.00,11700.00,H10W_offRamp2,15,300.00,1.49,28.19,27.98,5.00,15
11700.00,11880.00,H10W_offRamp2,14,280.00,1.41,27.78,27.53,5.00,14
11880.00,12060.00,H10W_offRamp2,16,320.00,1.63,27.38,27.20,5.00,16
12060.00,12240.00,H10W_offRamp2,16,320.00,1.58,28.39,28.20,5.00,16
12240.00,12420.00,H10W_offRamp2,14,280.00,1.42,27.69,27.33,5.00,14
12420.00,12600.00,H10W_offRamp2,15,300.00,1.52,27.79,27.44,5.00,15
12600.00,12780.00,H10W_offRamp2,15,300.00,1.46,28.68,28.59,5.00,15
12780.00,12960.00,H10W_offRamp2,15,300.00,1.50,28.19,27.74,5.00,15
12960.00,13140.00,H10W_offRamp2,12,240.00,1.68,20.45,19.79,5.00,12
13140.00,13320.00,H10W_offRamp2,17,340.00,2.82,16.86,16.73,5.00,17
13320.00,13500.00,H10W_offRamp2,15,300.00,1.77,24.63,23.49,5.00,15
13500.00,13680.00,H10W_offRamp2,14,280.00,1.35,28.97,28.80,5.00,14
13680.00,13860.00,H10W_offRamp2,17,340.00,1.69,28.20,27.96,5.00,17
13860.00,14040.00,H10W_offRamp2,15,300.00,1.56,27.20,26.64,5.00,15
14040.00,14220.00,H10W_offRamp2,15,300.00,1.54,27.24,27.07,5.00,15
14220.00,14400.00,H10W_offRamp2,16,320.00,1.59,28.26,27.91,5.00,16
