begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15N_4_1,39,780.00,3.55,31.02,30.53,5.00,39
180.00,360.00,H15N_4_1,92,1840.00,8.47,30.33,30.18,5.00,92
360.00,540.00,H15N_4_1,90,1800.00,9.13,27.92,27.65,5.00,91
540.00,720.00,H15N_4_1,95,1900.00,10.22,27.34,25.83,5.00,95
720.00,900.00,H15N_4_1,88,1760.00,8.97,27.63,27.27,5.00,88
900.00,1080.00,H15N_4_1,93,1860.00,9.87,27.56,26.17,5.00,93
1080.00,1260.00,H15N_4_1,89,1780.00,8.61,28.86,28.72,5.00,89
1260.00,1440.00,H15N_4_1,85,1700.00,8.96,28.10,26.35,5.00,85
1440.00,1620.00,H15N_4_1,93,1860.00,8.97,28.97,28.80,5.00,93
1620.00,1800.00,H15N_4_1,77,1540.00,8.12,27.14,26.71,5.00,78
1800.00,1980.00,H15N_4_1,91,1820.00,9.29,27.47,27.22,5.00,91
1980.00,2160.00,H15N_4_1,79,1580.00,8.43,26.64,26.22,5.00,80
2160.00,2340.00,H15N_4_1,90,1800.00,8.70,28.90,28.74,5.00,90
2340.00,2520.00,H15N_4_1,83,1660.00,8.19,28.47,28.16,5.00,83
2520.00,2700.00,H15N_4_1,87,1740.00,8.62,28.19,28.02,5.00,87
2700.00,2880.00,H15N_4_1,89,1780.00,8.92,28.06,27.72,5.00,89
2880.00,3060.00,H15N_4_1,102,2040.00,11.95,24.99,23.84,5.00,103
3060.00,3240.00,H15N_4_1,94,1880.00,9.41,28.05,27.73,5.00,94
3240.00,3420.00,H15N_4_1,94,1880.00,10.12,26.99,25.79,5.00,94
3420.00,3600.00,H15N_4_1,98,1960.00,10.69,26.16,25.61,5.00,99
3600.00,3780.00,H15N_4_1,84,1680.00,8.85,26.56,26.17,5.00,83
3780.00,3960.00,H15N_4_1,92,1840.00,9.09,28.59,28.11,5.00,92
3960.00,4140.00,H15N_4_1,84,1680.00,9.14,27.17,25.53,5.00,84
4140.00,4320.00,H15N_4_1,73,1460.00,7.55,27.77,27.22,5.00,74
4320.00,4500.00,H15N_4_1,77,1540.00,7.64,28.30,28.01,5.00,77
4500.00,4680.00,H15N_4_1,79,1580.00,8.14,28.77,26.96,5.00,79
4680.00,4860.00,H15N_4_1,85,1700.00,8.41,28.31,28.06,5.00,85
4860.00,5040.00,H15N_4_1,72,1440.00,7.16,28.29,27.94,5.00,72
5040.00,5220.00,H15N_4_1,64,1280.00,6.28,28.72,28.30,5.00,64
5220.00,5400.00,H15N_4_1,74,1480.00,7.03,29.38,29.26,5.00,74
5400.00,5580.00,H15N_4_1,76,1520.00,7.36,28.94,28.66,5.00,76
5580.00,5760.00,H15N_4_1,76,1520.00,8.10,27.50,26.06,5.00,76
5760.00,5940.00,H15N_4_1,76,1520.00,7.51,28.40,28.11,5.00,76
5940.00,6120.00,H15N_4_1,86,1720.00,8.70,28.04,27.45,5.00,86
6120.00,6300.00,H15N_4_1,88,1760.00,9.06,28.51,26.99,5.00,88
6300.00,6480.00,H15N_4_1,75,1500.00,7.29,28.88,28.60,5.00,76
6480.00,6660.00,H15N_4_1,76,1520.00,7.32,29.08,28.83,5.00,75
6660.00,6840.00,H15N_4_1,82,1640.00,8.30,27.77,27.46,5.00,82
6840.00,7020.00,H15N_4_1,72,1440.00,7.48,27.19,26.74,5.00,72
7020.00,7200.00,H15N_4_1,88,1760.00,8.58,28.77,28.50,5.00,88
7200.00,7380.00,H15N_4_1,87,1740.00,8.66,28.42,27.90,5.00,87
7380.00,7560.00,H15N_4_1,84,1680.00,8.68,27.32,27.06,5.00,85
7560.00,7740.00,H15N_4_1,87,1740.00,9.06,26.92,26.58,5.00,87
7740.00,7920.00,H15N_4_1,92,1840.00,9.44,28.56,27.06,5.00,92
7920.00,8100.00,H15N_4_1,80,1600.00,8.22,27.36,27.03,5.00,80
8100.00,8280.00,H15N_4_1,92,1840.00,10.37,26.08,24.64,5.00,92
8280.00,8460.00,H15N_4_1,89,1780.00,9.22,27.09,26.83,5.00,89
8460.00,8640.00,H15N_4_1,86,1720.00,8.31,28.91,28.73,5.00,86
8640.00,8820.00,H15N_4_1,86,1720.00,9.31,26.09,25.65,5.00,86
8820.00,9000.00,H15N_4_1,88,1760.00,8.91,27.68,27.42,5.00,88
9000.00,9180.00,H15N_4_1,88,1760.00,9.28,28.06,26.54,5.00,89
9180.00,9360.00,H15N_4_1,86,1720.00,8.78,27.55,27.32,5.00,87
9360.00,9540.00,H15N_4_1,81,1620.00,8.44,27.12,26.67,5.00,81
9540.00,9720.00,H15N_4_1,83,1660.00,8.59,27.39,26.83,5.00,83
9720.00,9900.00,H15N_4_1,92,1840.00,9.60,28.12,26.63,5.00,92
9900.00,10080.00,H15N_4_1,83,1660.00,8.42,27.79,27.38,5.00,83
10080.00,10260.00,H15N_4_1,85,1700.00,8.31,28.59,28.43,5.00,85
10260.00,10440.00,H15N_4_1,80,1600.00,7.87,28.45,28.24,5.00,80
10440.00,10620.00,H15N_4_1,89,1780.00,9.07,27.66,27.47,5.00,90
10620.00,10800.00,H15N_4_1,91,1820.00,9.54,27.73,26.31,5.00,90
10800.00,10980.00,H15N_4_1,105,2100.00,11.87,24.90,24.58,5.00,105
10980.00,11160.00,H15N_4_1,88,1760.00,9.16,27.03,26.85,5.00,89
11160.00,11340.00,H15N_4_1,93,1860.00,9.84,26.60,26.10,5.00,92
11340.00,11520.00,H15N_4_1,93,1860.00,9.92,26.39,26.04,5.00,93
11520.00,11700.00,H15N_4_1,94,1880.00,9.49,27.90,27.71,5.00,95
11700.00,11880.00,H15N_4_1,85,1700.00,8.38,28.43,28.19,5.00,85
11880.00,12060.00,H15N_4_1,81,1620.00,7.70,29.39,29.21,5.00,81
12060.00,12240.00,H15N_4_1,78,1560.00,7.80,28.11,27.77,5.00,78
12240.00,12420.00,H15N_4_1,80,1600.00,8.06,27.86,27.57,5.00,80
12420.00,12600.00,H15N_4_1,83,1660.00,7.87,29.42,29.29,5.00,83
12600.00,12780.00,H15N_4_1,82,1640.00,7.71,29.71,29.55,5.00,82
12780.00,12960.00,H15N_4_1,78,1560.00,8.25,27.99,26.28,5.00,78
12960.00,13140.00,H15N_4_1,81,1620.00,8.00,28.48,28.22,5.00,82
13140.00,13320.00,H15N_4_1,74,1480.00,7.15,28.86,28.65,5.00,73
13320.00,13500.00,H15N_4_1,83,1660.00,8.26,28.17,27.90,5.00,83
13500.00,13680.00,H15N_4_1,86,1720.00,8.87,27.36,26.95,5.00,86
13680.00,13860.00,H15N_4_1,79,1580.00,8.58,26.35,25.57,5.00,79
13860.00,14040.00,H15N_4_1,85,1700.00,8.49,28.15,27.80,5.00,85
14040.00,14220.00,H15N_4_1,84,1680.00,8.22,28.58,28.39,5.00,84
14220.00,14400.00,H15N_4_1,77,1540.00,7.83,27.74,27.31,5.00,77
