begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15N_onRamp2,30,600.00,20.75,6.15,4.30,5.00,33
180.00,360.00,H15N_onRamp2,34,680.00,19.15,12.48,5.44,5.00,37
360.00,540.00,H15N_onRamp2,29,580.00,16.28,8.06,5.18,5.00,30
540.00,720.00,H15N_onRamp2,35,700.00,23.04,6.01,4.85,5.00,40
720.00,900.00,H15N_onRamp2,31,620.00,13.16,18.28,7.30,5.00,35
900.00,1080.00,H15N_onRamp2,32,640.00,21.84,8.91,4.18,5.00,34
1080.00,1260.00,H15N_onRamp2,26,520.00,17.48,5.29,4.79,5.00,29
1260.00,1440.00,H15N_onRamp2,12,240.00,9.94,4.82,4.40,5.00,16
1440.00,1620.00,H15N_onRamp2,16,320.00,13.29,5.33,4.83,5.00,22
1620.00,1800.00,H15N_onRamp2,13,260.00,8.41,5.20,4.69,5.00,14
1800.00,1980.00,H15N_onRamp2,19,380.00,15.60,4.96,4.49,5.00,26
1980.00,2160.00,H15N_onRamp2,12,240.00,7.56,4.86,4.41,5.00,12
2160.00,2340.00,H15N_onRamp2,15,300.00,11.11,4.76,4.27,5.00,18
2340.00,2520.00,H15N_onRamp2,21,420.00,15.77,5.21,4.70,5.00,26
2520.00,2700.00,H15N_onRamp2,32,640.00,23.03,5.32,4.83,5.00,38
2700.00,2880.00,H15N_onRamp2,37,740.00,24.30,5.00,4.50,5.00,40
2880.00,3060.00,H15N_onRamp2,29,580.00,22.52,5.16,4.73,5.00,36
3060.00,3240.00,H15N_onRamp2,32,640.00,24.95,5.22,4.72,5.00,41
3240.00,3420.00,H15N_onRamp2,31,620.00,21.67,5.15,4.72,5.00,36
3420.00,3600.00,H15N_onRamp2,32,640.00,23.41,5.15,4.67,5.00,37
3600.00,3780.00,H15N_onRamp2,24,480.00,17.89,5.12,4.65,5.00,29
3780.00,3960.00,H15N_onRamp2,24,480.00,16.82,5.12,4.60,5.00,27
3960.00,4140.00,H15N_onRamp2,14,280.00,11.44,5.19,4.64,5.00,19
4140.00,4320.00,H15N_onRamp2,9,180.00,5.98,5.04,4.52,5.00,9
4320.00,4500.00,H15N_onRamp2,10,200.00,7.36,5.32,4.85,5.00,12
4500.00,4680.00,H15N_onRamp2,8,160.00,4.91,5.05,4.53,5.00,8
4680.00,4860.00,H15N_onRamp2,12,240.00,9.86,5.16,4.71,5.00,16
4860.00,5040.00,H15N_onRamp2,6,120.00,3.83,4.88,4.35,5.00,6
5040.00,5220.00,H15N_onRamp2,2,40.00,2.54,3.42,3.39,5.00,4
5220.00,5400.00,H15N_onRamp2,11,220.00,8.62,4.84,4.34,5.00,14
5400.00,5580.00,H15N_onRamp2,4,80.00,3.52,5.93,5.54,5.00,6
5580.00,5760.00,H15N_onRamp2,7,140.00,5.59,5.17,4.79,5.00,9
5760.00,5940.00,H15N_onRamp2,12,240.00,8.92,5.27,4.75,5.00,15
5940.00,6120.00,H15N_onRamp2,20,400.00,15.12,5.10,4.64,5.00,24
6120.00,6300.00,H15N_onRamp2,11,220.00,8.92,5.19,4.68,5.00,14
6300.00,6480.00,H15N_onRamp2,10,200.00,8.50,5.69,5.16,5.00,14
6480.00,6660.00,H15N_onRamp2,5,100.00,4.59,5.36,4.88,5.00,8
6660.00,6840.00,H15N_onRamp2,8,160.00,6.29,5.50,5.02,5.00,10
6840.00,7020.00,H15N_onRamp2,8,160.00,6.11,5.35,4.80,5.00,10
7020.00,7200.00,H15N_onRamp2,10,200.00,6.30,4.87,4.41,5.00,10
7200.00,7380.00,H15N_onRamp2,18,360.00,14.44,5.60,5.14,5.00,24
7380.00,7560.00,H15N_onRamp2,16,320.00,11.14,5.18,4.62,5.00,18
7560.00,7740.00,H15N_onRamp2,14,280.00,10.11,5.00,4.55,5.00,16
7740.00,7920.00,H15N_onRamp2,18,360.00,13.36,4.92,4.47,5.00,22
7920.00,8100.00,H15N_onRamp2,21,420.00,13.81,4.98,4.48,5.00,22
8100.00,8280.00,H15N_onRamp2,22,440.00,16.47,4.83,4.32,5.00,26
8280.00,8460.00,H15N_onRamp2,27,540.00,21.58,5.21,4.78,5.00,35
8460.00,8640.00,H15N_onRamp2,26,520.00,20.98,5.27,4.75,5.00,34
8640.00,8820.00,H15N_onRamp2,31,620.00,23.32,5.05,4.61,5.00,38
8820.00,9000.00,H15N_onRamp2,30,600.00,21.52,5.19,4.72,5.00,35
9000.00,9180.00,H15N_onRamp2,22,440.00,21.01,5.46,4.96,5.00,34
9180.00,9360.00,H15N_onRamp2,31,620.00,22.93,5.14,4.62,5.00,37
9360.00,9540.00,H15N_onRamp2,23,460.00,17.99,5.19,4.67,5.00,29
9540.00,9720.00,H15N_onRamp2,23,460.00,16.90,4.91,4.48,5.00,28
9720.00,9900.00,H15N_onRamp2,38,760.00,25.37,5.07,4.59,5.00,41
9900.00,10080.00,H15N_onRamp2,37,740.00,24.37,4.81,4.37,5.00,38
10080.00,10260.00,H15N_onRamp2,27,540.00,18.69,5.07,4.63,5.00,31
10260.00,10440.00,H15N_onRamp2,28,560.00,20.64,5.03,4.61,5.00,33
10440.00,10620.00,H15N_onRamp2,29,580.00,20.67,5.08,4.55,5.00,33
10620.00,10800.00,H15N_onRamp2,18,360.00,12.41,4.86,4.42,5.00,20
10800.00,10980.00,H15N_onRamp2,24,480.00,18.11,4.77,4.28,5.00,30
10980.00,11160.00,H15N_onRamp2,20,400.00,13.84,5.03,4.54,5.00,22
