begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15N_out_3,0,0.00,0.00,-1.00,-1.00,-1.00,0
180.00,360.00,H15N_out_3,14,280.00,1.08,36.20,36.12,5.00,14
360.00,540.00,H15N_out_3,47,940.00,3.85,34.01,33.93,5.00,47
540.00,720.00,H15N_out_3,51,1020.00,4.07,34.95,34.82,5.00,51
720.00,900.00,H15N_out_3,46,920.00,3.79,33.87,33.69,5.00,46
900.00,1080.00,H15N_out_3,42,840.00,3.40,34.48,34.27,5.00,42
1080.00,1260.00,H15N_out_3,45,900.00,3.60,34.80,34.68,5.00,45
1260.00,1440.00,H15N_out_3,53,1060.00,4.24,34.82,34.70,5.00,53
1440.00,1620.00,H15N_out_3,49,980.00,4.01,34.01,33.90,5.00,49
1620.00,1800.00,H15N_out_3,42,840.00,3.38,34.64,34.52,5.00,42
1800.00,1980.00,H15N_out_3,40,800.00,3.19,34.96,34.84,5.00,40
1980.00,2160.00,H15N_out_3,60,1200.00,4.84,34.54,34.44,5.00,60
2160.00,2340.00,H15N_out_3,39,780.00,3.14,34.60,34.46,5.00,39
2340.00,2520.00,H15N_out_3,53,1060.00,4.28,34.47,34.36,5.00,53
2520.00,2700.00,H15N_out_3,45,900.00,3.55,35.30,35.17,5.00,45
2700.00,2880.00,H15N_out_3,52,1040.00,4.73,34.08,30.51,5.00,52
2880.00,3060.00,H15N_out_3,46,920.00,3.71,34.55,34.46,5.00,46
3060.00,3240.00,H15N_out_3,49,980.00,3.96,34.55,34.34,5.00,49
3240.00,3420.00,H15N_out_3,46,920.00,3.72,34.47,34.35,5.00,46
3420.00,3600.00,H15N_out_3,48,960.00,3.80,35.23,35.12,5.00,48
3600.00,3780.00,H15N_out_3,49,980.00,4.07,33.63,33.40,5.00,49
3780.00,3960.00,H15N_out_3,50,1000.00,4.05,34.46,34.30,5.00,50
3960.00,4140.00,H15N_out_3,49,980.00,3.98,34.39,34.24,5.00,49
4140.00,4320.00,H15N_out_3,52,1040.00,4.69,34.57,30.81,5.00,52
4320.00,4500.00,H15N_out_3,42,840.00,3.46,33.87,33.71,5.00,42
4500.00,4680.00,H15N_out_3,45,900.00,3.55,35.37,35.22,5.00,45
4680.00,4860.00,H15N_out_3,45,900.00,3.67,34.20,34.06,5.00,45
4860.00,5040.00,H15N_out_3,46,920.00,3.73,34.42,34.28,5.00,46
5040.00,5220.00,H15N_out_3,48,960.00,3.87,34.70,34.50,5.00,48
5220.00,5400.00,H15N_out_3,45,900.00,3.56,35.34,35.15,5.00,45
