begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15S_3_1,20,400.00,1.66,33.66,33.53,5.00,20
180.00,360.00,H15S_3_1,55,1100.00,5.07,30.34,30.13,5.00,55
360.00,540.00,H15S_3_1,53,1060.00,4.87,30.96,30.76,5.00,54
540.00,720.00,H15S_3_1,53,1060.00,5.38,29.95,27.36,5.00,53
720.00,900.00,H15S_3_1,55,1100.00,5.10,30.57,30.36,5.00,56
900.00,1080.00,H15S_3_1,50,1000.00,4.53,30.34,30.20,5.00,49
1080.00,1260.00,H15S_3_1,53,1060.00,4.91,30.21,29.99,5.00,53
1260.00,1440.00,H15S_3_1,51,1020.00,4.57,31.10,30.98,5.00,51
1440.00,1620.00,H15S_3_1,45,900.00,4.03,31.18,31.02,5.00,45
1620.00,1800.00,H15S_3_1,56,1120.00,5.08,30.79,30.64,5.00,56
1800.00,1980.00,H15S_3_1,47,940.00,4.76,30.18,27.42,5.00,47
1980.00,2160.00,H15S_3_1,53,1060.00,4.76,31.18,30.95,5.00,53
2160.00,2340.00,H15S_3_1,51,1020.00,4.65,30.61,30.45,5.00,51
2340.00,2520.00,H15S_3_1,52,1040.00,4.95,29.42,29.20,5.00,52
2520.00,2700.00,H15S_3_1,56,1120.00,5.18,30.17,30.03,5.00,56
2700.00,2880.00,H15S_3_1,55,1100.00,5.03,30.54,30.35,5.00,55
2880.00,3060.00,H15S_3_1,45,900.00,4.11,30.64,30.45,5.00,45
3060.00,3240.00,H15S_3_1,51,1020.00,4.54,31.29,31.18,5.00,51
3240.00,3420.00,H15S_3_1,58,1160.00,5.82,29.97,27.70,5.00,58
3420.00,3600.00,H15S_3_1,56,1120.00,5.12,30.60,30.37,5.00,56
3600.00,3780.00,H15S_3_1,52,1040.00,4.79,30.31,30.13,5.00,52
3780.00,3960.00,H15S_3_1,52,1040.00,5.25,30.16,27.50,5.00,52
3960.00,4140.00,H15S_3_1,49,980.00,4.49,30.46,30.31,5.00,50
4140.00,4320.00,H15S_3_1,50,1000.00,4.58,30.52,30.33,5.00,49
4320.00,4500.00,H15S_3_1,52,1040.00,4.68,31.01,30.84,5.00,52
4500.00,4680.00,H15S_3_1,52,1040.00,4.73,30.66,30.51,5.00,52
4680.00,4860.00,H15S_3_1,55,1100.00,5.01,30.63,30.47,5.00,55
4860.00,5040.00,H15S_3_1,44,880.00,4.00,30.77,30.58,5.00,44
5040.00,5220.00,H15S_3_1,54,1080.00,4.93,30.56,30.45,5.00,54
5220.00,5400.00,H15S_3_1,52,1040.00,4.63,31.36,31.19,5.00,52
5400.00,5580.00,H15S_3_1,57,1140.00,5.26,30.23,30.11,5.00,57
5580.00,5760.00,H15S_3_1,51,1020.00,4.60,30.90,30.79,5.00,51
5760.00,5940.00,H15S_3_1,50,1000.00,4.38,31.86,31.73,5.00,50
5940.00,6120.00,H15S_3_1,54,1080.00,4.92,30.71,30.49,5.00,54
6120.00,6300.00,H15S_3_1,45,900.00,4.22,29.90,29.74,5.00,46
6300.00,6480.00,H15S_3_1,48,960.00,4.37,30.67,30.52,5.00,48
6480.00,6660.00,H15S_3_1,58,1160.00,5.25,30.87,30.70,5.00,58
6660.00,6840.00,H15S_3_1,51,1020.00,4.79,29.75,29.56,5.00,51
6840.00,7020.00,H15S_3_1,51,1020.00,5.18,29.75,27.36,5.00,51
7020.00,7200.00,H15S_3_1,51,1020.00,4.76,29.90,29.74,5.00,51
7200.00,7380.00,H15S_3_1,43,860.00,3.97,30.29,30.11,5.00,43
7380.00,7560.00,H15S_3_1,53,1060.00,4.79,31.01,30.74,5.00,53
7560.00,7740.00,H15S_3_1,49,980.00,4.45,30.73,30.59,5.00,49
7740.00,7920.00,H15S_3_1,55,1100.00,5.15,29.90,29.69,5.00,55
7920.00,8100.00,H15S_3_1,49,980.00,4.54,30.10,29.97,5.00,49
8100.00,8280.00,H15S_3_1,52,1040.00,4.95,29.51,29.17,5.00,52
8280.00,8460.00,H15S_3_1,49,980.00,4.60,30.27,30.06,5.00,50
8460.00,8640.00,H15S_3_1,55,1100.00,5.07,30.30,30.13,5.00,55
8640.00,8820.00,H15S_3_1,51,1020.00,4.71,30.39,30.14,5.00,52
8820.00,9000.00,H15S_3_1,52,1040.00,4.85,30.00,29.77,5.00,52
9000.00,9180.00,H15S_3_1,60,1200.00,5.50,30.49,30.28,5.00,60
9180.00,9360.00,H15S_3_1,50,1000.00,4.76,29.41,29.20,5.00,50
9360.00,9540.00,H15S_3_1,46,920.00,4.26,30.25,29.98,5.00,46
9540.00,9720.00,H15S_3_1,56,1120.00,5.00,31.26,31.12,5.00,56
9720.00,9900.00,H15S_3_1,45,900.00,4.15,30.33,30.14,5.00,45
9900.00,10080.00,H15S_3_1,52,1040.00,4.67,31.04,30.90,5.00,52
10080.00,10260.00,H15S_3_1,50,1000.00,5.15,29.83,26.98,5.00,50
10260.00,10440.00,H15S_3_1,49,980.00,4.53,30.23,30.05,5.00,49
10440.00,10620.00,H15S_3_1,56,1120.00,4.94,31.60,31.46,5.00,56
10620.00,10800.00,H15S_3_1,58,1160.00,5.29,30.67,30.43,5.00,58
10800.00,10980.00,H15S_3_1,51,1020.00,4.63,31.16,30.92,5.00,52
10980.00,11160.00,H15S_3_1,56,1120.00,5.14,30.40,30.25,5.00,56
11160.00,11340.00,H15S_3_1,57,1140.00,5.22,30.57,30.36,5.00,57
11340.00,11520.00,H15S_3_1,49,980.00,4.52,30.32,30.12,5.00,49
11520.00,11700.00,H15S_3_1,54,1080.00,4.97,30.44,30.19,5.00,54
11700.00,11880.00,H15S_3_1,59,1180.00,5.40,30.54,30.35,5.00,59
11880.00,12060.00,H15S_3_1,50,1000.00,4.57,30.58,30.36,5.00,50
12060.00,12240.00,H15S_3_1,58,1160.00,5.37,30.24,29.99,5.00,58
12240.00,12420.00,H15S_3_1,52,1040.00,4.93,29.65,29.33,5.00,52
12420.00,12600.00,H15S_3_1,41,820.00,4.00,28.66,28.50,5.00,41
12600.00,12780.00,H15S_3_1,51,1020.00,4.77,29.85,29.71,5.00,51
12780.00,12960.00,H15S_3_1,53,1060.00,4.76,31.10,30.93,5.00,53
12960.00,13140.00,H15S_3_1,49,980.00,4.51,30.79,30.54,5.00,50
13140.00,13320.00,H15S_3_1,53,1060.00,4.79,30.59,30.38,5.00,52
13320.00,13500.00,H15S_3_1,50,1000.00,4.64,30.18,29.95,5.00,50
13500.00,13680.00,H15S_3_1,49,980.00,5.07,29.70,26.83,5.00,49
13680.00,13860.00,H15S_3_1,54,1080.00,4.92,30.58,30.48,5.00,54
13860.00,14040.00,H15S_3_1,45,900.00,4.23,29.85,29.58,5.00,45
14040.00,14220.00,H15S_3_1,48,960.00,4.44,30.20,30.04,5.00,48
