begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H15S_offRamp1,7,140.00,0.72,27.29,26.84,5.00,7
180.00,360.00,H15S_offRamp1,12,240.00,1.18,28.49,28.35,5.00,12
360.00,540.00,H15S_offRamp1,12,240.00,1.27,26.59,26.25,5.00,12
540.00,720.00,H15S_offRamp1,12,240.00,1.17,28.56,28.47,5.00,12
720.00,900.00,H15S_offRamp1,11,220.00,1.10,28.12,27.79,5.00,11
900.00,1080.00,H15S_offRamp1,12,240.00,1.20,28.14,27.89,5.00,12
1080.00,1260.00,H15S_offRamp1,13,260.00,1.23,29.53,29.37,5.00,13
1260.00,1440.00,H15S_offRamp1,11,220.00,1.20,25.93,25.39,5.00,11
1440.00,1620.00,H15S_offRamp1,13,260.00,1.33,27.48,27.19,5.00,13
1620.00,1800.00,H15S_offRamp1,12,240.00,1.23,27.43,27.11,5.00,12
1800.00,1980.00,H15S_offRamp1,11,220.00,1.10,28.07,27.87,5.00,11
1980.00,2160.00,H15S_offRamp1,12,240.00,1.20,27.97,27.83,5.00,12
2160.00,2340.00,H15S_offRamp1,13,260.00,1.36,27.00,26.60,5.00,13
2340.00,2520.00,H15S_offRamp1,12,240.00,1.13,29.71,29.48,5.00,12
2520.00,2700.00,H15S_offRamp1,12,240.00,1.17,28.97,28.60,5.00,12
2700.00,2880.00,H15S_offRamp1,12,240.00,1.19,28.36,28.04,5.00,12
2880.00,3060.00,H15S_offRamp1,12,240.00,1.20,28.05,27.68,5.00,12
3060.00,3240.00,H15S_offRamp1,12,240.00,1.26,26.69,26.49,5.00,12
3240.00,3420.00,H15S_offRamp1,12,240.00,1.21,27.56,27.48,5.00,12
3420.00,3600.00,H15S_offRamp1,12,240.00,1.24,27.28,26.95,5.00,12
3600.00,3780.00,H15S_offRamp1,11,220.00,1.05,29.33,29.13,5.00,11
3780.00,3960.00,H15S_offRamp1,13,260.00,1.44,25.81,25.00,5.00,13
3960.00,4140.00,H15S_offRamp1,11,220.00,1.13,27.37,27.11,5.00,11
4140.00,4320.00,H15S_offRamp1,12,240.00,1.19,28.32,27.97,5.00,12
4320.00,4500.00,H15S_offRamp1,13,260.00,1.34,27.29,26.99,5.00,13
4500.00,4680.00,H15S_offRamp1,13,260.00,1.26,28.92,28.71,5.00,13
4680.00,4860.00,H15S_offRamp1,11,220.00,1.12,27.60,27.17,5.00,11
4860.00,5040.00,H15S_offRamp1,11,220.00,1.06,29.09,28.89,5.00,11
5040.00,5220.00,H15S_offRamp1,12,240.00,1.24,27.46,26.93,5.00,12
5220.00,5400.00,H15S_offRamp1,13,260.00,1.34,27.24,27.04,5.00,13
5400.00,5580.00,H15S_offRamp1,13,260.00,1.31,27.87,27.64,5.00,13
5580.00,5760.00,H15S_offRamp1,11,220.00,1.09,28.42,28.15,5.00,11
5760.00,5940.00,H15S_offRamp1,13,260.00,1.31,27.85,27.61,5.00,13
5940.00,6120.00,H15S_offRamp1,10,200.00,1.02,27.49,27.17,5.00,10
6120.00,6300.00,H15S_offRamp1,13,260.00,1.32,27.56,27.39,5.00,13
6300.00,6480.00,H15S_offRamp1,12,240.00,1.22,27.52,27.32,5.00,12
6480.00,6660.00,H15S_offRamp1,12,240.00,1.20,28.12,27.84,5.00,12
6660.00,6840.00,H15S_offRamp1,12,240.00,1.20,27.81,27.74,5.00,12
6840.00,7020.00,H15S_offRamp1,12,240.00,1.14,29.54,29.29,5.00,12
7020.00,7200.00,H15S_offRamp1,12,240.00,1.18,29.06,28.16,5.00,12
7200.00,7380.00,H15S_offRamp1,12,240.00,1.28,26.25,26.08,5.00,12
7380.00,7560.00,H15S_offRamp1,12,240.00,1.15,29.23,28.89,5.00,12
7560.00,7740.00,H15S_offRamp1,11,220.00,1.10,27.93,27.83,5.00,11
7740.00,7920.00,H15S_offRamp1,13,260.00,1.34,27.25,26.89,5.00,13
7920.00,8100.00,H15S_offRamp1,11,220.00,1.07,28.57,28.48,5.00,11
