begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20E_offRamp1,6,120.00,0.63,26.69,26.47,5.00,6
180.00,360.00,H20E_offRamp1,33,660.00,3.42,27.01,26.77,5.00,33
360.00,540.00,H20E_offRamp1,37,740.00,3.90,26.71,26.34,5.00,37
540.00,720.00,H20E_offRamp1,37,740.00,4.02,25.84,25.55,5.00,37
720.00,900.00,H20E_offRamp1,36,720.00,4.06,25.24,24.63,5.00,36
900.00,1080.00,H20E_offRamp1,35,700.00,3.53,27.93,27.69,5.00,36
1080.00,1260.00,H20E_offRamp1,35,700.00,3.52,27.67,27.50,5.00,34
1260.00,1440.00,H20E_offRamp1,36,720.00,3.77,26.76,26.52,5.00,36
1440.00,1620.00,H20E_offRamp1,38,760.00,4.12,25.92,25.63,5.00,38
1620.00,1800.00,H20E_offRamp1,36,720.00,3.65,27.69,27.43,5.00,36
1800.00,1980.00,H20E_offRamp1,39,780.00,3.92,27.93,27.64,5.00,39
1980.00,2160.00,H20E_offRamp1,35,700.00,3.49,28.02,27.84,5.00,35
2160.00,2340.00,H20E_offRamp1,35,700.00,3.60,27.31,27.01,5.00,35
2340.00,2520.00,H20E_offRamp1,37,740.00,3.69,28.13,27.88,5.00,37
2520.00,2700.00,H20E_offRamp1,30,600.00,3.03,27.68,27.47,5.00,30
2700.00,2880.00,H20E_offRamp1,36,720.00,3.67,27.51,27.27,5.00,36
2880.00,3060.00,H20E_offRamp1,44,880.00,4.66,26.66,26.23,5.00,44
3060.00,3240.00,H20E_offRamp1,38,760.00,3.93,27.20,26.83,5.00,38
3240.00,3420.00,H20E_offRamp1,34,680.00,3.44,27.67,27.42,5.00,34
3420.00,3600.00,H20E_offRamp1,38,760.00,3.91,27.23,26.98,5.00,38
3600.00,3780.00,H20E_offRamp1,34,680.00,3.46,27.52,27.32,5.00,34
3780.00,3960.00,H20E_offRamp1,37,740.00,3.88,26.66,26.50,5.00,37
3960.00,4140.00,H20E_offRamp1,38,760.00,3.85,27.61,27.42,5.00,38
4140.00,4320.00,H20E_offRamp1,35,700.00,3.47,28.23,28.02,5.00,35
4320.00,4500.00,H20E_offRamp1,37,740.00,3.76,27.60,27.31,5.00,37
4500.00,4680.00,H20E_offRamp1,36,720.00,3.80,26.72,26.33,5.00,36
4680.00,4860.00,H20E_offRamp1,37,740.00,3.66,28.24,28.07,5.00,37
4860.00,5040.00,H20E_offRamp1,35,700.00,3.52,27.81,27.61,5.00,35
