begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20E_out_2,0,0.00,0.00,-1.00,-1.00,-1.00,0
180.00,360.00,H20E_out_2,33,660.00,2.74,33.71,33.46,5.00,33
360.00,540.00,H20E_out_2,50,1000.00,4.28,32.65,32.48,5.00,50
540.00,720.00,H20E_out_2,52,1040.00,4.40,33.02,32.81,5.00,52
720.00,900.00,H20E_out_2,59,1180.00,4.93,33.39,33.25,5.00,59
900.00,1080.00,H20E_out_2,48,960.00,4.09,32.78,32.61,5.00,48
1080.00,1260.00,H20E_out_2,54,1080.00,4.79,31.55,31.33,5.00,54
1260.00,1440.00,H20E_out_2,53,1060.00,4.53,32.65,32.51,5.00,53
1440.00,1620.00,H20E_out_2,49,980.00,4.12,33.14,33.02,5.00,49
1620.00,1800.00,H20E_out_2,43,860.00,4.19,32.20,28.53,5.00,43
1800.00,1980.00,H20E_out_2,49,980.00,4.85,30.84,28.04,5.00,49
1980.00,2160.00,H20E_out_2,49,980.00,4.23,32.35,32.21,5.00,49
2160.00,2340.00,H20E_out_2,44,880.00,3.63,33.87,33.70,5.00,44
2340.00,2520.00,H20E_out_2,43,860.00,3.62,33.29,33.14,5.00,44
2520.00,2700.00,H20E_out_2,48,960.00,4.20,31.74,31.58,5.00,47
2700.00,2880.00,H20E_out_2,50,1000.00,4.82,32.42,29.06,5.00,51
2880.00,3060.00,H20E_out_2,55,1100.00,4.63,32.80,32.69,5.00,54
3060.00,3240.00,H20E_out_2,42,840.00,3.58,32.77,32.62,5.00,42
3240.00,3420.00,H20E_out_2,51,1020.00,4.34,32.98,32.75,5.00,52
3420.00,3600.00,H20E_out_2,42,840.00,3.56,32.74,32.57,5.00,41
3600.00,3780.00,H20E_out_2,47,940.00,4.04,32.48,32.29,5.00,47
3780.00,3960.00,H20E_out_2,53,1060.00,4.41,33.47,33.36,5.00,53
3960.00,4140.00,H20E_out_2,44,880.00,4.30,32.09,28.41,5.00,44
4140.00,4320.00,H20E_out_2,49,980.00,4.26,32.18,31.98,5.00,49
4320.00,4500.00,H20E_out_2,49,980.00,4.16,32.92,32.75,5.00,49
