begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20W_in_1,65,1300.00,6.03,30.21,29.94,5.00,65
180.00,360.00,H20W_in_1,68,1360.00,6.08,31.33,31.09,5.00,68
360.00,540.00,H20W_in_1,68,1360.00,6.17,30.91,30.66,5.00,69
540.00,720.00,H20W_in_1,65,1300.00,5.95,31.11,30.71,5.00,66
720.00,900.00,H20W_in_1,65,1300.00,5.81,31.34,31.10,5.00,65
900.00,1080.00,H20W_in_1,63,1260.00,5.80,30.75,30.45,5.00,64
1080.00,1260.00,H20W_in_1,68,1360.00,6.47,29.65,29.39,5.00,69
1260.00,1440.00,H20W_in_1,70,1400.00,6.19,31.58,31.29,5.00,70
1440.00,1620.00,H20W_in_1,66,1320.00,6.22,30.14,29.80,5.00,67
1620.00,1800.00,H20W_in_1,72,1440.00,6.72,30.44,30.14,5.00,73
1800.00,1980.00,H20W_in_1,68,1360.00,6.14,31.02,30.75,5.00,68
1980.00,2160.00,H20W_in_1,69,1380.00,6.27,30.83,30.59,5.00,69
2160.00,2340.00,H20W_in_1,71,1420.00,6.42,30.99,30.73,5.00,71
2340.00,2520.00,H20W_in_1,70,1400.00,6.28,31.22,30.97,5.00,70
2520.00,2700.00,H20W_in_1,69,1380.00,6.39,30.39,30.11,5.00,70
2700.00,2880.00,H20W_in_1,67,1340.00,6.07,31.72,31.47,5.00,69
2880.00,3060.00,H20W_in_1,65,1300.00,6.07,30.15,30.00,5.00,66
3060.00,3240.00,H20W_in_1,70,1400.00,6.34,30.84,30.43,5.00,69
3240.00,3420.00,H20W_in_1,68,1360.00,6.18,30.79,30.57,5.00,68
3420.00,3600.00,H20W_in_1,64,1280.00,6.00,30.14,29.63,5.00,64
3600.00,3780.00,H20W_in_1,68,1360.00,6.33,30.60,30.26,5.00,69
3780.00,3960.00,H20W_in_1,66,1320.00,6.05,30.64,30.30,5.00,66
3960.00,4140.00,H20W_in_1,68,1360.00,6.17,30.95,30.63,5.00,68
4140.00,4320.00,H20W_in_1,66,1320.00,6.01,31.11,30.87,5.00,67
4320.00,4500.00,H20W_in_1,71,1420.00,6.28,31.65,31.40,5.00,72
4500.00,4680.00,H20W_in_1,67,1340.00,6.24,30.17,29.82,5.00,67
4680.00,4860.00,H20W_in_1,69,1380.00,6.27,30.94,30.58,5.00,69
4860.00,5040.00,H20W_in_1,72,1440.00,6.64,30.66,30.31,5.00,73
5040.00,5220.00,H20W_in_1,65,1300.00,5.94,30.82,30.58,5.00,66
5220.00,5400.00,H20W_in_1,70,1400.00,6.40,30.75,30.41,5.00,71
5400.00,5580.00,H20W_in_1,68,1360.00,6.16,31.04,30.79,5.00,69
5580.00,5760.00,H20W_in_1,64,1280.00,5.88,30.54,30.26,5.00,64
5760.00,5940.00,H20W_in_1,66,1320.00,6.18,30.30,30.03,5.00,67
5940.00,6120.00,H20W_in_1,67,1340.00,6.13,30.58,30.36,5.00,67
6120.00,6300.00,H20W_in_1,67,1340.00,6.19,30.31,30.06,5.00,67
6300.00,6480.00,H20W_in_1,66,1320.00,6.05,30.77,30.31,5.00,66
6480.00,6660.00,H20W_in_1,65,1300.00,5.93,30.67,30.44,5.00,65
6660.00,6840.00,H20W_in_1,70,1400.00,6.25,31.36,31.09,5.00,70
6840.00,7020.00,H20W_in_1,62,1240.00,5.68,30.66,30.32,5.00,62
7020.00,7200.00,H20W_in_1,62,1240.00,5.69,30.93,30.69,5.00,63
7200.00,7380.00,H20W_in_1,70,1400.00,6.62,29.86,29.39,5.00,70
7380.00,7560.00,H20W_in_1,69,1380.00,6.20,31.17,30.93,5.00,69
7560.00,7740.00,H20W_in_1,66,1320.00,5.99,30.88,30.62,5.00,67
7740.00,7920.00,H20W_in_1,65,1300.00,5.99,30.47,30.14,5.00,65
7920.00,8100.00,H20W_in_1,66,1320.00,6.10,30.98,30.78,5.00,68
8100.00,8280.00,H20W_in_1,69,1380.00,6.15,30.99,30.76,5.00,68
8280.00,8460.00,H20W_in_1,72,1440.00,6.46,31.22,30.94,5.00,72
8460.00,8640.00,H20W_in_1,68,1360.00,6.24,30.74,30.40,5.00,69
8640.00,8820.00,H20W_in_1,73,1460.00,6.78,30.16,29.91,5.00,73
8820.00,9000.00,H20W_in_1,68,1360.00,6.43,29.74,29.52,5.00,69
9000.00,9180.00,H20W_in_1,73,1460.00,6.43,31.81,31.56,5.00,73
9180.00,9360.00,H20W_in_1,62,1240.00,5.70,30.57,30.27,5.00,63
9360.00,9540.00,H20W_in_1,66,1320.00,5.96,30.96,30.72,5.00,65
9540.00,9720.00,H20W_in_1,67,1340.00,6.07,30.97,30.68,5.00,67
9720.00,9900.00,H20W_in_1,65,1300.00,5.76,31.59,31.38,5.00,66
9900.00,10080.00,H20W_in_1,69,1380.00,6.20,31.11,30.87,5.00,68
10080.00,10260.00,H20W_in_1,69,1380.00,6.20,31.24,30.93,5.00,69
10260.00,10440.00,H20W_in_1,65,1300.00,6.10,29.94,29.61,5.00,65
10440.00,10620.00,H20W_in_1,66,1320.00,6.28,30.02,29.74,5.00,68
10620.00,10800.00,H20W_in_1,62,1240.00,5.78,30.17,29.81,5.00,62
10800.00,10980.00,H20W_in_1,73,1460.00,6.59,31.04,30.78,5.00,73
10980.00,11160.00,H20W_in_1,67,1340.00,6.20,30.30,30.02,5.00,68
11160.00,11340.00,H20W_in_1,65,1300.00,5.96,30.65,30.27,5.00,65
11340.00,11520.00,H20W_in_1,64,1280.00,5.99,30.12,29.70,5.00,64
11520.00,11700.00,H20W_in_1,68,1360.00,6.37,30.18,29.88,5.00,69
11700.00,11880.00,H20W_in_1,68,1360.00,6.32,30.55,30.31,5.00,70
11880.00,12060.00,H20W_in_1,66,1320.00,5.90,31.12,30.83,5.00,65
12060.00,12240.00,H20W_in_1,68,1360.00,6.25,30.79,30.46,5.00,69
12240.00,12420.00,H20W_in_1,71,1420.00,6.52,30.65,30.23,5.00,71
12420.00,12600.00,H20W_in_1,68,1360.00,6.01,31.71,31.45,5.00,68
12600.00,12780.00,H20W_in_1,71,1420.00,6.30,31.61,31.32,5.00,71
12780.00,12960.00,H20W_in_1,69,1380.00,6.21,31.46,31.19,5.00,70
12960.00,13140.00,H20W_in_1,72,1440.00,6.65,30.07,29.80,5.00,71
13140.00,13320.00,H20W_in_1,61,1220.00,5.59,30.56,30.31,5.00,61
13320.00,13500.00,H20W_in_1,63,1260.00,5.90,29.99,29.65,5.00,63
13500.00,13680.00,H20W_in_1,66,1320.00,6.13,30.28,30.05,5.00,67
13680.00,13860.00,H20W_in_1,65,1300.00,6.05,30.59,30.27,5.00,66
13860.00,14040.00,H20W_in_1,73,1460.00,6.80,30.06,29.80,5.00,73
14040.00,14220.00,H20W_in_1,65,1300.00,5.86,31.10,30.81,5.00,65
14220.00,14400.00,H20W_in_1,70,1400.00,6.42,30.59,30.29,5.00,70
