begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20W_onRamp1,16,320.00,18.40,4.67,2.55,5.00,18
180.00,360.00,H20W_onRamp1,20,400.00,15.14,5.09,4.64,5.00,24
360.00,540.00,H20W_onRamp1,27,540.00,18.54,5.09,4.61,5.00,30
540.00,720.00,H20W_onRamp1,28,560.00,19.54,4.79,4.34,5.00,30
720.00,900.00,H20W_onRamp1,18,360.00,12.43,5.10,4.58,5.00,20
900.00,1080.00,H20W_onRamp1,19,380.00,13.23,5.10,4.56,5.00,21
1080.00,1260.00,H20W_onRamp1,19,380.00,12.84,4.88,4.38,5.00,20
1260.00,1440.00,H20W_onRamp1,19,380.00,12.21,4.80,4.32,5.00,19
1440.00,1620.00,H20W_onRamp1,12,240.00,8.25,4.84,4.44,5.00,13
1620.00,1800.00,H20W_onRamp1,20,400.00,12.44,4.92,4.46,5.00,20
1800.00,1980.00,H20W_onRamp1,25,500.00,16.74,4.84,4.37,5.00,27
1980.00,2160.00,H20W_onRamp1,14,280.00,9.93,4.72,4.23,5.00,16
2160.00,2340.00,H20W_onRamp1,11,220.00,8.32,4.98,4.50,5.00,13
2340.00,2520.00,H20W_onRamp1,3,60.00,1.73,5.34,4.83,5.00,3
2520.00,2700.00,H20W_onRamp1,12,240.00,7.80,4.69,4.27,5.00,12
2700.00,2880.00,H20W_onRamp1,13,260.00,9.14,4.83,4.33,5.00,14
2880.00,3060.00,H20W_onRamp1,5,100.00,3.62,5.56,4.88,5.00,6
3060.00,3240.00,H20W_onRamp1,16,320.00,10.97,4.98,4.48,5.00,18
3240.00,3420.00,H20W_onRamp1,27,540.00,17.73,4.92,4.42,5.00,28
3420.00,3600.00,H20W_onRamp1,20,400.00,13.31,5.21,4.73,5.00,22
3600.00,3780.00,H20W_onRamp1,23,460.00,14.59,5.08,4.61,5.00,24
3780.00,3960.00,H20W_onRamp1,24,480.00,16.46,4.82,4.38,5.00,26
3960.00,4140.00,H20W_onRamp1,17,340.00,13.69,5.18,4.70,5.00,22
4140.00,4320.00,H20W_onRamp1,26,520.00,18.58,4.99,4.45,5.00,29
4320.00,4500.00,H20W_onRamp1,24,480.00,15.74,4.93,4.43,5.00,25
4500.00,4680.00,H20W_onRamp1,27,540.00,17.46,5.01,4.48,5.00,28
4680.00,4860.00,H20W_onRamp1,27,540.00,17.67,4.94,4.43,5.00,28
4860.00,5040.00,H20W_onRamp1,30,600.00,19.67,5.11,4.61,5.00,32
5040.00,5220.00,H20W_onRamp1,22,440.00,15.07,4.87,4.39,5.00,24
5220.00,5400.00,H20W_onRamp1,13,260.00,9.62,5.48,4.94,5.00,16
5400.00,5580.00,H20W_onRamp1,8,160.00,6.33,4.73,4.31,5.00,10
5580.00,5760.00,H20W_onRamp1,5,100.00,3.69,5.31,4.73,5.00,6
5760.00,5940.00,H20W_onRamp1,8,160.00,6.19,5.43,4.88,5.00,10
5940.00,6120.00,H20W_onRamp1,16,320.00,10.90,4.92,4.37,5.00,17
6120.00,6300.00,H20W_onRamp1,7,140.00,4.31,4.96,4.52,5.00,7
6300.00,6480.00,H20W_onRamp1,16,320.00,9.75,5.02,4.56,5.00,16
6480.00,6660.00,H20W_onRamp1,16,320.00,12.32,5.08,4.65,5.00,20
6660.00,6840.00,H20W_onRamp1,16,320.00,11.51,4.97,4.48,5.00,18
6840.00,7020.00,H20W_onRamp1,15,300.00,10.37,4.98,4.37,5.00,16
7020.00,7200.00,H20W_onRamp1,25,500.00,16.64,4.79,4.30,5.00,26
7200.00,7380.00,H20W_onRamp1,20,400.00,15.61,5.12,4.63,5.00,26
