begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H20W_out_3,1,20.00,0.07,41.42,41.42,5.00,1
180.00,360.00,H20W_out_3,27,540.00,2.11,35.69,35.56,5.00,27
360.00,540.00,H20W_out_3,55,1100.00,4.95,34.47,30.88,5.00,55
540.00,720.00,H20W_out_3,39,780.00,3.14,34.65,34.48,5.00,39
720.00,900.00,H20W_out_3,52,1040.00,4.27,33.95,33.85,5.00,52
900.00,1080.00,H20W_out_3,45,900.00,3.62,34.71,34.56,5.00,45
1080.00,1260.00,H20W_out_3,55,1100.00,4.40,34.84,34.69,5.00,55
1260.00,1440.00,H20W_out_3,49,980.00,3.94,34.69,34.55,5.00,49
1440.00,1620.00,H20W_out_3,47,940.00,3.75,34.94,34.78,5.00,47
1620.00,1800.00,H20W_out_3,45,900.00,3.59,34.95,34.83,5.00,45
1800.00,1980.00,H20W_out_3,45,900.00,3.56,35.27,35.13,5.00,45
1980.00,2160.00,H20W_out_3,62,1240.00,5.07,34.11,33.97,5.00,62
2160.00,2340.00,H20W_out_3,36,720.00,2.91,34.44,34.31,5.00,36
2340.00,2520.00,H20W_out_3,51,1020.00,4.70,33.64,30.14,5.00,51
2520.00,2700.00,H20W_out_3,55,1100.00,4.57,33.56,33.44,5.00,55
2700.00,2880.00,H20W_out_3,50,1000.00,4.04,34.55,34.41,5.00,50
2880.00,3060.00,H20W_out_3,42,840.00,3.48,33.71,33.50,5.00,42
3060.00,3240.00,H20W_out_3,50,1000.00,3.97,35.09,35.00,5.00,50
3240.00,3420.00,H20W_out_3,53,1060.00,4.30,34.30,34.20,5.00,53
3420.00,3600.00,H20W_out_3,55,1100.00,4.32,35.49,35.36,5.00,55
3600.00,3780.00,H20W_out_3,49,980.00,3.90,34.98,34.87,5.00,49
3780.00,3960.00,H20W_out_3,45,900.00,3.61,34.74,34.61,5.00,45
3960.00,4140.00,H20W_out_3,55,1100.00,4.43,34.63,34.52,5.00,55
4140.00,4320.00,H20W_out_3,48,960.00,3.82,35.02,34.93,5.00,48
4320.00,4500.00,H20W_out_3,46,920.00,3.68,34.80,34.69,5.00,46
4500.00,4680.00,H20W_out_3,59,1180.00,5.37,33.35,30.51,5.00,59
4680.00,4860.00,H20W_out_3,61,1220.00,5.06,33.63,33.46,5.00,61
4860.00,5040.00,H20W_out_3,44,880.00,3.47,35.34,35.24,5.00,44
5040.00,5220.00,H20W_out_3,46,920.00,3.85,33.90,33.80,5.00,47
5220.00,5400.00,H20W_out_3,46,920.00,3.61,34.86,34.74,5.00,45
5400.00,5580.00,H20W_out_3,55,1100.00,4.64,33.72,33.52,5.00,56
