begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25N_in_0,38,760.00,3.41,31.69,31.50,5.00,40
180.00,360.00,H25N_in_0,41,820.00,3.61,31.91,31.58,5.00,41
360.00,540.00,H25N_in_0,41,820.00,3.64,31.64,31.31,5.00,41
540.00,720.00,H25N_in_0,38,760.00,3.27,32.97,32.64,5.00,40
720.00,900.00,H25N_in_0,40,800.00,3.55,31.68,31.48,5.00,41
900.00,1080.00,H25N_in_0,39,780.00,3.38,32.54,32.27,5.00,40
1080.00,1260.00,H25N_in_0,36,720.00,3.23,31.95,31.64,5.00,38
1260.00,1440.00,H25N_in_0,36,720.00,3.18,31.90,31.78,5.00,37
1440.00,1620.00,H25N_in_0,40,800.00,3.55,31.64,31.31,5.00,41
1620.00,1800.00,H25N_in_0,41,820.00,3.57,32.22,31.92,5.00,41
1800.00,1980.00,H25N_in_0,40,800.00,3.53,31.78,31.53,5.00,41
1980.00,2160.00,H25N_in_0,36,720.00,3.13,32.46,32.23,5.00,38
2160.00,2340.00,H25N_in_0,37,740.00,3.23,32.28,32.02,5.00,39
2340.00,2520.00,H25N_in_0,39,780.00,3.37,32.61,32.23,5.00,41
2520.00,2700.00,H25N_in_0,37,740.00,3.15,33.11,32.84,5.00,38
2700.00,2880.00,H25N_in_0,39,780.00,3.43,31.94,31.62,5.00,39
2880.00,3060.00,H25N_in_0,40,800.00,3.48,32.39,32.05,5.00,42
3060.00,3240.00,H25N_in_0,39,780.00,3.45,32.01,31.54,5.00,40
3240.00,3420.00,H25N_in_0,36,720.00,3.19,31.74,31.41,5.00,37
3420.00,3600.00,H25N_in_0,40,800.00,3.44,32.55,32.26,5.00,40
3600.00,3780.00,H25N_in_0,37,740.00,3.18,32.52,32.36,5.00,37
3780.00,3960.00,H25N_in_0,39,780.00,3.44,31.88,31.61,5.00,40
3960.00,4140.00,H25N_in_0,41,820.00,3.61,32.07,31.80,5.00,43
4140.00,4320.00,H25N_in_0,39,780.00,3.39,32.11,31.92,5.00,39
4320.00,4500.00,H25N_in_0,38,760.00,3.22,32.98,32.77,5.00,38
4500.00,4680.00,H25N_in_0,39,780.00,3.41,32.44,32.08,5.00,40
4680.00,4860.00,H25N_in_0,39,780.00,3.52,31.45,31.06,5.00,40
4860.00,5040.00,H25N_in_0,34,680.00,2.99,32.12,31.63,5.00,35
5040.00,5220.00,H25N_in_0,37,740.00,3.30,31.39,31.19,5.00,37
5220.00,5400.00,H25N_in_0,38,760.00,3.33,32.27,31.94,5.00,40
5400.00,5580.00,H25N_in_0,39,780.00,3.40,32.12,31.89,5.00,39
5580.00,5760.00,H25N_in_0,37,740.00,3.24,32.05,31.69,5.00,37
5760.00,5940.00,H25N_in_0,40,800.00,3.50,32.07,31.79,5.00,40
5940.00,6120.00,H25N_in_0,39,780.00,3.48,31.69,31.48,5.00,40
6120.00,6300.00,H25N_in_0,39,780.00,3.51,31.88,31.64,5.00,41
6300.00,6480.00,H25N_in_0,40,800.00,3.51,32.14,31.73,5.00,41
6480.00,6660.00,H25N_in_0,41,820.00,3.68,31.19,30.94,5.00,41
6660.00,6840.00,H25N_in_0,37,740.00,3.32,31.22,30.95,5.00,37
6840.00,7020.00,H25N_in_0,35,700.00,3.15,31.17,30.90,5.00,35
7020.00,7200.00,H25N_in_0,41,820.00,3.63,31.68,31.38,5.00,42
7200.00,7380.00,H25N_in_0,37,740.00,3.22,32.32,32.00,5.00,38
7380.00,7560.00,H25N_in_0,43,860.00,3.78,32.04,31.72,5.00,44
7560.00,7740.00,H25N_in_0,39,780.00,3.35,32.62,32.34,5.00,39
