begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
180.00,360.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
360.00,540.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
540.00,720.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
720.00,900.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
900.00,1080.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
1080.00,1260.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
1260.00,1440.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
1440.00,1620.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
1620.00,1800.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
1800.00,1980.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
1980.00,2160.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
2160.00,2340.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
2340.00,2520.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
2520.00,2700.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
2700.00,2880.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
2880.00,3060.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3060.00,3240.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3240.00,3420.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3420.00,3600.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3600.00,3780.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3780.00,3960.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
3960.00,4140.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
4140.00,4320.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
4320.00,4500.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
4500.00,4680.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
4680.00,4860.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
4860.00,5040.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
5040.00,5220.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
5220.00,5400.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
5400.00,5580.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
5580.00,5760.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
5760.00,5940.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
5940.00,6120.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
6120.00,6300.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
6300.00,6480.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
6480.00,6660.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
6660.00,6840.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
6840.00,7020.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
7020.00,7200.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
7200.00,7380.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
7380.00,7560.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
7560.00,7740.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
7740.00,7920.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
7920.00,8100.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
8100.00,8280.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
8280.00,8460.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
8460.00,8640.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
8640.00,8820.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
8820.00,9000.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
9000.00,9180.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
9180.00,9360.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
9360.00,9540.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
9540.00,9720.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
9720.00,9900.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
9900.00,10080.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
10080.00,10260.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
10260.00,10440.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
10440.00,10620.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
10620.00,10800.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
10800.00,10980.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
10980.00,11160.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
11160.00,11340.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
11340.00,11520.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
11520.00,11700.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
11700.00,11880.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
11880.00,12060.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
12060.00,12240.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
12240.00,12420.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
12420.00,12600.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
12600.00,12780.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
12780.00,12960.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
12960.00,13140.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
13140.00,13320.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
13320.00,13500.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
13500.00,13680.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
13680.00,13860.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
13860.00,14040.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
14040.00,14220.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
14220.00,14400.00,H25N_offRamp1,0,0.00,0.00,-1.00,-1.00,-1.00,0
