begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_in_0,96,1920.00,9.55,28.42,27.91,5.00,96
180.00,360.00,H25S_in_0,96,1920.00,9.61,28.37,27.76,5.00,96
360.00,540.00,H25S_in_0,95,1900.00,9.61,28.15,27.46,5.00,95
540.00,720.00,H25S_in_0,95,1900.00,9.29,28.88,28.41,5.00,95
720.00,900.00,H25S_in_0,96,1920.00,9.26,29.17,28.78,5.00,96
900.00,1080.00,H25S_in_0,94,1880.00,9.02,29.32,28.95,5.00,94
1080.00,1260.00,H25S_in_0,96,1920.00,9.67,28.07,27.56,5.00,96
1260.00,1440.00,H25S_in_0,95,1900.00,9.35,28.59,28.21,5.00,95
1440.00,1620.00,H25S_in_0,95,1900.00,8.90,30.01,29.64,5.00,95
1620.00,1800.00,H25S_in_0,96,1920.00,9.05,29.77,29.45,5.00,96
1800.00,1980.00,H25S_in_0,95,1900.00,9.34,28.74,28.26,5.00,95
1980.00,2160.00,H25S_in_0,96,1920.00,9.21,29.32,28.94,5.00,96
2160.00,2340.00,H25S_in_0,95,1900.00,9.00,29.71,29.31,5.00,95
2340.00,2520.00,H25S_in_0,94,1880.00,8.94,29.57,29.22,5.00,94
2520.00,2700.00,H25S_in_0,97,1940.00,9.46,28.92,28.49,5.00,97
2700.00,2880.00,H25S_in_0,95,1900.00,9.17,29.10,28.77,5.00,95
2880.00,3060.00,H25S_in_0,94,1880.00,8.71,30.36,29.99,5.00,94
3060.00,3240.00,H25S_in_0,96,1920.00,9.20,29.41,28.99,5.00,96
3240.00,3420.00,H25S_in_0,95,1900.00,9.08,29.40,29.08,5.00,95
3420.00,3600.00,H25S_in_0,95,1900.00,9.07,29.43,29.10,5.00,95
3600.00,3780.00,H25S_in_0,96,1920.00,9.46,28.84,28.20,5.00,96
3780.00,3960.00,H25S_in_0,96,1920.00,8.88,30.37,30.03,5.00,96
3960.00,4140.00,H25S_in_0,95,1900.00,9.05,29.49,29.15,5.00,95
4140.00,4320.00,H25S_in_0,95,1900.00,10.34,26.27,25.53,5.00,95
4320.00,4500.00,H25S_in_0,95,1900.00,9.09,29.40,29.03,5.00,95
4500.00,4680.00,H25S_in_0,95,1900.00,9.39,28.60,28.11,5.00,95
4680.00,4860.00,H25S_in_0,96,1920.00,9.29,29.09,28.69,5.00,96
4860.00,5040.00,H25S_in_0,95,1900.00,9.53,28.16,27.69,5.00,95
5040.00,5220.00,H25S_in_0,95,1900.00,9.23,28.94,28.58,5.00,95
5220.00,5400.00,H25S_in_0,96,1920.00,9.49,28.66,28.11,5.00,96
5400.00,5580.00,H25S_in_0,95,1900.00,9.14,29.20,28.86,5.00,95
5580.00,5760.00,H25S_in_0,96,1920.00,9.21,29.40,28.97,5.00,96
5760.00,5940.00,H25S_in_0,95,1900.00,8.61,30.91,30.65,5.00,95
5940.00,6120.00,H25S_in_0,94,1880.00,9.22,28.73,28.32,5.00,94
6120.00,6300.00,H25S_in_0,96,1920.00,9.17,29.42,29.10,5.00,96
6300.00,6480.00,H25S_in_0,96,1920.00,9.07,29.74,29.39,5.00,96
6480.00,6660.00,H25S_in_0,94,1880.00,9.21,28.75,28.37,5.00,94
6660.00,6840.00,H25S_in_0,96,1920.00,8.98,29.96,29.69,5.00,96
6840.00,7020.00,H25S_in_0,95,1900.00,9.31,28.77,28.34,5.00,95
7020.00,7200.00,H25S_in_0,95,1900.00,9.20,29.03,28.70,5.00,95
7200.00,7380.00,H25S_in_0,95,1900.00,9.10,29.43,28.99,5.00,95
7380.00,7560.00,H25S_in_0,97,1940.00,9.13,29.78,29.51,5.00,97
7560.00,7740.00,H25S_in_0,95,1900.00,8.75,30.46,30.17,5.00,95
