begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_onRamp1,21,420.00,18.88,3.33,3.09,5.00,21
180.00,360.00,H25S_onRamp1,10,200.00,9.07,3.33,3.06,5.00,10
360.00,540.00,H25S_onRamp1,10,200.00,8.94,3.30,3.11,5.00,10
540.00,720.00,H25S_onRamp1,11,220.00,10.16,3.39,3.01,5.00,11
720.00,900.00,H25S_onRamp1,7,140.00,7.02,3.11,2.77,5.00,7
900.00,1080.00,H25S_onRamp1,10,200.00,9.54,3.15,2.91,5.00,10
1080.00,1260.00,H25S_onRamp1,8,160.00,8.56,2.81,2.60,5.00,8
1260.00,1440.00,H25S_onRamp1,13,260.00,11.76,3.33,3.16,5.00,14
1440.00,1620.00,H25S_onRamp1,15,300.00,12.14,3.52,3.34,5.00,14
1620.00,1800.00,H25S_onRamp1,14,280.00,14.06,3.04,2.77,5.00,14
1800.00,1980.00,H25S_onRamp1,14,280.00,13.01,3.29,2.99,5.00,14
1980.00,2160.00,H25S_onRamp1,5,100.00,4.87,3.33,3.04,5.00,6
2160.00,2340.00,H25S_onRamp1,5,100.00,4.59,3.11,2.84,5.00,4
2340.00,2520.00,H25S_onRamp1,10,200.00,9.94,3.03,2.79,5.00,10
2520.00,2700.00,H25S_onRamp1,6,120.00,5.97,3.22,2.79,5.00,6
2700.00,2880.00,H25S_onRamp1,13,260.00,10.67,3.56,3.39,5.00,13
2880.00,3060.00,H25S_onRamp1,11,220.00,10.96,3.11,2.85,5.00,12
3060.00,3240.00,H25S_onRamp1,10,200.00,8.94,3.25,3.02,5.00,9
3240.00,3420.00,H25S_onRamp1,6,120.00,5.98,3.08,2.79,5.00,6
3420.00,3600.00,H25S_onRamp1,6,120.00,5.37,3.30,3.10,5.00,6
3600.00,3780.00,H25S_onRamp1,21,420.00,20.49,3.30,3.00,5.00,22
3780.00,3960.00,H25S_onRamp1,15,300.00,12.42,3.42,3.16,5.00,15
3960.00,4140.00,H25S_onRamp1,11,220.00,10.81,3.09,2.74,5.00,10
4140.00,4320.00,H25S_onRamp1,13,260.00,12.60,3.05,2.87,5.00,13
4320.00,4500.00,H25S_onRamp1,8,160.00,7.83,3.06,2.84,5.00,8
4500.00,4680.00,H25S_onRamp1,18,360.00,16.41,3.36,3.13,5.00,19
4680.00,4860.00,H25S_onRamp1,14,280.00,11.55,3.42,3.25,5.00,13
4860.00,5040.00,H25S_onRamp1,4,80.00,3.30,3.50,3.37,5.00,4
5040.00,5220.00,H25S_onRamp1,4,80.00,3.21,3.54,3.46,5.00,4
5220.00,5400.00,H25S_onRamp1,12,240.00,11.21,3.30,2.97,5.00,12
5400.00,5580.00,H25S_onRamp1,8,160.00,8.70,2.92,2.55,5.00,8
5580.00,5760.00,H25S_onRamp1,12,240.00,11.39,3.17,2.93,5.00,12
5760.00,5940.00,H25S_onRamp1,6,120.00,6.48,2.98,2.57,5.00,6
5940.00,6120.00,H25S_onRamp1,10,200.00,9.76,3.22,2.85,5.00,10
6120.00,6300.00,H25S_onRamp1,6,120.00,5.06,3.48,3.29,5.00,6
6300.00,6480.00,H25S_onRamp1,6,120.00,5.80,3.21,2.88,5.00,6
6480.00,6660.00,H25S_onRamp1,5,100.00,5.26,3.09,2.64,5.00,5
6660.00,6840.00,H25S_onRamp1,19,380.00,17.79,3.23,2.97,5.00,19
6840.00,7020.00,H25S_onRamp1,8,160.00,7.62,3.16,2.92,5.00,8
7020.00,7200.00,H25S_onRamp1,4,80.00,3.59,3.43,3.10,5.00,4
7200.00,7380.00,H25S_onRamp1,6,120.00,5.43,3.28,3.07,5.00,6
7380.00,7560.00,H25S_onRamp1,6,120.00,5.12,3.41,3.25,5.00,6
7560.00,7740.00,H25S_onRamp1,10,200.00,8.06,3.51,3.45,5.00,10
7740.00,7920.00,H25S_onRamp1,10,200.00,9.35,3.22,2.97,5.00,10
7920.00,8100.00,H25S_onRamp1,10,200.00,9.56,3.32,3.03,5.00,11
8100.00,8280.00,H25S_onRamp1,12,240.00,11.44,3.03,2.82,5.00,11
8280.00,8460.00,H25S_onRamp1,16,320.00,14.74,3.24,3.02,5.00,16
8460.00,8640.00,H25S_onRamp1,8,160.00,7.69,3.22,2.89,5.00,8
8640.00,8820.00,H25S_onRamp1,20,400.00,18.68,3.23,2.97,5.00,20
8820.00,9000.00,H25S_onRamp1,12,240.00,10.44,3.42,3.19,5.00,12
9000.00,9180.00,H25S_onRamp1,16,320.00,14.72,3.27,3.02,5.00,16
9180.00,9360.00,H25S_onRamp1,6,120.00,5.81,3.18,2.87,5.00,6
9360.00,9540.00,H25S_onRamp1,10,200.00,10.56,3.05,2.63,5.00,10
9540.00,9720.00,H25S_onRamp1,10,200.00,8.83,3.34,3.15,5.00,10
9720.00,9900.00,H25S_onRamp1,6,120.00,4.81,3.56,3.47,5.00,6
9900.00,10080.00,H25S_onRamp1,6,120.00,5.13,3.40,3.25,5.00,6
10080.00,10260.00,H25S_onRamp1,13,260.00,12.93,3.15,2.79,5.00,13
10260.00,10440.00,H25S_onRamp1,19,380.00,17.57,3.32,3.00,5.00,19
10440.00,10620.00,H25S_onRamp1,17,340.00,14.80,3.45,3.23,5.00,18
10620.00,10800.00,H25S_onRamp1,17,340.00,14.40,3.48,3.24,5.00,16
10800.00,10980.00,H25S_onRamp1,19,380.00,17.80,3.33,2.96,5.00,19
10980.00,11160.00,H25S_onRamp1,13,260.00,11.81,3.33,3.06,5.00,13
11160.00,11340.00,H25S_onRamp1,20,400.00,19.67,3.10,2.82,5.00,20
11340.00,11520.00,H25S_onRamp1,14,280.00,12.25,3.37,3.18,5.00,14
11520.00,11700.00,H25S_onRamp1,15,300.00,13.32,3.36,3.13,5.00,15
11700.00,11880.00,H25S_onRamp1,17,340.00,14.94,3.29,3.16,5.00,17
11880.00,12060.00,H25S_onRamp1,8,160.00,7.43,3.27,2.99,5.00,8
12060.00,12240.00,H25S_onRamp1,17,340.00,15.65,3.28,3.08,5.00,18
