begin,end,id,nVehContrib,flow,occupancy,speed,harmonicMeanSpeed,length,nVehEntered
0.00,180.00,H25S_out_3,1,20.00,0.07,39.89,39.89,5.00,1
180.00,360.00,H25S_out_3,29,580.00,2.24,36.17,36.02,5.00,29
360.00,540.00,H25S_out_3,62,1240.00,5.08,34.04,33.92,5.00,62
540.00,720.00,H25S_out_3,59,1180.00,4.77,34.48,34.38,5.00,59
720.00,900.00,H25S_out_3,61,1220.00,4.98,34.16,34.06,5.00,61
900.00,1080.00,H25S_out_3,53,1060.00,4.23,34.91,34.84,5.00,53
1080.00,1260.00,H25S_out_3,58,1160.00,4.70,34.35,34.27,5.00,58
1260.00,1440.00,H25S_out_3,76,1520.00,6.17,34.29,34.20,5.00,76
1440.00,1620.00,H25S_out_3,63,1260.00,5.12,34.32,34.17,5.00,63
1620.00,1800.00,H25S_out_3,48,960.00,3.98,34.33,34.16,5.00,49
1800.00,1980.00,H25S_out_3,63,1260.00,5.10,33.89,33.79,5.00,62
1980.00,2160.00,H25S_out_3,59,1180.00,5.35,33.60,30.61,5.00,59
2160.00,2340.00,H25S_out_3,54,1080.00,4.48,34.15,33.96,5.00,55
2340.00,2520.00,H25S_out_3,58,1160.00,4.61,34.55,34.46,5.00,57
2520.00,2700.00,H25S_out_3,65,1300.00,5.28,34.27,34.19,5.00,65
2700.00,2880.00,H25S_out_3,48,960.00,3.91,34.22,34.12,5.00,48
2880.00,3060.00,H25S_out_3,58,1160.00,4.71,34.38,34.23,5.00,58
3060.00,3240.00,H25S_out_3,55,1100.00,4.43,34.58,34.49,5.00,55
3240.00,3420.00,H25S_out_3,55,1100.00,4.47,34.24,34.15,5.00,55
3420.00,3600.00,H25S_out_3,57,1140.00,4.58,34.63,34.54,5.00,57
3600.00,3780.00,H25S_out_3,54,1080.00,4.24,35.49,35.38,5.00,54
3780.00,3960.00,H25S_out_3,57,1140.00,4.66,34.12,34.01,5.00,57
3960.00,4140.00,H25S_out_3,54,1080.00,4.37,34.75,34.64,5.00,55
4140.00,4320.00,H25S_out_3,52,1040.00,4.24,33.95,33.81,5.00,51
4320.00,4500.00,H25S_out_3,48,960.00,3.91,34.24,34.14,5.00,48
4500.00,4680.00,H25S_out_3,64,1280.00,5.18,34.45,34.35,5.00,64
4680.00,4860.00,H25S_out_3,62,1240.00,5.05,34.19,34.08,5.00,62
4860.00,5040.00,H25S_out_3,53,1060.00,4.27,34.65,34.51,5.00,53
5040.00,5220.00,H25S_out_3,56,1120.00,4.56,34.20,34.14,5.00,56
5220.00,5400.00,H25S_out_3,56,1120.00,4.44,35.14,35.07,5.00,56
5400.00,5580.00,H25S_out_3,63,1260.00,5.12,34.26,34.16,5.00,63
5580.00,5760.00,H25S_out_3,59,1180.00,4.80,34.31,34.11,5.00,59
5760.00,5940.00,H25S_out_3,55,1100.00,4.44,34.54,34.44,5.00,55
5940.00,6120.00,H25S_out_3,54,1080.00,4.28,35.16,35.05,5.00,54
6120.00,6300.00,H25S_out_3,59,1180.00,4.70,34.96,34.86,5.00,59
6300.00,6480.00,H25S_out_3,54,1080.00,4.33,34.73,34.63,5.00,54
6480.00,6660.00,H25S_out_3,52,1040.00,4.15,34.84,34.76,5.00,52
6660.00,6840.00,H25S_out_3,52,1040.00,4.27,33.96,33.82,5.00,52
6840.00,7020.00,H25S_out_3,67,1340.00,5.42,34.42,34.31,5.00,67
7020.00,7200.00,H25S_out_3,59,1180.00,4.74,34.80,34.67,5.00,60
7200.00,7380.00,H25S_out_3,45,900.00,3.57,35.01,34.91,5.00,44
7380.00,7560.00,H25S_out_3,61,1220.00,4.90,34.73,34.55,5.00,61
7560.00,7740.00,H25S_out_3,53,1060.00,4.31,34.34,34.19,5.00,53
7740.00,7920.00,H25S_out_3,72,1440.00,5.90,34.00,33.88,5.00,72
7920.00,8100.00,H25S_out_3,47,940.00,3.80,34.45,34.36,5.00,47
8100.00,8280.00,H25S_out_3,55,1100.00,4.43,34.60,34.50,5.00,55
8280.00,8460.00,H25S_out_3,55,1100.00,4.44,34.50,34.39,5.00,55
8460.00,8640.00,H25S_out_3,52,1040.00,4.13,35.11,34.95,5.00,52
8640.00,8820.00,H25S_out_3,51,1020.00,4.10,34.64,34.55,5.00,51
8820.00,9000.00,H25S_out_3,52,1040.00,4.15,34.91,34.80,5.00,52
9000.00,9180.00,H25S_out_3,44,880.00,3.64,34.24,34.11,5.00,45
